constraint_id,prompt_id,constraint_type,check_text,object_1,object_2,object_1_group,object_2_group,relation,relation_text,target_object,target_object_group,target_count,attribute,attribute_category,attribute_1,attribute_1_category,attribute_2,attribute_2_category,object_slot,attribute_slot
single_spatial_011_identity_object_2,single_spatial_011,object_identity,The object in object_2 should be identifiable as a serving bowl.,,serving bowl,,containers,,,serving bowl,containers,,,,,,,,object_2,
single_spatial_011_spatial,single_spatial_011,spatial_relation,The subject object for object_1 should be on top of the subject object for object_2.,paper clip,serving bowl,small_items,containers,on_top_of,on top of,,,,,,,,,,,
single_spatial_012_identity_object_1,single_spatial_012,object_identity,The object in object_1 should be identifiable as a safety pin.,safety pin,,small_items,,,,safety pin,small_items,,,,,,,,object_1,
single_spatial_012_identity_object_2,single_spatial_012,object_identity,The object in object_2 should be identifiable as a tray.,,tray,,containers,,,tray,containers,,,,,,,,object_2,
single_spatial_012_spatial,single_spatial_012,spatial_relation,The subject object for object_1 should be on top of the subject object for object_2.,safety pin,tray,small_items,containers,on_top_of,on top of,,,,,,,,,,,
single_spatial_013_identity_object_1,single_spatial_013,object_identity,The object in object_1 should be identifiable as a coin.,coin,,small_items,,,,coin,small_items,,,,,,,,object_1,
single_spatial_013_identity_object_2,single_spatial_013,object_identity,The object in object_2 should be identifiable as a cup.,,cup,,containers,,,cup,containers,,,,,,,,object_2,
single_spatial_013_spatial,single_spatial_013,spatial_relation,The subject object for object_1 should be outside the subject object for object_2.,coin,cup,small_items,containers,outside,outside,,,,,,,,,,,
single_spatial_014_identity_object_1,single_spatial_014,object_identity,The object in object_1 should be identifiable as a die.,die,,small_items,,,,die,small_items,,,,,,,,object_1,
single_spatial_014_identity_object_2,single_spatial_014,object_identity,The object in object_2 should be identifiable as a cup.,,cup,,containers,,,cup,containers,,,,,,,,object_2,
single_spatial_014_spatial,single_spatial_014,spatial_relation,The subject object for object_1 should be outside the subject object for object_2.,die,cup,small_items,containers,outside,outside,,,,,,,,,,,
single_spatial_015_identity_object_1,single_spatial_015,object_identity,The object in object_1 should be identifiable as a flat washer.,flat washer,,small_items,,,,flat washer,small_items,,,,,,,,object_1,
single_spatial_015_identity_object_2,single_spatial_015,object_identity,The object in object_2 should be identifiable as a tray.,,tray,,containers,,,tray,containers,,,,,,,,object_2,
single_spatial_015_spatial,single_spatial_015,spatial_relation,The subject object for object_1 should be outside the subject object for object_2.,flat washer,tray,small_items,containers,outside,outside,,,,,,,,,,,
single_spatial_016_identity_object_1,single_spatial_016,object_identity,The object in object_1 should be identifiable as a thumbtack.,thumbtack,,small_items,,,,thumbtack,small_items,,,,,,,,object_1,
single_spatial_016_identity_object_2,single_spatial_016,object_identity,The object in object_2 should be identifiable as a serving bowl.,,serving bowl,,containers,,,serving bowl,containers,,,,,,,,object_2,
single_spatial_016_spatial,single_spatial_016,spatial_relation,The subject object for object_1 should be outside the subject object for object_2.,thumbtack,serving bowl,small_items,containers,outside,outside,,,,,,,,,,,
single_spatial_017_identity_object_1,single_spatial_017,object_identity,The object in object_1 should be identifiable as a cutting board.,cutting board,,surfaces,,,,cutting board,surfaces,,,,,,,,object_1,
single_spatial_017_identity_object_2,single_spatial_017,object_identity,The object in object_2 should be identifiable as a safety pin.,,safety pin,,small_items,,,safety pin,small_items,,,,,,,,object_2,
single_spatial_017_spatial,single_spatial_017,spatial_relation,The subject object for object_1 should be to the right of the subject object for object_2.,cutting board,safety pin,surfaces,small_items,right_of,to the right of,,,,,,,,,,,
single_spatial_018_identity_object_1,single_spatial_018,object_identity,The object in object_1 should be identifiable as a serving bowl.,serving bowl,,containers,,,,serving bowl,containers,,,,,,,,object_1,
single_spatial_018_identity_object_2,single_spatial_018,object_identity,The object in object_2 should be identifiable as a paper clip.,,paper clip,,small_items,,,paper clip,small_items,,,,,,,,object_2,
single_spatial_018_spatial,single_spatial_018,spatial_relation,The subject object for object_1 should be to the right of the subject object for object_2.,serving bowl,paper clip,containers,small_items,right_of,to the right of,,,,,,,,,,,
single_spatial_019_identity_object_1,single_spatial_019,object_identity,The object in object_1 should be identifiable as a button.,button,,small_items,,,,button,small_items,,,,,,,,object_1,
single_spatial_019_identity_object_2,single_spatial_019,object_identity,The object in object_2 should be identifiable as a flat washer.,,flat washer,,small_items,,,flat washer,small_items,,,,,,,,object_2,
single_spatial_019_spatial,single_spatial_019,spatial_relation,The subject object for object_1 should be to the right of the subject object for object_2.,button,flat washer,small_items,small_items,right_of,to the right of,,,,,,,,,,,
single_spatial_020_identity_object_1,single_spatial_020,object_identity,The object in object_1 should be identifiable as a food container.,food container,,containers,,,,food container,containers,,,,,,,,object_1,
single_spatial_020_identity_object_2,single_spatial_020,object_identity,The object in object_2 should be identifiable as a paper clip.,,paper clip,,small_items,,,paper clip,small_items,,,,,,,,object_2,
single_spatial_020_spatial,single_spatial_020,spatial_relation,The subject object for object_1 should be to the right of the subject object for object_2.,food container,paper clip,containers,small_items,right_of,to the right of,,,,,,,,,,,
single_spatial_021_identity_object_1,single_spatial_021,object_identity,The object in object_1 should be identifiable as a cutting board.,cutting board,,surfaces,,,,cutting board,surfaces,,,,,,,,object_1,
single_spatial_021_identity_object_2,single_spatial_021,object_identity,The object in object_2 should be identifiable as a safety pin.,,safety pin,,small_items,,,safety pin,small_items,,,,,,,,object_2,
single_spatial_021_spatial,single_spatial_021,spatial_relation,The subject object for object_1 should be under the subject object for object_2.,cutting board,safety pin,surfaces,small_items,under,under,,,,,,,,,,,
single_spatial_022_identity_object_1,single_spatial_022,object_identity,The object in object_1 should be identifiable as a napkin.,napkin,,surfaces,,,,napkin,surfaces,,,,,,,,object_1,
single_spatial_022_identity_object_2,single_spatial_022,object_identity,The object in object_2 should be identifiable as a bottle cap.,,bottle cap,,small_items,,,bottle cap,small_items,,,,,,,,object_2,
single_spatial_022_spatial,single_spatial_022,spatial_relation,The subject object for object_1 should be under the subject object for object_2.,napkin,bottle cap,surfaces,small_items,under,under,,,,,,,,,,,
single_spatial_023_identity_object_1,single_spatial_023,object_identity,The object in object_1 should be identifiable as a plate.,plate,,surfaces,,,,plate,surfaces,,,,,,,,object_1,
single_spatial_023_identity_object_2,single_spatial_023,object_identity,The object in object_2 should be identifiable as a paper clip.,,paper clip,,small_items,,,paper clip,small_items,,,,,,,,object_2,
single_spatial_023_spatial,single_spatial_023,spatial_relation,The subject object for object_1 should be under the subject object for object_2.,plate,paper clip,surfaces,small_items,under,under,,,,,,,,,,,
single_spatial_024_identity_object_1,single_spatial_024,object_identity,The object in object_1 should be identifiable as a cutting board.,cutting board,,surfaces,,,,cutting board,surfaces,,,,,,,,object_1,
single_spatial_024_identity_object_2,single_spatial_024,object_identity,The object in object_2 should be identifiable as a flat washer.,,flat washer,,small_items,,,flat washer,small_items,,,,,,,,object_2,
single_spatial_024_spatial,single_spatial_024,spatial_relation,The subject object for object_1 should be under the subject object for object_2.,cutting board,flat washer,surfaces,small_items,under,under,,,,,,,,,,,
single_attribute_001_identity_object_1,single_attribute_001,object_identity,The object in object_1 should be identifiable as a button.,button,,small_items,,,,button,small_items,,,,,,,,object_1,
single_attribute_001_identity_object_2,single_attribute_001,object_identity,The object in object_2 should be identifiable as a cup.,,cup,,containers,,,cup,containers,,,,,,,,object_2,
single_attribute_001_attr_presence_object_1,single_attribute_001,attribute_presence,The visual attribute 'ceramic' should be clearly present in the image.,,,,,,,,,,ceramic,material_finish,ceramic,material_finish,,,,object_1
single_attribute_001_attr_presence_object_2,single_attribute_001,attribute_presence,The visual attribute 'reflective metallic' should be clearly present in the image.,,,,,,,,,,reflective metallic,material_finish,,,reflective metallic,material_finish,,object_2
single_attribute_001_attr_binding_object_1,single_attribute_001,attribute_binding,The button in object_1 should have the 'ceramic' visual attribute.,button,,small_items,,,,button,small_items,,ceramic,material_finish,ceramic,material_finish,,,object_1,object_1
single_attribute_001_attr_binding_object_2,single_attribute_001,attribute_binding,The cup in object_2 should have the 'reflective metallic' visual attribute.,,cup,,containers,,,cup,containers,,reflective metallic,material_finish,,,reflective metallic,material_finish,object_2,object_2
single_attribute_002_identity_object_1,single_attribute_002,object_identity,The object in object_1 should be identifiable as a bottle cap.,bottle cap,,small_items,,,,bottle cap,small_items,,,,,,,,object_1,
single_attribute_002_identity_object_2,single_attribute_002,object_identity,The object in object_2 should be identifiable as a cup.,,cup,,containers,,,cup,containers,,,,,,,,object_2,
single_attribute_002_attr_presence_object_1,single_attribute_002,attribute_presence,The visual attribute 'matte black' should be clearly present in the image.,,,,,,,,,,matte black,material_finish,matte black,material_finish,,,,object_1
single_attribute_002_attr_presence_object_2,single_attribute_002,attribute_presence,The visual attribute 'black-and-white checkered' should be clearly present in the image.,,,,,,,,,,black-and-white checkered,pattern_texture,,,black-and-white checkered,pattern_texture,,object_2
single_attribute_002_attr_binding_object_1,single_attribute_002,attribute_binding,The bottle cap in object_1 should have the 'matte black' visual attribute.,bottle cap,,small_items,,,,bottle cap,small_items,,matte black,material_finish,matte black,material_finish,,,object_1,object_1
single_attribute_002_attr_binding_object_2,single_attribute_002,attribute_binding,The cup in object_2 should have the 'black-and-white checkered' visual attribute.,,cup,,containers,,,cup,containers,,black-and-white checkered,pattern_texture,,,black-and-white checkered,pattern_texture,object_2,object_2
single_attribute_003_identity_object_1,single_attribute_003,object_identity,The object in object_1 should be identifiable as a safety pin.,safety pin,,small_items,,,,safety pin,small_items,,,,,,,,object_1,
single_attribute_003_identity_object_2,single_attribute_003,object_identity,The object in object_2 should be identifiable as a paper clip.,,paper clip,,small_items,,,paper clip,small_items,,,,,,,,object_2,
single_attribute_003_attr_presence_object_1,single_attribute_003,attribute_presence,The visual attribute 'plastic' should be clearly present in the image.,,,,,,,,,,plastic,material_finish,plastic,material_finish,,,,object_1
single_attribute_003_attr_presence_object_2,single_attribute_003,attribute_presence,The visual attribute 'ceramic' should be clearly present in the image.,,,,,,,,,,ceramic,material_finish,,,ceramic,material_finish,,object_2
single_attribute_003_attr_binding_object_1,single_attribute_003,attribute_binding,The safety pin in object_1 should have the 'plastic' visual attribute.,safety pin,,small_items,,,,safety pin,small_items,,plastic,material_finish,plastic,material_finish,,,object_1,object_1
single_attribute_003_attr_binding_object_2,single_attribute_003,attribute_binding,The paper clip in object_2 should have the 'ceramic' visual attribute.,,paper clip,,small_items,,,paper clip,small_items,,ceramic,material_finish,,,ceramic,material_finish,object_2,object_2
single_attribute_004_identity_object_1,single_attribute_004,object_identity,The object in object_1 should be identifiable as a safety pin.,safety pin,,small_items,,,,safety pin,small_items,,,,,,,,object_1,
single_attribute_004_identity_object_2,single_attribute_004,object_identity,The object in object_2 should be identifiable as a plate.,,plate,,surfaces,,,plate,surfaces,,,,,,,,object_2,
single_attribute_004_attr_presence_object_1,single_attribute_004,attribute_presence,The visual attribute 'reflective metallic' should be clearly present in the image.,,,,,,,,,,reflective metallic,material_finish,reflective metallic,material_finish,,,,object_1
single_attribute_004_attr_presence_object_2,single_attribute_004,attribute_presence,The visual attribute 'blue-and-white striped' should be clearly present in the image.,,,,,,,,,,blue-and-white striped,pattern_texture,,,blue-and-white striped,pattern_texture,,object_2
single_attribute_004_attr_binding_object_1,single_attribute_004,attribute_binding,The safety pin in object_1 should have the 'reflective metallic' visual attribute.,safety pin,,small_items,,,,safety pin,small_items,,reflective metallic,material_finish,reflective metallic,material_finish,,,object_1,object_1
single_attribute_004_attr_binding_object_2,single_attribute_004,attribute_binding,The plate in object_2 should have the 'blue-and-white striped' visual attribute.,,plate,,surfaces,,,plate,surfaces,,blue-and-white striped,pattern_texture,,,blue-and-white striped,pattern_texture,object_2,object_2
single_attribute_005_identity_object_1,single_attribute_005,object_identity,The object in object_1 should be identifiable as a small box.,small box,,containers,,,,small box,containers,,,,,,,,object_1,
single_attribute_005_identity_object_2,single_attribute_005,object_identity,The object in object_2 should be identifiable as a plate.,,plate,,surfaces,,,plate,surfaces,,,,,,,,object_2,
single_attribute_005_attr_presence_object_1,single_attribute_005,attribute_presence,The visual attribute 'reflective metallic' should be clearly present in the image.,,,,,,,,,,reflective metallic,material_finish,reflective metallic,material_finish,,,,object_1
single_attribute_005_attr_presence_object_2,single_attribute_005,attribute_presence,The visual attribute 'red-and-white striped' should be clearly present in the image.,,,,,,,,,,red-and-white striped,pattern_texture,,,red-and-white striped,pattern_texture,,object_2
single_attribute_005_attr_binding_object_1,single_attribute_005,attribute_binding,The small box in object_1 should have the 'reflective metallic' visual attribute.,small box,,containers,,,,small box,containers,,reflective metallic,material_finish,reflective metallic,material_finish,,,object_1,object_1
single_attribute_005_attr_binding_object_2,single_attribute_005,attribute_binding,The plate in object_2 should have the 'red-and-white striped' visual attribute.,,plate,,surfaces,,,plate,surfaces,,red-and-white striped,pattern_texture,,,red-and-white striped,pattern_texture,object_2,object_2
single_attribute_006_identity_object_1,single_attribute_006,object_identity,The object in object_1 should be identifiable as a tray.,tray,,containers,,,,tray,containers,,,,,,,,object_1,
single_attribute_006_identity_object_2,single_attribute_006,object_identity,The object in object_2 should be identifiable as a coin.,,coin,,small_items,,,coin,small_items,,,,,,,,object_2,
single_attribute_006_attr_presence_object_1,single_attribute_006,attribute_presence,The visual attribute 'transparent glass' should be clearly present in the image.,,,,,,,,,,transparent glass,material_finish,transparent glass,material_finish,,,,object_1
single_attribute_006_attr_presence_object_2,single_attribute_006,attribute_presence,The visual attribute 'ceramic' should be clearly present in the image.,,,,,,,,,,ceramic,material_finish,,,ceramic,material_finish,,object_2
single_attribute_006_attr_binding_object_1,single_attribute_006,attribute_binding,The tray in object_1 should have the 'transparent glass' visual attribute.,tray,,containers,,,,tray,containers,,transparent glass,material_finish,transparent glass,material_finish,,,object_1,object_1
single_attribute_006_attr_binding_object_2,single_attribute_006,attribute_binding,The coin in object_2 should have the 'ceramic' visual attribute.,,coin,,small_items,,,coin,small_items,,ceramic,material_finish,,,ceramic,material_finish,object_2,object_2
single_attribute_007_identity_object_1,single_attribute_007,object_identity,The object in object_1 should be identifiable as a thumbtack.,thumbtack,,small_items,,,,thumbtack,small_items,,,,,,,,object_1,
single_attribute_007_identity_object_2,single_attribute_007,object_identity,The object in object_2 should be identifiable as a tray.,,tray,,containers,,,tray,containers,,,,,,,,object_2,
single_attribute_007_attr_presence_object_1,single_attribute_007,attribute_presence,The visual attribute 'ceramic' should be clearly present in the image.,,,,,,,,,,ceramic,material_finish,ceramic,material_finish,,,,object_1
single_attribute_007_attr_presence_object_2,single_attribute_007,attribute_presence,The visual attribute 'glossy white' should be clearly present in the image.,,,,,,,,,,glossy white,material_finish,,,glossy white,material_finish,,object_2
single_attribute_007_attr_binding_object_1,single_attribute_007,attribute_binding,The thumbtack in object_1 should have the 'ceramic' visual attribute.,thumbtack,,small_items,,,,thumbtack,small_items,,ceramic,material_finish,ceramic,material_finish,,,object_1,object_1
single_attribute_007_attr_binding_object_2,single_attribute_007,attribute_binding,The tray in object_2 should have the 'glossy white' visual attribute.,,tray,,containers,,,tray,containers,,glossy white,material_finish,,,glossy white,material_finish,object_2,object_2
single_attribute_008_identity_object_1,single_attribute_008,object_identity,The object in object_1 should be identifiable as a tray.,tray,,containers,,,,tray,containers,,,,,,,,object_1,
single_attribute_008_identity_object_2,single_attribute_008,object_identity,The object in object_2 should be identifiable as a cup.,,cup,,containers,,,cup,containers,,,,,,,,object_2,
single_attribute_008_attr_presence_object_1,single_attribute_008,attribute_presence,The visual attribute 'ceramic' should be clearly present in the image.,,,,,,,,,,ceramic,material_finish,ceramic,material_finish,,,,object_1
single_attribute_008_attr_presence_object_2,single_attribute_008,attribute_presence,The visual attribute 'yellow-and-green polka-dotted' should be clearly present in the image.,,,,,,,,,,yellow-and-green polka-dotted,pattern_texture,,,yellow-and-green polka-dotted,pattern_texture,,object_2
single_attribute_008_attr_binding_object_1,single_attribute_008,attribute_binding,The tray in object_1 should have the 'ceramic' visual attribute.,tray,,containers,,,,tray,containers,,ceramic,material_finish,ceramic,material_finish,,,object_1,object_1
single_attribute_008_attr_binding_object_2,single_attribute_008,attribute_binding,The cup in object_2 should have the 'yellow-and-green polka-dotted' visual attribute.,,cup,,containers,,,cup,containers,,yellow-and-green polka-dotted,pattern_texture,,,yellow-and-green polka-dotted,pattern_texture,object_2,object_2
single_attribute_009_identity_object_1,single_attribute_009,object_identity,The object in object_1 should be identifiable as a tray.,tray,,containers,,,,tray,containers,,,,,,,,object_1,
single_attribute_009_identity_object_2,single_attribute_009,object_identity,The object in object_2 should be identifiable as a small box.,,small box,,containers,,,small box,containers,,,,,,,,object_2,
single_attribute_009_attr_presence_object_1,single_attribute_009,attribute_presence,The visual attribute 'glossy white' should be clearly present in the image.,,,,,,,,,,glossy white,material_finish,glossy white,material_finish,,,,object_1
single_attribute_009_attr_presence_object_2,single_attribute_009,attribute_presence,The visual attribute 'matte black' should be clearly present in the image.,,,,,,,,,,matte black,material_finish,,,matte black,material_finish,,object_2
single_attribute_009_attr_binding_object_1,single_attribute_009,attribute_binding,The tray in object_1 should have the 'glossy white' visual attribute.,tray,,containers,,,,tray,containers,,glossy white,material_finish,glossy white,material_finish,,,object_1,object_1
single_attribute_009_attr_binding_object_2,single_attribute_009,attribute_binding,The small box in object_2 should have the 'matte black' visual attribute.,,small box,,containers,,,small box,containers,,matte black,material_finish,,,matte black,material_finish,object_2,object_2
single_attribute_010_identity_object_1,single_attribute_010,object_identity,The object in object_1 should be identifiable as a button.,button,,small_items,,,,button,small_items,,,,,,,,object_1,
single_attribute_010_identity_object_2,single_attribute_010,object_identity,The object in object_2 should be identifiable as a napkin.,,napkin,,surfaces,,,napkin,surfaces,,,,,,,,object_2,
single_attribute_010_attr_presence_object_1,single_attribute_010,attribute_presence,The visual attribute 'plastic' should be clearly present in the image.,,,,,,,,,,plastic,material_finish,plastic,material_finish,,,,object_1
single_attribute_010_attr_presence_object_2,single_attribute_010,attribute_presence,The visual attribute 'red-and-white striped' should be clearly present in the image.,,,,,,,,,,red-and-white striped,pattern_texture,,,red-and-white striped,pattern_texture,,object_2
single_attribute_010_attr_binding_object_1,single_attribute_010,attribute_binding,The button in object_1 should have the 'plastic' visual attribute.,button,,small_items,,,,button,small_items,,plastic,material_finish,plastic,material_finish,,,object_1,object_1
single_attribute_010_attr_binding_object_2,single_attribute_010,attribute_binding,The napkin in object_2 should have the 'red-and-white striped' visual attribute.,,napkin,,surfaces,,,napkin,surfaces,,red-and-white striped,pattern_texture,,,red-and-white striped,pattern_texture,object_2,object_2
single_attribute_011_identity_object_1,single_attribute_011,object_identity,The object in object_1 should be identifiable as a coin.,coin,,small_items,,,,coin,small_items,,,,,,,,object_1,
single_attribute_011_identity_object_2,single_attribute_011,object_identity,The object in object_2 should be identifiable as a flat washer.,,flat washer,,small_items,,,flat washer,small_items,,,,,,,,object_2,
single_attribute_011_attr_presence_object_1,single_attribute_011,attribute_presence,The visual attribute 'plastic' should be clearly present in the image.,,,,,,,,,,plastic,material_finish,plastic,material_finish,,,,object_1
single_attribute_011_attr_presence_object_2,single_attribute_011,attribute_presence,The visual attribute 'matte black' should be clearly present in the image.,,,,,,,,,,matte black,material_finish,,,matte black,material_finish,,object_2
single_attribute_011_attr_binding_object_1,single_attribute_011,attribute_binding,The coin in object_1 should have the 'plastic' visual attribute.,coin,,small_items,,,,coin,small_items,,plastic,material_finish,plastic,material_finish,,,object_1,object_1
single_attribute_011_attr_binding_object_2,single_attribute_011,attribute_binding,The flat washer in object_2 should have the 'matte black' visual attribute.,,flat washer,,small_items,,,flat washer,small_items,,matte black,material_finish,,,matte black,material_finish,object_2,object_2
single_attribute_012_identity_object_1,single_attribute_012,object_identity,The object in object_1 should be identifiable as a rubber band.,rubber band,,small_items,,,,rubber band,small_items,,,,,,,,object_1,
single_attribute_012_identity_object_2,single_attribute_012,object_identity,The object in object_2 should be identifiable as a small box.,,small box,,containers,,,small box,containers,,,,,,,,object_2,
single_attribute_012_attr_presence_object_1,single_attribute_012,attribute_presence,The visual attribute 'reflective metallic' should be clearly present in the image.,,,,,,,,,,reflective metallic,material_finish,reflective metallic,material_finish,,,,object_1
single_attribute_012_attr_presence_object_2,single_attribute_012,attribute_presence,The visual attribute 'white speckled' should be clearly present in the image.,,,,,,,,,,white speckled,pattern_texture,,,white speckled,pattern_texture,,object_2
single_attribute_012_attr_binding_object_1,single_attribute_012,attribute_binding,The rubber band in object_1 should have the 'reflective metallic' visual attribute.,rubber band,,small_items,,,,rubber band,small_items,,reflective metallic,material_finish,reflective metallic,material_finish,,,object_1,object_1
single_attribute_012_attr_binding_object_2,single_attribute_012,attribute_binding,The small box in object_2 should have the 'white speckled' visual attribute.,,small box,,containers,,,small box,containers,,white speckled,pattern_texture,,,white speckled,pattern_texture,object_2,object_2
single_attribute_013_identity_object_1,single_attribute_013,object_identity,The object in object_1 should be identifiable as a plate.,plate,,surfaces,,,,plate,surfaces,,,,,,,,object_1,
single_attribute_013_identity_object_2,single_attribute_013,object_identity,The object in object_2 should be identifiable as a thumbtack.,,thumbtack,,small_items,,,thumbtack,small_items,,,,,,,,object_2,
single_attribute_013_attr_presence_object_1,single_attribute_013,attribute_presence,The visual attribute 'blue-and-white striped' should be clearly present in the image.,,,,,,,,,,blue-and-white striped,pattern_texture,blue-and-white striped,pattern_texture,,,,object_1
single_attribute_013_attr_presence_object_2,single_attribute_013,attribute_presence,The visual attribute 'transparent glass' should be clearly present in the image.,,,,,,,,,,transparent glass,material_finish,,,transparent glass,material_finish,,object_2
single_attribute_013_attr_binding_object_1,single_attribute_013,attribute_binding,The plate in object_1 should have the 'blue-and-white striped' visual attribute.,plate,,surfaces,,,,plate,surfaces,,blue-and-white striped,pattern_texture,blue-and-white striped,pattern_texture,,,object_1,object_1
single_attribute_013_attr_binding_object_2,single_attribute_013,attribute_binding,The thumbtack in object_2 should have the 'transparent glass' visual attribute.,,thumbtack,,small_items,,,thumbtack,small_items,,transparent glass,material_finish,,,transparent glass,material_finish,object_2,object_2
single_attribute_014_identity_object_1,single_attribute_014,object_identity,The object in object_1 should be identifiable as a serving bowl.,serving bowl,,containers,,,,serving bowl,containers,,,,,,,,object_1,
single_attribute_014_identity_object_2,single_attribute_014,object_identity,The object in object_2 should be identifiable as a food container.,,food container,,containers,,,food container,containers,,,,,,,,object_2,
single_attribute_014_attr_presence_object_1,single_attribute_014,attribute_presence,The visual attribute 'blue-and-white striped' should be clearly present in the image.,,,,,,,,,,blue-and-white striped,pattern_texture,blue-and-white striped,pattern_texture,,,,object_1
