prompt_id,prompt,prompt_family,scene_context_type,scene_context,composition
cardinality_natural_single_010,A realistic image of exactly 7 small marbles on a dining table with plates and utensils nearby.,cardinality,natural,on a dining table with plates and utensils nearby,single
cardinality_natural_single_011,A realistic image of exactly 7 small tiny coins on a dining table with plates and utensils nearby.,cardinality,natural,on a dining table with plates and utensils nearby,single
cardinality_natural_single_012,A realistic image of exactly 5 small tiny coins on a picnic blanket with many small objects.,cardinality,natural,on a picnic blanket with many small objects,single
cardinality_natural_single_013,A realistic image of exactly 7 small dies on a picnic blanket with many small objects.,cardinality,natural,on a picnic blanket with many small objects,single
cardinality_natural_single_014,A realistic image of exactly 7 small metallic paper clips on a picnic blanket with many small objects.,cardinality,natural,on a picnic blanket with many small objects,single
cardinality_natural_single_015,A realistic image of exactly 5 small transparent buttons on a shelf full of books and decorations.,cardinality,natural,on a shelf full of books and decorations,single
cardinality_natural_single_016,A realistic image of exactly 6 small dies on a shelf full of books and decorations.,cardinality,natural,on a shelf full of books and decorations,single
cardinality_natural_single_017,A realistic image of exactly 6 small metallic paper clips on a shelf full of books and decorations.,cardinality,natural,on a shelf full of books and decorations,single
cardinality_natural_single_018,A realistic image of exactly 5 small marbles on a workbench with tools.,cardinality,natural,on a workbench with tools,single
cardinality_natural_single_019,A realistic image of exactly 6 small bottle caps on a workbench with tools.,cardinality,natural,on a workbench with tools,single
cardinality_natural_single_020,A realistic image of exactly 6 small dies on a workbench with tools.,cardinality,natural,on a workbench with tools,single
cardinality_natural_single_021,A realistic image of exactly 7 small rubber bands on a workbench with tools.,cardinality,natural,on a workbench with tools,single
cardinality_simple_single_022,A clean front-facing image of exactly 6 small beige binder clips on a clean surface with a few unrelated objects.,cardinality,simple,on a clean surface with a few unrelated objects,single
cardinality_simple_single_023,A clean front-facing image of exactly 6 small dies on a clean surface with a few unrelated objects.,cardinality,simple,on a clean surface with a few unrelated objects,single
cardinality_simple_single_024,A clean front-facing image of exactly 6 small small washers on a clean surface with a few unrelated objects.,cardinality,simple,on a clean surface with a few unrelated objects,single
cardinality_simple_single_025,A clean front-facing image of exactly 5 small rubber bands on a lightly cluttered tabletop.,cardinality,simple,on a lightly cluttered tabletop,single
cardinality_simple_single_026,A clean front-facing image of exactly 6 small small washers on a lightly cluttered tabletop.,cardinality,simple,on a lightly cluttered tabletop,single
cardinality_simple_single_027,A clean front-facing image of exactly 7 small sewing needles on a lightly cluttered tabletop.,cardinality,simple,on a lightly cluttered tabletop,single
cardinality_simple_single_028,A clean front-facing image of exactly 6 small marbles on a plain desk with soft shadows.,cardinality,simple,on a plain desk with soft shadows,single
cardinality_simple_single_029,A clean front-facing image of exactly 6 small small washers on a plain desk with soft shadows.,cardinality,simple,on a plain desk with soft shadows,single
cardinality_simple_single_030,A clean front-facing image of exactly 6 small transparent buttons on a plain desk with soft shadows.,cardinality,simple,on a plain desk with soft shadows,single
attribute_natural_single_001,A realistic image of a glossy white safety pin next to a red-and-white striped metallic paper clip on a cluttered desk with many office supplies.,attribute_binding,natural,on a cluttered desk with many office supplies,single
attribute_natural_single_002,A realistic image of a partially transparent thumbtack next to a translucent rubber band on a cluttered desk with many office supplies.,attribute_binding,natural,on a cluttered desk with many office supplies,single
attribute_natural_single_003,A realistic image of a reflective metallic marble next to a translucent tiny coin on a cluttered desk with many office supplies.,attribute_binding,natural,on a cluttered desk with many office supplies,single
attribute_natural_single_004,A realistic image of a reflective metallic metallic paper clip next to a black-and-white checkered safety pin on a cluttered desk with many office supplies.,attribute_binding,natural,on a cluttered desk with many office supplies,single
attribute_natural_single_005,A realistic image of a translucent bottle cap next to a glossy white safety pin on a cluttered desk with many office supplies.,attribute_binding,natural,on a cluttered desk with many office supplies,single
attribute_natural_single_006,A realistic image of a matte black sewing needle next to a glossy white transparent button on a craft table with beads and art supplies.,attribute_binding,natural,on a craft table with beads and art supplies,single
attribute_natural_single_007,A realistic image of a matte black small washer next to a glossy white rubber band on a craft table with beads and art supplies.,attribute_binding,natural,on a craft table with beads and art supplies,single
attribute_natural_single_008,A realistic image of a red-and-white striped transparent button next to a matte black marble on a craft table with beads and art supplies.,attribute_binding,natural,on a craft table with beads and art supplies,single
attribute_natural_single_009,A realistic image of a reflective metallic metallic paper clip next to a matte black transparent button on a craft table with beads and art supplies.,attribute_binding,natural,on a craft table with beads and art supplies,single
attribute_natural_single_010,A realistic image of a reflective metallic transparent button next to a black-and-white checkered beige binder clip on a craft table with beads and art supplies.,attribute_binding,natural,on a craft table with beads and art supplies,single
attribute_natural_single_011,A realistic image of a translucent tiny coin next to a speckled safety pin on a craft table with beads and art supplies.,attribute_binding,natural,on a craft table with beads and art supplies,single
attribute_natural_single_012,A realistic image of a blue-and-white striped die next to a polka-dotted safety pin on a dining table with plates and utensils nearby.,attribute_binding,natural,on a dining table with plates and utensils nearby,single
attribute_natural_single_013,A realistic image of a polka-dotted die next to a red-and-white striped bottle cap on a dining table with plates and utensils nearby.,attribute_binding,natural,on a dining table with plates and utensils nearby,single
attribute_natural_single_014,A realistic image of a blue-and-white striped safety pin next to a reflective metallic transparent button on a picnic blanket with many small objects.,attribute_binding,natural,on a picnic blanket with many small objects,single
attribute_natural_single_015,A realistic image of a matte black die next to a glossy white small washer on a picnic blanket with many small objects.,attribute_binding,natural,on a picnic blanket with many small objects,single
attribute_natural_single_016,A realistic image of a partially transparent rubber band next to a matte black beige binder clip on a picnic blanket with many small objects.,attribute_binding,natural,on a picnic blanket with many small objects,single
attribute_natural_single_017,A realistic image of a polka-dotted beige binder clip next to a reflective metallic bottle cap on a picnic blanket with many small objects.,attribute_binding,natural,on a picnic blanket with many small objects,single
attribute_natural_single_018,A realistic image of a polka-dotted rubber band next to a black-and-white checkered beige binder clip on a picnic blanket with many small objects.,attribute_binding,natural,on a picnic blanket with many small objects,single
attribute_natural_single_019,A realistic image of a red-and-white striped sewing needle next to a speckled thumbtack on a picnic blanket with many small objects.,attribute_binding,natural,on a picnic blanket with many small objects,single
attribute_natural_single_020,A realistic image of a partially transparent safety pin next to a black-and-white checkered sewing needle on a shelf full of books and decorations.,attribute_binding,natural,on a shelf full of books and decorations,single
attribute_natural_single_021,A realistic image of a speckled bottle cap next to a partially transparent rubber band on a shelf full of books and decorations.,attribute_binding,natural,on a shelf full of books and decorations,single
attribute_natural_single_022,A realistic image of a translucent beige binder clip next to a blue-and-white striped metallic paper clip on a shelf full of books and decorations.,attribute_binding,natural,on a shelf full of books and decorations,single
attribute_natural_single_023,A realistic image of a red-and-white striped safety pin next to a matte black marble on a workbench with tools.,attribute_binding,natural,on a workbench with tools,single
attribute_simple_single_024,A clean front-facing image of a black-and-white checkered tiny coin next to a red-and-white striped marble on a clean surface with a few unrelated objects.,attribute_binding,simple,on a clean surface with a few unrelated objects,single
attribute_simple_single_025,A clean front-facing image of a polka-dotted metallic paper clip next to a glossy white small washer on a clean surface with a few unrelated objects.,attribute_binding,simple,on a clean surface with a few unrelated objects,single
attribute_simple_single_026,A clean front-facing image of a translucent thumbtack next to a speckled tiny coin on a clean surface with a few unrelated objects.,attribute_binding,simple,on a clean surface with a few unrelated objects,single
attribute_simple_single_027,A clean front-facing image of a polka-dotted bottle cap next to a glossy white safety pin on a lightly cluttered tabletop.,attribute_binding,simple,on a lightly cluttered tabletop,single
attribute_simple_single_028,A clean front-facing image of a red-and-white striped tiny coin next to a speckled small washer on a lightly cluttered tabletop.,attribute_binding,simple,on a lightly cluttered tabletop,single
attribute_simple_single_029,A clean front-facing image of a black-and-white checkered die next to a glossy white safety pin on a plain desk with soft shadows.,attribute_binding,simple,on a plain desk with soft shadows,single
attribute_simple_single_030,A clean front-facing image of a blue-and-white striped metallic paper clip next to a matte black sewing needle on a plain desk with soft shadows.,attribute_binding,simple,on a plain desk with soft shadows,single
combo_attr_spatial_natural_001,A realistic image of a blue-and-white striped beige binder clip higher in the image than a red-and-white striped rubber band on a cluttered desk with many office supplies.,combined_attribute_spatial,natural,on a cluttered desk with many office supplies,combined
combo_attr_spatial_natural_002,A realistic image of a blue-and-white striped thumbtack higher in the image than a polka-dotted marble on a cluttered desk with many office supplies.,combined_attribute_spatial,natural,on a cluttered desk with many office supplies,combined
combo_attr_spatial_natural_003,A realistic image of a glossy white beige binder clip to the right of a speckled metallic paper clip on a cluttered desk with many office supplies.,combined_attribute_spatial,natural,on a cluttered desk with many office supplies,combined
combo_attr_spatial_natural_004,A realistic image of a reflective metallic small washer in the upper-left area relative to a matte black transparent button on a cluttered desk with many office supplies.,combined_attribute_spatial,natural,on a cluttered desk with many office supplies,combined
combo_attr_spatial_natural_005,A realistic image of a translucent sewing needle lower in the image than a matte black thumbtack on a cluttered desk with many office supplies.,combined_attribute_spatial,natural,on a cluttered desk with many office supplies,combined
combo_attr_spatial_natural_006,A realistic image of a translucent sewing needle to the left of a black-and-white checkered transparent button on a cluttered desk with many office supplies.,combined_attribute_spatial,natural,on a cluttered desk with many office supplies,combined
combo_attr_spatial_natural_007,A realistic image of a matte black rubber band to the right of a reflective metallic marble on a craft table with beads and art supplies.,combined_attribute_spatial,natural,on a craft table with beads and art supplies,combined
combo_attr_spatial_natural_008,A realistic image of a black-and-white checkered die in the upper-left area relative to a red-and-white striped sewing needle on a crowded kitchen counter.,combined_attribute_spatial,natural,on a crowded kitchen counter,combined
combo_attr_spatial_natural_009,A realistic image of a blue-and-white striped bottle cap higher in the image than a polka-dotted metallic paper clip on a crowded kitchen counter.,combined_attribute_spatial,natural,on a crowded kitchen counter,combined
combo_attr_spatial_natural_010,A realistic image of a black-and-white checkered safety pin lower in the image than a red-and-white striped small washer on a dining table with plates and utensils nearby.,combined_attribute_spatial,natural,on a dining table with plates and utensils nearby,combined
combo_attr_spatial_natural_011,A realistic image of a matte black rubber band in the lower-right area relative to a black-and-white checkered die on a dining table with plates and utensils nearby.,combined_attribute_spatial,natural,on a dining table with plates and utensils nearby,combined
combo_attr_spatial_natural_012,A realistic image of a red-and-white striped marble to the right of a blue-and-white striped rubber band on a dining table with plates and utensils nearby.,combined_attribute_spatial,natural,on a dining table with plates and utensils nearby,combined
combo_attr_spatial_natural_013,A realistic image of a black-and-white checkered beige binder clip to the left of a red-and-white striped transparent button on a picnic blanket with many small objects.,combined_attribute_spatial,natural,on a picnic blanket with many small objects,combined
combo_attr_spatial_natural_014,A realistic image of a glossy white beige binder clip in the upper-left area relative to a red-and-white striped small washer on a picnic blanket with many small objects.,combined_attribute_spatial,natural,on a picnic blanket with many small objects,combined
combo_attr_spatial_natural_015,A realistic image of a reflective metallic safety pin lower in the image than a blue-and-white striped thumbtack on a picnic blanket with many small objects.,combined_attribute_spatial,natural,on a picnic blanket with many small objects,combined
combo_attr_spatial_natural_016,A realistic image of a speckled beige binder clip in the lower-right area relative to a glossy white small washer on a picnic blanket with many small objects.,combined_attribute_spatial,natural,on a picnic blanket with many small objects,combined
combo_attr_spatial_natural_017,A realistic image of a matte black marble higher in the image than a reflective metallic bottle cap on a shelf full of books and decorations.,combined_attribute_spatial,natural,on a shelf full of books and decorations,combined
combo_attr_spatial_natural_018,A realistic image of a matte black safety pin lower in the image than a polka-dotted small washer on a shelf full of books and decorations.,combined_attribute_spatial,natural,on a shelf full of books and decorations,combined
combo_attr_spatial_natural_019,A realistic image of a red-and-white striped sewing needle in the lower-right area relative to a partially transparent metallic paper clip on a shelf full of books and decorations.,combined_attribute_spatial,natural,on a shelf full of books and decorations,combined
combo_attr_spatial_natural_020,A realistic image of a speckled metallic paper clip in the upper-left area relative to a blue-and-white striped rubber band on a shelf full of books and decorations.,combined_attribute_spatial,natural,on a shelf full of books and decorations,combined
combo_attr_spatial_natural_021,A realistic image of a glossy white sewing needle in the upper-left area relative to a black-and-white checkered thumbtack on a workbench with tools.,combined_attribute_spatial,natural,on a workbench with tools,combined
combo_attr_spatial_natural_022,A realistic image of a red-and-white striped die lower in the image than a reflective metallic bottle cap on a workbench with tools.,combined_attribute_spatial,natural,on a workbench with tools,combined
combo_attr_spatial_simple_023,A clean front-facing image of a glossy white bottle cap higher in the image than a red-and-white striped beige binder clip on a clean surface with a few unrelated objects.,combined_attribute_spatial,simple,on a clean surface with a few unrelated objects,combined
combo_attr_spatial_simple_024,A clean front-facing image of a glossy white transparent button to the left of a speckled rubber band on a clean surface with a few unrelated objects.,combined_attribute_spatial,simple,on a clean surface with a few unrelated objects,combined
combo_attr_spatial_simple_025,A clean front-facing image of a matte black transparent button higher in the image than a reflective metallic safety pin on a clean surface with a few unrelated objects.,combined_attribute_spatial,simple,on a clean surface with a few unrelated objects,combined
combo_attr_spatial_simple_026,A clean front-facing image of a translucent thumbtack to the right of a matte black rubber band on a clean surface with a few unrelated objects.,combined_attribute_spatial,simple,on a clean surface with a few unrelated objects,combined
combo_attr_spatial_simple_027,A clean front-facing image of a black-and-white checkered thumbtack in the lower-right area relative to a glossy white bottle cap on a lightly cluttered tabletop.,combined_attribute_spatial,simple,on a lightly cluttered tabletop,combined
combo_attr_spatial_simple_028,A clean front-facing image of a speckled sewing needle in the lower-right area relative to a blue-and-white striped die on a plain desk with soft shadows.,combined_attribute_spatial,simple,on a plain desk with soft shadows,combined
combo_attr_spatial_simple_029,A clean front-facing image of a speckled sewing needle in the lower-right area relative to a blue-and-white striped small washer on a plain desk with soft shadows.,combined_attribute_spatial,simple,on a plain desk with soft shadows,combined
combo_attr_spatial_simple_030,A clean front-facing image of a translucent metallic paper clip to the right of a reflective metallic marble on a plain desk with soft shadows.,combined_attribute_spatial,simple,on a plain desk with soft shadows,combined
combo_card_spatial_natural_001,A realistic image of exactly 5 small marbles lower in the image than a tiny coin on a cluttered desk with many office supplies.,combined_cardinality_spatial,natural,on a cluttered desk with many office supplies,combined
combo_card_spatial_natural_002,A realistic image of exactly 6 small transparent buttons in the upper-left area relative to a marble on a cluttered desk with many office supplies.,combined_cardinality_spatial,natural,on a cluttered desk with many office supplies,combined
combo_card_spatial_natural_003,A realistic image of exactly 6 small transparent buttons lower in the image than a die on a cluttered desk with many office supplies.,combined_cardinality_spatial,natural,on a cluttered desk with many office supplies,combined
combo_card_spatial_natural_004,A realistic image of exactly 7 small marbles in the upper-left area relative to a die on a cluttered desk with many office supplies.,combined_cardinality_spatial,natural,on a cluttered desk with many office supplies,combined
combo_card_spatial_natural_005,A realistic image of exactly 5 small bottle caps to the left of a beige binder clip on a craft table with beads and art supplies.,combined_cardinality_spatial,natural,on a craft table with beads and art supplies,combined
combo_card_spatial_natural_006,A realistic image of exactly 5 small thumbtacks lower in the image than a rubber band on a craft table with beads and art supplies.,combined_cardinality_spatial,natural,on a craft table with beads and art supplies,combined
combo_card_spatial_natural_007,A realistic image of exactly 7 small beige binder clips lower in the image than a safety pin on a craft table with beads and art supplies.,combined_cardinality_spatial,natural,on a craft table with beads and art supplies,combined
combo_card_spatial_natural_008,A realistic image of exactly 5 small dies in the upper-left area relative to a thumbtack on a crowded kitchen counter.,combined_cardinality_spatial,natural,on a crowded kitchen counter,combined
combo_card_spatial_natural_009,A realistic image of exactly 5 small safety pins in the upper-left area relative to a sewing needle on a crowded kitchen counter.,combined_cardinality_spatial,natural,on a crowded kitchen counter,combined
combo_card_spatial_natural_010,A realistic image of exactly 6 small thumbtacks to the right of a small washer on a crowded kitchen counter.,combined_cardinality_spatial,natural,on a crowded kitchen counter,combined
combo_card_spatial_natural_011,A realistic image of exactly 7 small thumbtacks in the upper-left area relative to a small washer on a crowded kitchen counter.,combined_cardinality_spatial,natural,on a crowded kitchen counter,combined
combo_card_spatial_natural_012,A realistic image of exactly 5 small beige binder clips in the lower-right area relative to a die on a dining table with plates and utensils nearby.,combined_cardinality_spatial,natural,on a dining table with plates and utensils nearby,combined
combo_card_spatial_natural_013,A realistic image of exactly 6 small dies higher in the image than a small washer on a dining table with plates and utensils nearby.,combined_cardinality_spatial,natural,on a dining table with plates and utensils nearby,combined
combo_card_spatial_natural_014,A realistic image of exactly 7 small bottle caps in the upper-left area relative to a small washer on a dining table with plates and utensils nearby.,combined_cardinality_spatial,natural,on a dining table with plates and utensils nearby,combined
combo_card_spatial_natural_015,A realistic image of exactly 5 small dies lower in the image than a marble on a picnic blanket with many small objects.,combined_cardinality_spatial,natural,on a picnic blanket with many small objects,combined
combo_card_spatial_natural_016,A realistic image of exactly 6 small sewing needles in the lower-right area relative to a die on a picnic blanket with many small objects.,combined_cardinality_spatial,natural,on a picnic blanket with many small objects,combined
combo_card_spatial_natural_017,A realistic image of exactly 6 small dies lower in the image than a bottle cap on a shelf full of books and decorations.,combined_cardinality_spatial,natural,on a shelf full of books and decorations,combined
combo_card_spatial_natural_018,A realistic image of exactly 6 small transparent buttons lower in the image than a die on a shelf full of books and decorations.,combined_cardinality_spatial,natural,on a shelf full of books and decorations,combined
combo_card_spatial_natural_019,A realistic image of exactly 7 small tiny coins lower in the image than a thumbtack on a shelf full of books and decorations.,combined_cardinality_spatial,natural,on a shelf full of books and decorations,combined
combo_card_spatial_natural_020,A realistic image of exactly 5 small metallic paper clips to the left of a die on a workbench with tools.,combined_cardinality_spatial,natural,on a workbench with tools,combined
combo_card_spatial_natural_021,A realistic image of exactly 6 small rubber bands in the lower-right area relative to a thumbtack on a workbench with tools.,combined_cardinality_spatial,natural,on a workbench with tools,combined
combo_card_spatial_natural_022,A realistic image of exactly 6 small tiny coins lower in the image than a die on a workbench with tools.,combined_cardinality_spatial,natural,on a workbench with tools,combined
combo_card_spatial_simple_023,A clean front-facing image of exactly 5 small metallic paper clips to the left of a bottle cap on a clean surface with a few unrelated objects.,combined_cardinality_spatial,simple,on a clean surface with a few unrelated objects,combined
combo_card_spatial_simple_024,A clean front-facing image of exactly 6 small safety pins to the right of a tiny coin on a clean surface with a few unrelated objects.,combined_cardinality_spatial,simple,on a clean surface with a few unrelated objects,combined
combo_card_spatial_simple_025,A clean front-facing image of exactly 6 small tiny coins in the lower-right area relative to a safety pin on a clean surface with a few unrelated objects.,combined_cardinality_spatial,simple,on a clean surface with a few unrelated objects,combined
combo_card_spatial_simple_026,A clean front-facing image of exactly 7 small metallic paper clips in the upper-left area relative to a die on a clean surface with a few unrelated objects.,combined_cardinality_spatial,simple,on a clean surface with a few unrelated objects,combined
combo_card_spatial_simple_027,A clean front-facing image of exactly 5 small dies higher in the image than a beige binder clip on a lightly cluttered tabletop.,combined_cardinality_spatial,simple,on a lightly cluttered tabletop,combined
combo_card_spatial_simple_028,A clean front-facing image of exactly 5 small safety pins to the right of a bottle cap on a lightly cluttered tabletop.,combined_cardinality_spatial,simple,on a lightly cluttered tabletop,combined
combo_card_spatial_simple_029,A clean front-facing image of exactly 7 small beige binder clips to the right of a small washer on a plain desk with soft shadows.,combined_cardinality_spatial,simple,on a plain desk with soft shadows,combined
combo_card_spatial_simple_030,A clean front-facing image of exactly 7 small safety pins higher in the image than a sewing needle on a plain desk with soft shadows.,combined_cardinality_spatial,simple,on a plain desk with soft shadows,combined
