repair_id,prompt_id,prompt,source_image_id,source_prompt_id,source_generation_job_id,source_provider,source_model_name,source_image_path,repair_strategy,trigger_label_source,trigger_labels,num_target_constraints,target_constraint_ids,original_prompt,repaired_prompt
repair_human_011_job_0017_gpt_image_1_00,repair_human_011_job_0017_gpt_image_1_00,"A realistic image of exactly 5 glossy white small flat washers and one black-and-white checkered cup on a cluttered desk with many office supplies.

Important generation instructions:
- Make sure that there are exactly 5 small flat washers; do not generate more or fewer, and do not add extra target-like objects.",job_0017_gpt_image_1_00,combined_attribute_cardinality_016,job_0017,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0017_gpt_image_1_00.png,repair_all_failed,human,ambiguous;fail,1,combined_attribute_cardinality_016_cardinality,A realistic image of exactly 5 glossy white small flat washers and one black-and-white checkered cup on a cluttered desk with many office supplies.,"A realistic image of exactly 5 glossy white small flat washers and one black-and-white checkered cup on a cluttered desk with many office supplies.

Important generation instructions:
- Make sure that there are exactly 5 small flat washers; do not generate more or fewer, and do not add extra target-like objects."
repair_human_012_job_0018_gemini_2_5_flash_image_00,repair_human_012_job_0018_gemini_2_5_flash_image_00,"A clear image of exactly 5 ceramic thin rubber bands and one red-and-white striped cup on a clean surface with a few unrelated objects.

Important generation instructions:
- Make sure that there are exactly 5 thin rubber bands; do not generate more or fewer, and do not add extra target-like objects.
- Make sure that the thin rubber band has ceramic material; apply this material to the correct object.",job_0018_gemini_2_5_flash_image_00,combined_attribute_cardinality_031,job_0018,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0018_gemini_2_5_flash_image_00.png,repair_all_failed,human,ambiguous;fail,2,combined_attribute_cardinality_031_cardinality;combined_attribute_cardinality_031_attribute_object_1,A clear image of exactly 5 ceramic thin rubber bands and one red-and-white striped cup on a clean surface with a few unrelated objects.,"A clear image of exactly 5 ceramic thin rubber bands and one red-and-white striped cup on a clean surface with a few unrelated objects.

Important generation instructions:
- Make sure that there are exactly 5 thin rubber bands; do not generate more or fewer, and do not add extra target-like objects.
- Make sure that the thin rubber band has ceramic material; apply this material to the correct object."
repair_human_013_job_0019_gpt_image_1_00,repair_human_013_job_0019_gpt_image_1_00,"A realistic image of exactly 5 reflective metallic thumbtacks and one plastic standard sewing button on a picnic blanket with many small objects.

Important generation instructions:
- Make sure that there are exactly 5 thumbtacks; do not generate more or fewer, and do not add extra target-like objects.",job_0019_gpt_image_1_00,combined_attribute_cardinality_022,job_0019,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0019_gpt_image_1_00.png,repair_all_failed,human,ambiguous;fail,1,combined_attribute_cardinality_022_cardinality,A realistic image of exactly 5 reflective metallic thumbtacks and one plastic standard sewing button on a picnic blanket with many small objects.,"A realistic image of exactly 5 reflective metallic thumbtacks and one plastic standard sewing button on a picnic blanket with many small objects.

Important generation instructions:
- Make sure that there are exactly 5 thumbtacks; do not generate more or fewer, and do not add extra target-like objects."
repair_human_014_job_0022_gemini_2_5_flash_image_00,repair_human_014_job_0022_gemini_2_5_flash_image_00,"A realistic image of exactly 3 plastic standard safety pins and one blue-and-white striped index card on a workbench with tools.

Important generation instructions:
- Make sure that the standard safety pin has plastic material; apply this material to the correct object.
- Make it clear and easy to judge that the index card has blue-and-white striped pattern.",job_0022_gemini_2_5_flash_image_00,combined_attribute_cardinality_007,job_0022,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0022_gemini_2_5_flash_image_00.png,repair_all_failed,human,ambiguous;fail,2,combined_attribute_cardinality_007_attribute_object_1;combined_attribute_cardinality_007_attribute_object_2,A realistic image of exactly 3 plastic standard safety pins and one blue-and-white striped index card on a workbench with tools.,"A realistic image of exactly 3 plastic standard safety pins and one blue-and-white striped index card on a workbench with tools.

Important generation instructions:
- Make sure that the standard safety pin has plastic material; apply this material to the correct object.
- Make it clear and easy to judge that the index card has blue-and-white striped pattern."
repair_human_015_job_0023_gpt_image_1_00,repair_human_015_job_0023_gpt_image_1_00,"A realistic image of exactly 5 plastic coins and one matte black marble on a picnic blanket with many small objects.

Important generation instructions:
- Make sure that there are exactly 5 coins; do not generate more or fewer, and do not add extra target-like objects.",job_0023_gpt_image_1_00,combined_attribute_cardinality_018,job_0023,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0023_gpt_image_1_00.png,repair_all_failed,human,ambiguous;fail,1,combined_attribute_cardinality_018_cardinality,A realistic image of exactly 5 plastic coins and one matte black marble on a picnic blanket with many small objects.,"A realistic image of exactly 5 plastic coins and one matte black marble on a picnic blanket with many small objects.

Important generation instructions:
- Make sure that there are exactly 5 coins; do not generate more or fewer, and do not add extra target-like objects."
repair_human_016_job_0024_gemini_2_5_flash_image_00,repair_human_016_job_0024_gemini_2_5_flash_image_00,"A realistic image of exactly 4 plastic thin rubber bands and one red-and-white striped index card on a workbench with tools.

Important generation instructions:
- Make it clear and easy to judge that there are exactly 4 thin rubber bands, with each target object separated and easy to count.
- Make it clear and easy to judge that the index card has red-and-white striped pattern.",job_0024_gemini_2_5_flash_image_00,combined_attribute_cardinality_010,job_0024,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0024_gemini_2_5_flash_image_00.png,repair_all_failed,human,ambiguous;fail,2,combined_attribute_cardinality_010_cardinality;combined_attribute_cardinality_010_attribute_object_2,A realistic image of exactly 4 plastic thin rubber bands and one red-and-white striped index card on a workbench with tools.,"A realistic image of exactly 4 plastic thin rubber bands and one red-and-white striped index card on a workbench with tools.

Important generation instructions:
- Make it clear and easy to judge that there are exactly 4 thin rubber bands, with each target object separated and easy to count.
- Make it clear and easy to judge that the index card has red-and-white striped pattern."
repair_human_017_job_0025_gpt_image_1_00,repair_human_017_job_0025_gpt_image_1_00,"A realistic image of exactly 4 glossy white thumbtacks and one matte black tray on a picnic blanket with many small objects.

Important generation instructions:
- Make sure that there are exactly 4 thumbtacks; do not generate more or fewer, and do not add extra target-like objects.",job_0025_gpt_image_1_00,combined_attribute_cardinality_009,job_0025,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0025_gpt_image_1_00.png,repair_all_failed,human,ambiguous;fail,1,combined_attribute_cardinality_009_cardinality,A realistic image of exactly 4 glossy white thumbtacks and one matte black tray on a picnic blanket with many small objects.,"A realistic image of exactly 4 glossy white thumbtacks and one matte black tray on a picnic blanket with many small objects.

Important generation instructions:
- Make sure that there are exactly 4 thumbtacks; do not generate more or fewer, and do not add extra target-like objects."
repair_human_018_job_0026_gemini_2_5_flash_image_00,repair_human_018_job_0026_gemini_2_5_flash_image_00,"A clear image of exactly 4 matte black dice and one transparent glass thin rubber band on a clean surface with a few unrelated objects.

Important generation instructions:
- Make sure that there are exactly 4 dice; do not generate more or fewer, and do not add extra target-like objects.",job_0026_gemini_2_5_flash_image_00,combined_attribute_cardinality_030,job_0026,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0026_gemini_2_5_flash_image_00.png,repair_all_failed,human,ambiguous;fail,1,combined_attribute_cardinality_030_cardinality,A clear image of exactly 4 matte black dice and one transparent glass thin rubber band on a clean surface with a few unrelated objects.,"A clear image of exactly 4 matte black dice and one transparent glass thin rubber band on a clean surface with a few unrelated objects.

Important generation instructions:
- Make sure that there are exactly 4 dice; do not generate more or fewer, and do not add extra target-like objects."
repair_human_019_job_0028_gemini_2_5_flash_image_00,repair_human_019_job_0028_gemini_2_5_flash_image_00,"A realistic image of exactly 3 glossy white small paper clips and one red-and-white striped sheet of paper on a crowded kitchen counter with utensils nearby.

Important generation instructions:
- Make sure that the object generated is exactly small paper clip; do not replace it with a different object category.",job_0028_gemini_2_5_flash_image_00,combined_attribute_cardinality_005,job_0028,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0028_gemini_2_5_flash_image_00.png,repair_all_failed,human,ambiguous;fail,1,combined_attribute_cardinality_005_identity_object_1,A realistic image of exactly 3 glossy white small paper clips and one red-and-white striped sheet of paper on a crowded kitchen counter with utensils nearby.,"A realistic image of exactly 3 glossy white small paper clips and one red-and-white striped sheet of paper on a crowded kitchen counter with utensils nearby.

Important generation instructions:
- Make sure that the object generated is exactly small paper clip; do not replace it with a different object category."
repair_human_020_job_0029_gpt_image_1_00,repair_human_020_job_0029_gpt_image_1_00,"A realistic image of exactly 6 plastic thin rubber bands and one glossy white die on a cluttered desk with many office supplies.

Important generation instructions:
- Make sure that there are exactly 6 thin rubber bands; do not generate more or fewer, and do not add extra target-like objects.",job_0029_gpt_image_1_00,combined_attribute_cardinality_027,job_0029,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0029_gpt_image_1_00.png,repair_all_failed,human,ambiguous;fail,1,combined_attribute_cardinality_027_cardinality,A realistic image of exactly 6 plastic thin rubber bands and one glossy white die on a cluttered desk with many office supplies.,"A realistic image of exactly 6 plastic thin rubber bands and one glossy white die on a cluttered desk with many office supplies.

Important generation instructions:
- Make sure that there are exactly 6 thin rubber bands; do not generate more or fewer, and do not add extra target-like objects."
repair_human_021_job_0030_gemini_2_5_flash_image_00,repair_human_021_job_0030_gemini_2_5_flash_image_00,"A realistic image of exactly 3 ceramic small paper clips and one black-and-white checkered food container on a shelf full of books and decorations.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as small paper clip, not a vague or ambiguous object-like shape.
- Make it clear and easy to judge that the object generated is clearly recognizable as food container, not a vague or ambiguous object-like shape.",job_0030_gemini_2_5_flash_image_00,combined_attribute_cardinality_004,job_0030,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0030_gemini_2_5_flash_image_00.png,repair_all_failed,human,ambiguous;fail,2,combined_attribute_cardinality_004_identity_object_1;combined_attribute_cardinality_004_identity_object_2,A realistic image of exactly 3 ceramic small paper clips and one black-and-white checkered food container on a shelf full of books and decorations.,"A realistic image of exactly 3 ceramic small paper clips and one black-and-white checkered food container on a shelf full of books and decorations.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as small paper clip, not a vague or ambiguous object-like shape.
- Make it clear and easy to judge that the object generated is clearly recognizable as food container, not a vague or ambiguous object-like shape."
repair_human_022_job_0031_gpt_image_1_00,repair_human_022_job_0031_gpt_image_1_00,"A realistic image of exactly 4 ceramic small flat washers and one white speckled cup on a crowded kitchen counter with utensils nearby.

Important generation instructions:
- Make sure that there are exactly 4 small flat washers; do not generate more or fewer, and do not add extra target-like objects.",job_0031_gpt_image_1_00,combined_attribute_cardinality_008,job_0031,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0031_gpt_image_1_00.png,repair_all_failed,human,ambiguous;fail,1,combined_attribute_cardinality_008_cardinality,A realistic image of exactly 4 ceramic small flat washers and one white speckled cup on a crowded kitchen counter with utensils nearby.,"A realistic image of exactly 4 ceramic small flat washers and one white speckled cup on a crowded kitchen counter with utensils nearby.

Important generation instructions:
- Make sure that there are exactly 4 small flat washers; do not generate more or fewer, and do not add extra target-like objects."
repair_human_023_job_0032_gemini_2_5_flash_image_00,repair_human_023_job_0032_gemini_2_5_flash_image_00,"A clear image of exactly 5 plastic small paper clips and one yellow-and-green polka-dotted napkin on a lightly cluttered tabletop.

Important generation instructions:
- Make sure that the object generated is exactly small paper clip; do not replace it with a different object category.",job_0032_gemini_2_5_flash_image_00,combined_attribute_cardinality_035,job_0032,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0032_gemini_2_5_flash_image_00.png,repair_all_failed,human,ambiguous;fail,1,combined_attribute_cardinality_035_identity_object_1,A clear image of exactly 5 plastic small paper clips and one yellow-and-green polka-dotted napkin on a lightly cluttered tabletop.,"A clear image of exactly 5 plastic small paper clips and one yellow-and-green polka-dotted napkin on a lightly cluttered tabletop.

Important generation instructions:
- Make sure that the object generated is exactly small paper clip; do not replace it with a different object category."
repair_human_024_job_0037_gpt_image_1_00,repair_human_024_job_0037_gpt_image_1_00,"A realistic image of a glossy white standard safety pin inside a transparent glass small box on a crowded kitchen counter with utensils nearby.

Important generation instructions:
- Make it clear and easy to judge that the standard safety pin has glossy white material.",job_0037_gpt_image_1_00,combined_spatial_attribute_003,job_0037,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0037_gpt_image_1_00.png,repair_all_failed,human,ambiguous;fail,1,combined_spatial_attribute_003_attribute_object_1,A realistic image of a glossy white standard safety pin inside a transparent glass small box on a crowded kitchen counter with utensils nearby.,"A realistic image of a glossy white standard safety pin inside a transparent glass small box on a crowded kitchen counter with utensils nearby.

Important generation instructions:
- Make it clear and easy to judge that the standard safety pin has glossy white material."
repair_human_025_job_0038_gemini_2_5_flash_image_00,repair_human_025_job_0038_gemini_2_5_flash_image_00,"A realistic image of a ceramic thin rubber band on top of a yellow-and-green polka-dotted cutting board on a workbench with tools.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as cutting board, not a vague or ambiguous object-like shape.
- Make sure that the cutting board has yellow-and-green polka-dotted pattern; apply this pattern to the correct object.",job_0038_gemini_2_5_flash_image_00,combined_spatial_attribute_013,job_0038,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0038_gemini_2_5_flash_image_00.png,repair_all_failed,human,ambiguous;fail,2,combined_spatial_attribute_013_identity_object_2;combined_spatial_attribute_013_attribute_object_2,A realistic image of a ceramic thin rubber band on top of a yellow-and-green polka-dotted cutting board on a workbench with tools.,"A realistic image of a ceramic thin rubber band on top of a yellow-and-green polka-dotted cutting board on a workbench with tools.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as cutting board, not a vague or ambiguous object-like shape.
- Make sure that the cutting board has yellow-and-green polka-dotted pattern; apply this pattern to the correct object."
repair_human_026_job_0039_gpt_image_1_00,repair_human_026_job_0039_gpt_image_1_00,"A clear image of a matte black coin on top of a reflective metallic food container on a clean surface with a few unrelated objects.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as coin, not a vague or ambiguous object-like shape.",job_0039_gpt_image_1_00,combined_spatial_attribute_017,job_0039,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0039_gpt_image_1_00.png,repair_all_failed,human,ambiguous;fail,1,combined_spatial_attribute_017_identity_object_1,A clear image of a matte black coin on top of a reflective metallic food container on a clean surface with a few unrelated objects.,"A clear image of a matte black coin on top of a reflective metallic food container on a clean surface with a few unrelated objects.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as coin, not a vague or ambiguous object-like shape."
repair_human_027_job_0045_gpt_image_1_00,repair_human_027_job_0045_gpt_image_1_00,"A realistic image of a red-and-white striped cutting board under a ceramic small paper clip on a workbench with tools.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as small paper clip, not a vague or ambiguous object-like shape.",job_0045_gpt_image_1_00,combined_spatial_attribute_035,job_0045,openai,gpt-image-1,../data/images/openai_gpt_image_1/job_0045_gpt_image_1_00.png,repair_all_failed,human,ambiguous;fail,1,combined_spatial_attribute_035_identity_object_2,A realistic image of a red-and-white striped cutting board under a ceramic small paper clip on a workbench with tools.,"A realistic image of a red-and-white striped cutting board under a ceramic small paper clip on a workbench with tools.

Important generation instructions:
- Make it clear and easy to judge that the object generated is clearly recognizable as small paper clip, not a vague or ambiguous object-like shape."
repair_human_028_job_0046_gemini_2_5_flash_image_00,repair_human_028_job_0046_gemini_2_5_flash_image_00,"A clear image of a plastic tray to the right of a blue-and-white striped cup on a clean surface with a few unrelated objects.

Important generation instructions:
- Make sure that the object generated is exactly tray; do not replace it with a different object category.",job_0046_gemini_2_5_flash_image_00,combined_spatial_attribute_029,job_0046,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0046_gemini_2_5_flash_image_00.png,repair_all_failed,human,ambiguous;fail,1,combined_spatial_attribute_029_identity_object_1,A clear image of a plastic tray to the right of a blue-and-white striped cup on a clean surface with a few unrelated objects.,"A clear image of a plastic tray to the right of a blue-and-white striped cup on a clean surface with a few unrelated objects.

Important generation instructions:
- Make sure that the object generated is exactly tray; do not replace it with a different object category."
repair_human_029_job_0048_gemini_2_5_flash_image_00,repair_human_029_job_0048_gemini_2_5_flash_image_00,"A realistic image of a blue-and-white striped index card under a glossy white die on a shelf full of books and decorations.

Important generation instructions:
- Make it clear and easy to judge that the index card has blue-and-white striped pattern.
- Make sure that the index card is clearly under the die.",job_0048_gemini_2_5_flash_image_00,combined_spatial_attribute_033,job_0048,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0048_gemini_2_5_flash_image_00.png,repair_all_failed,human,ambiguous;fail,2,combined_spatial_attribute_033_attribute_object_1;combined_spatial_attribute_033_spatial,A realistic image of a blue-and-white striped index card under a glossy white die on a shelf full of books and decorations.,"A realistic image of a blue-and-white striped index card under a glossy white die on a shelf full of books and decorations.

Important generation instructions:
- Make it clear and easy to judge that the index card has blue-and-white striped pattern.
- Make sure that the index card is clearly under the die."
repair_human_030_job_0050_gemini_2_5_flash_image_00,repair_human_030_job_0050_gemini_2_5_flash_image_00,"A realistic image of a glossy white small paper clip inside a white speckled serving bowl on a craft table with beads and art supplies.

Important generation instructions:
- Make sure that the object generated is exactly small paper clip; do not replace it with a different object category.",job_0050_gemini_2_5_flash_image_00,combined_spatial_attribute_002,job_0050,google,gemini-2.5-flash-image,../data/images/google_gemini_25_flash_image/job_0050_gemini_2_5_flash_image_00.png,repair_all_failed,human,ambiguous;fail,1,combined_spatial_attribute_002_identity_object_1,A realistic image of a glossy white small paper clip inside a white speckled serving bowl on a craft table with beads and art supplies.,"A realistic image of a glossy white small paper clip inside a white speckled serving bowl on a craft table with beads and art supplies.

Important generation instructions:
- Make sure that the object generated is exactly small paper clip; do not replace it with a different object category."
