generation_job_id,prompt_id,provider,model_name,assignment_type,image_dir,size,quality,aspect_ratio
repair_job_human_0033,repair_human_033_job_0053_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0034,repair_human_034_job_0054_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0035,repair_human_035_job_0055_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0036,repair_human_036_job_0059_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0037,repair_human_037_job_0064_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0038,repair_human_038_job_0065_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0039,repair_human_039_job_0069_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0040,repair_human_040_job_0072_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0041,repair_human_041_job_0074_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0042,repair_human_042_job_0076_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0043,repair_human_043_job_0078_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0044,repair_human_044_job_0080_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0045,repair_human_045_job_0082_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0046,repair_human_046_job_0083_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0047,repair_human_047_job_0084_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0048,repair_human_048_job_0086_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0049,repair_human_049_job_0087_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0050,repair_human_050_job_0089_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0051,repair_human_051_job_0090_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0052,repair_human_052_job_0092_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0053,repair_human_053_job_0093_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0054,repair_human_054_job_0095_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0055,repair_human_055_job_0096_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0056,repair_human_056_job_0101_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0057,repair_human_057_job_0102_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0058,repair_human_058_job_0105_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0059,repair_human_059_job_0106_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0060,repair_human_060_job_0110_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0061,repair_human_061_job_0114_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0062,repair_human_062_job_0116_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0063,repair_human_063_job_0118_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0064,repair_human_064_job_0126_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0065,repair_human_065_job_0128_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0066,repair_human_066_job_0129_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0067,repair_human_067_job_0138_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0068,repair_human_068_job_0140_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0069,repair_human_069_job_0142_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0070,repair_human_070_job_0144_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0071,repair_human_071_job_0148_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0072,repair_human_072_job_0150_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0073,repair_human_073_job_0151_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0074,repair_human_074_job_0154_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0075,repair_human_075_job_0160_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0076,repair_human_076_job_0166_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0077,repair_human_077_job_0171_gpt_image_1_00,openai,gpt-image-1,repair_human_same_model,../data/repaired/human_triggered/images,1024x1024,low,
repair_job_human_0078,repair_human_078_job_0172_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0079,repair_human_079_job_0174_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0080,repair_human_080_job_0176_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
repair_job_human_0081,repair_human_081_job_0178_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_human_same_model,../data/repaired/human_triggered/images,,,1:1
