image_id,prompt_id,model_name,sample_id,image_path,generation_status,seed,timestamp
cardinality_natural_single_001_gpt-image-1_0,cardinality_natural_single_001,gpt-image-1,0,../data/images/openai_checkpoint2/cardinality_natural_single_001_gpt-image-1_0.png,success,,2026-05-22T19:45:51.004662+00:00
cardinality_natural_single_011_gpt-image-1_0,cardinality_natural_single_011,gpt-image-1,0,../data/images/openai_checkpoint2/cardinality_natural_single_011_gpt-image-1_0.png,success,,2026-05-22T19:46:03.157016+00:00
cardinality_natural_single_021_gpt-image-1_0,cardinality_natural_single_021,gpt-image-1,0,../data/images/openai_checkpoint2/cardinality_natural_single_021_gpt-image-1_0.png,success,,2026-05-22T19:46:13.990848+00:00
cardinality_simple_single_026_gpt-image-1_0,cardinality_simple_single_026,gpt-image-1,0,../data/images/openai_checkpoint2/cardinality_simple_single_026_gpt-image-1_0.png,success,,2026-05-22T19:46:25.711271+00:00
cardinality_simple_single_030_gpt-image-1_0,cardinality_simple_single_030,gpt-image-1,0,../data/images/openai_checkpoint2/cardinality_simple_single_030_gpt-image-1_0.png,success,,2026-05-22T19:46:35.449730+00:00
combo_attr_spatial_natural_001_gpt-image-1_0,combo_attr_spatial_natural_001,gpt-image-1,0,../data/images/openai_checkpoint2/combo_attr_spatial_natural_001_gpt-image-1_0.png,success,,2026-05-22T19:46:47.512279+00:00
combo_attr_spatial_natural_011_gpt-image-1_0,combo_attr_spatial_natural_011,gpt-image-1,0,../data/images/openai_checkpoint2/combo_attr_spatial_natural_011_gpt-image-1_0.png,success,,2026-05-22T19:47:01.610035+00:00
combo_attr_spatial_natural_021_gpt-image-1_0,combo_attr_spatial_natural_021,gpt-image-1,0,../data/images/openai_checkpoint2/combo_attr_spatial_natural_021_gpt-image-1_0.png,success,,2026-05-22T19:47:11.911575+00:00
combo_attr_spatial_simple_026_gpt-image-1_0,combo_attr_spatial_simple_026,gpt-image-1,0,../data/images/openai_checkpoint2/combo_attr_spatial_simple_026_gpt-image-1_0.png,success,,2026-05-22T19:47:25.116345+00:00
combo_attr_spatial_simple_030_gpt-image-1_0,combo_attr_spatial_simple_030,gpt-image-1,0,../data/images/openai_checkpoint2/combo_attr_spatial_simple_030_gpt-image-1_0.png,success,,2026-05-22T19:47:35.391852+00:00
combo_card_spatial_natural_005_gpt-image-1_0,combo_card_spatial_natural_005,gpt-image-1,0,../data/images/openai_checkpoint2/combo_card_spatial_natural_005_gpt-image-1_0.png,success,,2026-05-22T19:47:46.715543+00:00
combo_card_spatial_natural_010_gpt-image-1_0,combo_card_spatial_natural_010,gpt-image-1,0,../data/images/openai_checkpoint2/combo_card_spatial_natural_010_gpt-image-1_0.png,success,,2026-05-22T19:47:58.844243+00:00
combo_card_spatial_natural_015_gpt-image-1_0,combo_card_spatial_natural_015,gpt-image-1,0,../data/images/openai_checkpoint2/combo_card_spatial_natural_015_gpt-image-1_0.png,success,,2026-05-22T19:48:11.719055+00:00
combo_card_spatial_simple_025_gpt-image-1_0,combo_card_spatial_simple_025,gpt-image-1,0,../data/images/openai_checkpoint2/combo_card_spatial_simple_025_gpt-image-1_0.png,success,,2026-05-22T19:48:23.589305+00:00
combo_card_spatial_simple_030_gpt-image-1_0,combo_card_spatial_simple_030,gpt-image-1,0,../data/images/openai_checkpoint2/combo_card_spatial_simple_030_gpt-image-1_0.png,success,,2026-05-22T19:48:35.401090+00:00
