image_id,prompt_id,constraint_id,constraint_type,vlm_label,vlm_reason,parse_status,raw_response
spatial_natural_single_009_gpt-image-1_0,spatial_natural_single_009,spatial_natural_single_009_exist_object_2,object_existence,pass,The safety pin is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The safety pin is clearly visible."" }
```"
spatial_natural_single_009_gpt-image-1_0,spatial_natural_single_009,spatial_natural_single_009_spatial,spatial_relation,pass,The marble is clearly higher in the image than the safety pin.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The marble is clearly higher in the image than the safety pin."" }
```"
spatial_natural_single_012_gpt-image-1_0,spatial_natural_single_012,spatial_natural_single_012_exist_object_1,object_existence,pass,The tiny coin is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The tiny coin is clearly visible."" }
```"
spatial_natural_single_012_gpt-image-1_0,spatial_natural_single_012,spatial_natural_single_012_exist_object_2,object_existence,pass,The thumbtack is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The thumbtack is clearly visible."" }
```"
spatial_natural_single_012_gpt-image-1_0,spatial_natural_single_012,spatial_natural_single_012_spatial,spatial_relation,pass,The coin is clearly to the right of the thumbtack.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The coin is clearly to the right of the thumbtack."" }
```"
spatial_natural_single_015_gpt-image-1_0,spatial_natural_single_015,spatial_natural_single_015_exist_object_1,object_existence,fail,The small washer is not clearly visible.,success,"```json
{ ""label"": ""fail"", ""reason"": ""The small washer is not clearly visible."" }
```"
spatial_natural_single_015_gpt-image-1_0,spatial_natural_single_015,spatial_natural_single_015_exist_object_2,object_existence,pass,The metallic paper clip is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The metallic paper clip is clearly visible."" }
```"
spatial_natural_single_015_gpt-image-1_0,spatial_natural_single_015,spatial_natural_single_015_spatial,spatial_relation,pass,The small washer is lower in the image than the metallic paper clip.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The small washer is lower in the image than the metallic paper clip."" }
```"
spatial_simple_single_019_gpt-image-1_0,spatial_simple_single_019,spatial_simple_single_019_exist_object_1,object_existence,pass,The beige binder clip is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The beige binder clip is clearly visible."" }
```"
spatial_simple_single_019_gpt-image-1_0,spatial_simple_single_019,spatial_simple_single_019_exist_object_2,object_existence,pass,The thumbtack is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The thumbtack is clearly visible."" }
```"
spatial_simple_single_019_gpt-image-1_0,spatial_simple_single_019,spatial_simple_single_019_spatial,spatial_relation,pass,The beige binder clip is in the lower-right area relative to the thumbtack.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The beige binder clip is in the lower-right area relative to the thumbtack."" }
```"
spatial_simple_single_022_gpt-image-1_0,spatial_simple_single_022,spatial_simple_single_022_exist_object_1,object_existence,pass,The transparent button is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The transparent button is clearly visible."" }
```"
spatial_simple_single_022_gpt-image-1_0,spatial_simple_single_022,spatial_simple_single_022_exist_object_2,object_existence,pass,The metallic paper clip is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The metallic paper clip is clearly visible."" }
```"
spatial_simple_single_022_gpt-image-1_0,spatial_simple_single_022,spatial_simple_single_022_spatial,spatial_relation,pass,The transparent button is clearly lower than the metallic paper clip.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The transparent button is clearly lower than the metallic paper clip."" }
```"
spatial_simple_single_025_gpt-image-1_0,spatial_simple_single_025,spatial_simple_single_025_exist_object_1,object_existence,pass,The die is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The die is clearly visible."" }
```"
spatial_simple_single_025_gpt-image-1_0,spatial_simple_single_025,spatial_simple_single_025_exist_object_2,object_existence,pass,The sewing needle is clearly visible in the image.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The sewing needle is clearly visible in the image."" }
```"
spatial_simple_single_025_gpt-image-1_0,spatial_simple_single_025,spatial_simple_single_025_spatial,spatial_relation,pass,The die is clearly higher in the image than the sewing needle.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The die is clearly higher in the image than the sewing needle."" }
```"
spatial_simple_single_028_gpt-image-1_0,spatial_simple_single_028,spatial_simple_single_028_exist_object_1,object_existence,pass,The rubber band is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The rubber band is clearly visible."" }
```"
spatial_simple_single_028_gpt-image-1_0,spatial_simple_single_028,spatial_simple_single_028_exist_object_2,object_existence,pass,The small washer is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The small washer is clearly visible."" }
```"
spatial_simple_single_028_gpt-image-1_0,spatial_simple_single_028,spatial_simple_single_028_spatial,spatial_relation,pass,The rubber band is clearly higher than the small washer in the image.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The rubber band is clearly higher than the small washer in the image."" }
```"
attribute_natural_single_006_gpt-image-1_0,attribute_natural_single_006,attribute_natural_single_006_exist_object_1,object_existence,pass,The sewing needle is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The sewing needle is clearly visible."" }
```"
attribute_natural_single_006_gpt-image-1_0,attribute_natural_single_006,attribute_natural_single_006_exist_object_2,object_existence,ambiguous,The transparent button is not clearly identifiable.,success,"```json
{ ""label"": ""ambiguous"", ""reason"": ""The transparent button is not clearly identifiable."" }
```"
attribute_natural_single_006_gpt-image-1_0,attribute_natural_single_006,attribute_natural_single_006_attr_object_1,attribute,pass,The sewing needle is matte black.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The sewing needle is matte black."" }
```"
attribute_natural_single_006_gpt-image-1_0,attribute_natural_single_006,attribute_natural_single_006_attr_object_2,attribute,ambiguous,The image does not clearly show a transparent button.,success,"```json
{ ""label"": ""ambiguous"", ""reason"": ""The image does not clearly show a transparent button."" }
```"
attribute_natural_single_012_gpt-image-1_0,attribute_natural_single_012,attribute_natural_single_012_exist_object_1,object_existence,pass,The die is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The die is clearly visible."" }
```"
attribute_natural_single_012_gpt-image-1_0,attribute_natural_single_012,attribute_natural_single_012_exist_object_2,object_existence,pass,The safety pin is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The safety pin is clearly visible."" }
```"
attribute_natural_single_012_gpt-image-1_0,attribute_natural_single_012,attribute_natural_single_012_attr_object_1,attribute,pass,The die is blue-and-white striped.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The die is blue-and-white striped."" }
```"
attribute_natural_single_012_gpt-image-1_0,attribute_natural_single_012,attribute_natural_single_012_attr_object_2,attribute,fail,The safety pin is not polka-dotted.,success,"```json
{ ""label"": ""fail"", ""reason"": ""The safety pin is not polka-dotted."" }
```"
attribute_natural_single_018_gpt-image-1_0,attribute_natural_single_018,attribute_natural_single_018_exist_object_1,object_existence,fail,The rubber band is not clearly visible.,success,"```json
{ ""label"": ""fail"", ""reason"": ""The rubber band is not clearly visible."" }
```"
attribute_natural_single_018_gpt-image-1_0,attribute_natural_single_018,attribute_natural_single_018_exist_object_2,object_existence,fail,The beige binder clip is not clearly visible.,success,"```json
{ ""label"": ""fail"", ""reason"": ""The beige binder clip is not clearly visible."" }
```"
attribute_natural_single_018_gpt-image-1_0,attribute_natural_single_018,attribute_natural_single_018_attr_object_1,attribute,fail,The rubber band is not polka-dotted.,success,"```json
{ ""label"": ""fail"", ""reason"": ""The rubber band is not polka-dotted."" }
```"
attribute_natural_single_018_gpt-image-1_0,attribute_natural_single_018,attribute_natural_single_018_attr_object_2,attribute,pass,The beige binder clip is black-and-white checkered.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The beige binder clip is black-and-white checkered."" }
```"
attribute_simple_single_024_gpt-image-1_0,attribute_simple_single_024,attribute_simple_single_024_exist_object_1,object_existence,ambiguous,The coin's identity as a tiny coin is uncertain.,success,"```json
{ ""label"": ""ambiguous"", ""reason"": ""The coin's identity as a tiny coin is uncertain."" }
```"
attribute_simple_single_024_gpt-image-1_0,attribute_simple_single_024,attribute_simple_single_024_exist_object_2,object_existence,pass,The marble is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The marble is clearly visible."" }
```"
attribute_simple_single_024_gpt-image-1_0,attribute_simple_single_024,attribute_simple_single_024_attr_object_1,attribute,pass,The tiny coin is black-and-white checkered.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The tiny coin is black-and-white checkered."" }
```"
attribute_simple_single_024_gpt-image-1_0,attribute_simple_single_024,attribute_simple_single_024_attr_object_2,attribute,pass,The marble is clearly red-and-white striped.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The marble is clearly red-and-white striped."" }
```"
attribute_simple_single_030_gpt-image-1_0,attribute_simple_single_030,attribute_simple_single_030_exist_object_1,object_existence,fail,The paper clip is not metallic.,success,"```json
{ ""label"": ""fail"", ""reason"": ""The paper clip is not metallic."" }
```"
attribute_simple_single_030_gpt-image-1_0,attribute_simple_single_030,attribute_simple_single_030_exist_object_2,object_existence,pass,The sewing needle is clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The sewing needle is clearly visible."" }
```"
attribute_simple_single_030_gpt-image-1_0,attribute_simple_single_030,attribute_simple_single_030_attr_object_1,attribute,pass,The paper clip is blue-and-white striped.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The paper clip is blue-and-white striped."" }
```"
attribute_simple_single_030_gpt-image-1_0,attribute_simple_single_030,attribute_simple_single_030_attr_object_2,attribute,pass,The sewing needle is matte black.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The sewing needle is matte black."" }
```"
cardinality_natural_single_001_gpt-image-1_0,cardinality_natural_single_001,cardinality_natural_single_001_exist_target,object_existence,fail,The objects visible are not sewing needles.,success,"```json
{ ""label"": ""fail"", ""reason"": ""The objects visible are not sewing needles."" }
```"
cardinality_natural_single_001_gpt-image-1_0,cardinality_natural_single_001,cardinality_natural_single_001_cardinality,cardinality,pass,Exactly 6 sewing needles are clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""Exactly 6 sewing needles are clearly visible."" }
```"
cardinality_natural_single_011_gpt-image-1_0,cardinality_natural_single_011,cardinality_natural_single_011_exist_target,object_existence,pass,The tiny coin is clearly visible among the other coins.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The tiny coin is clearly visible among the other coins."" }
```"
cardinality_natural_single_011_gpt-image-1_0,cardinality_natural_single_011,cardinality_natural_single_011_cardinality,cardinality,fail,There are 9 tiny coins visible.,success,"```json
{ ""label"": ""fail"", ""reason"": ""There are 9 tiny coins visible."" }
```"
cardinality_natural_single_021_gpt-image-1_0,cardinality_natural_single_021,cardinality_natural_single_021_exist_target,object_existence,fail,No rubber band is clearly visible.,success,"```json
{ ""label"": ""fail"", ""reason"": ""No rubber band is clearly visible."" }
```"
cardinality_natural_single_021_gpt-image-1_0,cardinality_natural_single_021,cardinality_natural_single_021_cardinality,cardinality,pass,Exactly 7 rubber bands are clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""Exactly 7 rubber bands are clearly visible."" }
```"
cardinality_simple_single_026_gpt-image-1_0,cardinality_simple_single_026,cardinality_simple_single_026_exist_target,object_existence,pass,The small washers are clearly visible.,success,"```json
{ ""label"": ""pass"", ""reason"": ""The small washers are clearly visible."" }
```"
cardinality_simple_single_026_gpt-image-1_0,cardinality_simple_single_026,cardinality_simple_single_026_cardinality,cardinality,pass,There are exactly 6 clearly visible small washers.,success,"```json
{ ""label"": ""pass"", ""reason"": ""There are exactly 6 clearly visible small washers."" }
```"
cardinality_simple_single_030_gpt-image-1_0,cardinality_simple_single_030,cardinality_simple_single_030_exist_target,object_existence,ambiguous,The image does not clearly show a transparent button.,success,"```json
{ ""label"": ""ambiguous"", ""reason"": ""The image does not clearly show a transparent button."" }
```"
cardinality_simple_single_030_gpt-image-1_0,cardinality_simple_single_030,cardinality_simple_single_030_cardinality,cardinality,ambiguous,The objects are not clearly identifiable as transparent buttons.,success,"```json
{ ""label"": ""ambiguous"", ""reason"": ""The objects are not clearly identifiable as transparent buttons."" }
```"
