image_id,prompt_id,constraint_id,constraint_type,check_text,human_label,human_notes
spatial_simple_single_022_gpt-image-1_0,spatial_simple_single_022,spatial_simple_single_022_exist_object_2,object_existence,The metallic paper clip should be clearly visible.,pass,the metallic paper clip is clearly visible
spatial_simple_single_022_gpt-image-1_0,spatial_simple_single_022,spatial_simple_single_022_spatial,spatial_relation,The transparent button should be lower in the image than the metallic paper clip in the 2D image.,pass,the transparent button is clearly lower than the metallic paper clip in the 2D image
spatial_simple_single_025_gpt-image-1_0,spatial_simple_single_025,spatial_simple_single_025_exist_object_1,object_existence,The die should be clearly visible.,pass,the die is clearly visible
spatial_simple_single_025_gpt-image-1_0,spatial_simple_single_025,spatial_simple_single_025_exist_object_2,object_existence,The sewing needle should be clearly visible.,pass,the sewing needle should be clearly visible
spatial_simple_single_025_gpt-image-1_0,spatial_simple_single_025,spatial_simple_single_025_spatial,spatial_relation,The die should be higher in the image than the sewing needle in the 2D image.,pass,the die is clearly higher than the sewing needle in the 2D image
spatial_simple_single_028_gpt-image-1_0,spatial_simple_single_028,spatial_simple_single_028_exist_object_1,object_existence,The rubber band should be clearly visible.,pass,the rubber band is clearly visible
spatial_simple_single_028_gpt-image-1_0,spatial_simple_single_028,spatial_simple_single_028_exist_object_2,object_existence,The small washer should be clearly visible.,pass,the small washer is clearly visible
spatial_simple_single_028_gpt-image-1_0,spatial_simple_single_028,spatial_simple_single_028_spatial,spatial_relation,The rubber band should be higher in the image than the small washer in the 2D image.,pass,the rubber band is clearly higher than the small washer in the 2D image
attribute_natural_single_006_gpt-image-1_0,attribute_natural_single_006,attribute_natural_single_006_exist_object_1,object_existence,The sewing needle should be clearly visible.,pass,the sewing needle is clearly visible
attribute_natural_single_006_gpt-image-1_0,attribute_natural_single_006,attribute_natural_single_006_exist_object_2,object_existence,The transparent button should be clearly visible.,fail,there are no objects in the image that are clearly identifiable as buttons
attribute_natural_single_006_gpt-image-1_0,attribute_natural_single_006,attribute_natural_single_006_attr_object_1,attribute,The sewing needle should be matte black.,pass,the sewing needle is matte black
attribute_natural_single_006_gpt-image-1_0,attribute_natural_single_006,attribute_natural_single_006_attr_object_2,attribute,The transparent button should be glossy white.,ambiguous,buttons not clearly visible
attribute_natural_single_012_gpt-image-1_0,attribute_natural_single_012,attribute_natural_single_012_exist_object_1,object_existence,The die should be clearly visible.,pass,the die is clearly visible
attribute_natural_single_012_gpt-image-1_0,attribute_natural_single_012,attribute_natural_single_012_exist_object_2,object_existence,The safety pin should be clearly visible.,pass,the safety pin is clearly visible
attribute_natural_single_012_gpt-image-1_0,attribute_natural_single_012,attribute_natural_single_012_attr_object_1,attribute,The die should be blue-and-white striped.,pass,the die is clearly blue-and-white striped
attribute_natural_single_012_gpt-image-1_0,attribute_natural_single_012,attribute_natural_single_012_attr_object_2,attribute,The safety pin should be polka-dotted.,ambiguous,"the safety pin is very vaguely polka-dotted, but not sure"
attribute_natural_single_018_gpt-image-1_0,attribute_natural_single_018,attribute_natural_single_018_exist_object_1,object_existence,The rubber band should be clearly visible.,pass,the rubber band is clearly visible
attribute_natural_single_018_gpt-image-1_0,attribute_natural_single_018,attribute_natural_single_018_exist_object_2,object_existence,The beige binder clip should be clearly visible.,pass,the beige binder clip is clearly visible
attribute_natural_single_018_gpt-image-1_0,attribute_natural_single_018,attribute_natural_single_018_attr_object_1,attribute,The rubber band should be polka-dotted.,pass,the rubber band is clearly polka-dotted
attribute_natural_single_018_gpt-image-1_0,attribute_natural_single_018,attribute_natural_single_018_attr_object_2,attribute,The beige binder clip should be black-and-white checkered.,pass,the beige binder clip is clearly black-and-white checkered
attribute_simple_single_024_gpt-image-1_0,attribute_simple_single_024,attribute_simple_single_024_exist_object_1,object_existence,The tiny coin should be clearly visible.,pass,the tiny coin is clearly visible
attribute_simple_single_024_gpt-image-1_0,attribute_simple_single_024,attribute_simple_single_024_exist_object_2,object_existence,The marble should be clearly visible.,pass,the marble is clearly visible
attribute_simple_single_024_gpt-image-1_0,attribute_simple_single_024,attribute_simple_single_024_attr_object_1,attribute,The tiny coin should be black-and-white checkered.,pass,the tiny coin is clearly black-and-white checkered
attribute_simple_single_024_gpt-image-1_0,attribute_simple_single_024,attribute_simple_single_024_attr_object_2,attribute,The marble should be red-and-white striped.,pass,the marble is clearly red-and-white striped
attribute_simple_single_030_gpt-image-1_0,attribute_simple_single_030,attribute_simple_single_030_exist_object_1,object_existence,The metallic paper clip should be clearly visible.,pass,the metallic paper clip is clearly visible
attribute_simple_single_030_gpt-image-1_0,attribute_simple_single_030,attribute_simple_single_030_exist_object_2,object_existence,The sewing needle should be clearly visible.,pass,the sewing needle is clearly visible
attribute_simple_single_030_gpt-image-1_0,attribute_simple_single_030,attribute_simple_single_030_attr_object_1,attribute,The metallic paper clip should be blue-and-white striped.,pass,the metallic paper clip is clearly blue-and-white striped
attribute_simple_single_030_gpt-image-1_0,attribute_simple_single_030,attribute_simple_single_030_attr_object_2,attribute,The sewing needle should be matte black.,pass,the sewing needle is clearly matte black
cardinality_natural_single_001_gpt-image-1_0,cardinality_natural_single_001,cardinality_natural_single_001_exist_target,object_existence,The sewing needle should be clearly visible.,pass,the sewing needle is clearly visible
cardinality_natural_single_001_gpt-image-1_0,cardinality_natural_single_001,cardinality_natural_single_001_cardinality,cardinality,There should be exactly 6 clearly visible sewing needles.,pass,there are exactly 6 clearly visible sewing needles
cardinality_natural_single_011_gpt-image-1_0,cardinality_natural_single_011,cardinality_natural_single_011_exist_target,object_existence,The tiny coin should be clearly visible.,pass,the tiny coin is clearly visible
cardinality_natural_single_011_gpt-image-1_0,cardinality_natural_single_011,cardinality_natural_single_011_cardinality,cardinality,There should be exactly 7 clearly visible tiny coins.,fail,there are 8 tiny coins rather than 7
cardinality_natural_single_021_gpt-image-1_0,cardinality_natural_single_021,cardinality_natural_single_021_exist_target,object_existence,The rubber band should be clearly visible.,fail,the object here is metallic washer rather than rubber band
cardinality_natural_single_021_gpt-image-1_0,cardinality_natural_single_021,cardinality_natural_single_021_cardinality,cardinality,There should be exactly 7 clearly visible rubber bands.,fail,rubber bands not exist
cardinality_simple_single_026_gpt-image-1_0,cardinality_simple_single_026,cardinality_simple_single_026_exist_target,object_existence,The small washer should be clearly visible.,pass,the small washer is clearly visible
cardinality_simple_single_026_gpt-image-1_0,cardinality_simple_single_026,cardinality_simple_single_026_cardinality,cardinality,There should be exactly 6 clearly visible small washers.,pass,there are exactly 6 clearly visible small washers
cardinality_simple_single_030_gpt-image-1_0,cardinality_simple_single_030,cardinality_simple_single_030_exist_target,object_existence,The transparent button should be clearly visible.,ambiguous,cannot tell if the objects generated are button or not
cardinality_simple_single_030_gpt-image-1_0,cardinality_simple_single_030,cardinality_simple_single_030_cardinality,cardinality,There should be exactly 6 clearly visible transparent buttons.,pass,there are exactly 6 clearly visible transparent buttons
