image_id,prompt_id,constraint_id,constraint_type,prompt_family,scene_context_type,scene_context,composition,human_label,vlm_label,human_notes,vlm_reason,parse_status
spatial_natural_single_015_gpt-image-1_0,spatial_natural_single_015,spatial_natural_single_015_exist_object_2,object_existence,spatial_layout,natural,on a shelf full of books and decorations,single,pass,pass,the metallic paper clip is clearly visible,The metallic paper clip is clearly visible on the desk.,success
spatial_natural_single_015_gpt-image-1_0,spatial_natural_single_015,spatial_natural_single_015_spatial,spatial_relation,spatial_layout,natural,on a shelf full of books and decorations,single,pass,pass,the small washer is clearly lower than the metallic paper clip in the 2D image,The small washer is clearly lower in the image than the metallic paper clip.,success
spatial_simple_single_019_gpt-image-1_0,spatial_simple_single_019,spatial_simple_single_019_exist_object_1,object_existence,spatial_layout,simple,on a clean surface with a few unrelated objects,single,pass,pass,the beige binder clip is clearly visible,The beige binder clip is clearly visible in the image.,success
spatial_simple_single_019_gpt-image-1_0,spatial_simple_single_019,spatial_simple_single_019_exist_object_2,object_existence,spatial_layout,simple,on a clean surface with a few unrelated objects,single,pass,pass,the thumbtack is clearly visible,The thumbtack is clearly visible in the image.,success
spatial_simple_single_019_gpt-image-1_0,spatial_simple_single_019,spatial_simple_single_019_spatial,spatial_relation,spatial_layout,simple,on a clean surface with a few unrelated objects,single,pass,pass,the beige binder clip is clearly in the lower-right area relative to the thumbtack in the 2D image,The beige binder clip is clearly in the lower-right area relative to the thumbtack.,success
spatial_simple_single_022_gpt-image-1_0,spatial_simple_single_022,spatial_simple_single_022_exist_object_1,object_existence,spatial_layout,simple,on a clean surface with a few unrelated objects,single,pass,pass,the transparent button is clearly visible,The transparent button is clearly visible in the image.,success
spatial_simple_single_022_gpt-image-1_0,spatial_simple_single_022,spatial_simple_single_022_exist_object_2,object_existence,spatial_layout,simple,on a clean surface with a few unrelated objects,single,pass,pass,the metallic paper clip is clearly visible,The metallic paper clip is clearly visible at the top of the image.,success
spatial_simple_single_022_gpt-image-1_0,spatial_simple_single_022,spatial_simple_single_022_spatial,spatial_relation,spatial_layout,simple,on a clean surface with a few unrelated objects,single,pass,pass,the transparent button is clearly lower than the metallic paper clip in the 2D image,The transparent button is clearly lower in the image than the metallic paper clip.,success
spatial_simple_single_025_gpt-image-1_0,spatial_simple_single_025,spatial_simple_single_025_exist_object_1,object_existence,spatial_layout,simple,on a lightly cluttered tabletop,single,pass,pass,the die is clearly visible,The die is clearly visible in the image.,success
spatial_simple_single_025_gpt-image-1_0,spatial_simple_single_025,spatial_simple_single_025_exist_object_2,object_existence,spatial_layout,simple,on a lightly cluttered tabletop,single,pass,pass,the sewing needle should be clearly visible,The sewing needle is clearly visible in front of the die.,success
spatial_simple_single_025_gpt-image-1_0,spatial_simple_single_025,spatial_simple_single_025_spatial,spatial_relation,spatial_layout,simple,on a lightly cluttered tabletop,single,pass,pass,the die is clearly higher than the sewing needle in the 2D image,The die is clearly positioned higher in the image than the sewing needle.,success
spatial_simple_single_028_gpt-image-1_0,spatial_simple_single_028,spatial_simple_single_028_exist_object_1,object_existence,spatial_layout,simple,on a plain desk with soft shadows,single,pass,pass,the rubber band is clearly visible,The rubber band is clearly visible in the image.,success
spatial_simple_single_028_gpt-image-1_0,spatial_simple_single_028,spatial_simple_single_028_exist_object_2,object_existence,spatial_layout,simple,on a plain desk with soft shadows,single,pass,pass,the small washer is clearly visible,The small washer is clearly visible in the image.,success
spatial_simple_single_028_gpt-image-1_0,spatial_simple_single_028,spatial_simple_single_028_spatial,spatial_relation,spatial_layout,simple,on a plain desk with soft shadows,single,pass,pass,the rubber band is clearly higher than the small washer in the 2D image,The rubber band is clearly above the small washer in the image.,success
attribute_natural_single_006_gpt-image-1_0,attribute_natural_single_006,attribute_natural_single_006_exist_object_1,object_existence,attribute_binding,natural,on a craft table with beads and art supplies,single,pass,pass,the sewing needle is clearly visible,The sewing needle is clearly visible in the foreground.,success
attribute_natural_single_006_gpt-image-1_0,attribute_natural_single_006,attribute_natural_single_006_exist_object_2,object_existence,attribute_binding,natural,on a craft table with beads and art supplies,single,fail,fail,there are no objects in the image that are clearly identifiable as buttons,There is no clearly visible transparent button in the image.,success
attribute_natural_single_006_gpt-image-1_0,attribute_natural_single_006,attribute_natural_single_006_attr_object_1,attribute,attribute_binding,natural,on a craft table with beads and art supplies,single,pass,pass,the sewing needle is matte black,The sewing needle is clearly matte black.,success
attribute_natural_single_006_gpt-image-1_0,attribute_natural_single_006,attribute_natural_single_006_attr_object_2,attribute,attribute_binding,natural,on a craft table with beads and art supplies,single,ambiguous,ambiguous,buttons not clearly visible,There is no clearly identifiable transparent button in the image.,success
attribute_natural_single_012_gpt-image-1_0,attribute_natural_single_012,attribute_natural_single_012_exist_object_1,object_existence,attribute_binding,natural,on a dining table with plates and utensils nearby,single,pass,pass,the die is clearly visible,The die is clearly visible in the image.,success
attribute_natural_single_012_gpt-image-1_0,attribute_natural_single_012,attribute_natural_single_012_exist_object_2,object_existence,attribute_binding,natural,on a dining table with plates and utensils nearby,single,pass,pass,the safety pin is clearly visible,The safety pin is clearly visible in the image.,success
attribute_natural_single_012_gpt-image-1_0,attribute_natural_single_012,attribute_natural_single_012_attr_object_1,attribute,attribute_binding,natural,on a dining table with plates and utensils nearby,single,pass,pass,the die is clearly blue-and-white striped,The die is clearly blue-and-white striped.,success
attribute_natural_single_012_gpt-image-1_0,attribute_natural_single_012,attribute_natural_single_012_attr_object_2,attribute,attribute_binding,natural,on a dining table with plates and utensils nearby,single,ambiguous,fail,"the safety pin is very vaguely polka-dotted, but not sure","The safety pin is striped, not polka-dotted.",success
attribute_natural_single_018_gpt-image-1_0,attribute_natural_single_018,attribute_natural_single_018_exist_object_1,object_existence,attribute_binding,natural,on a picnic blanket with many small objects,single,pass,fail,the rubber band is clearly visible,No rubber band is clearly visible in the image.,success
attribute_natural_single_018_gpt-image-1_0,attribute_natural_single_018,attribute_natural_single_018_exist_object_2,object_existence,attribute_binding,natural,on a picnic blanket with many small objects,single,pass,fail,the beige binder clip is clearly visible,A beige binder clip is not clearly visible in the image.,success
attribute_natural_single_018_gpt-image-1_0,attribute_natural_single_018,attribute_natural_single_018_attr_object_1,attribute,attribute_binding,natural,on a picnic blanket with many small objects,single,pass,fail,the rubber band is clearly polka-dotted,"The polka-dotted object is a solid ring, not a rubber band.",success
attribute_natural_single_018_gpt-image-1_0,attribute_natural_single_018,attribute_natural_single_018_attr_object_2,attribute,attribute_binding,natural,on a picnic blanket with many small objects,single,pass,fail,the beige binder clip is clearly black-and-white checkered,The beige binder clip is not black-and-white checkered; it is covered in a black-and-beige checkered pattern.,success
attribute_simple_single_024_gpt-image-1_0,attribute_simple_single_024,attribute_simple_single_024_exist_object_1,object_existence,attribute_binding,simple,on a clean surface with a few unrelated objects,single,pass,ambiguous,the tiny coin is clearly visible,It is unclear if the object on the left is a tiny coin or another round object.,success
attribute_simple_single_024_gpt-image-1_0,attribute_simple_single_024,attribute_simple_single_024_exist_object_2,object_existence,attribute_binding,simple,on a clean surface with a few unrelated objects,single,pass,pass,the marble is clearly visible,The marble is clearly visible in the image.,success
attribute_simple_single_024_gpt-image-1_0,attribute_simple_single_024,attribute_simple_single_024_attr_object_1,attribute,attribute_binding,simple,on a clean surface with a few unrelated objects,single,pass,pass,the tiny coin is clearly black-and-white checkered,The tiny coin has a black-and-white checkered pattern.,success
attribute_simple_single_024_gpt-image-1_0,attribute_simple_single_024,attribute_simple_single_024_attr_object_2,attribute,attribute_binding,simple,on a clean surface with a few unrelated objects,single,pass,pass,the marble is clearly red-and-white striped,The marble is clearly red-and-white striped.,success
attribute_simple_single_030_gpt-image-1_0,attribute_simple_single_030,attribute_simple_single_030_exist_object_1,object_existence,attribute_binding,simple,on a plain desk with soft shadows,single,pass,fail,the metallic paper clip is clearly visible,No metallic paper clip is clearly visible; the paper clip appears to be plastic.,success
attribute_simple_single_030_gpt-image-1_0,attribute_simple_single_030,attribute_simple_single_030_exist_object_2,object_existence,attribute_binding,simple,on a plain desk with soft shadows,single,pass,pass,the sewing needle is clearly visible,The sewing needle is clearly visible in the image.,success
attribute_simple_single_030_gpt-image-1_0,attribute_simple_single_030,attribute_simple_single_030_attr_object_1,attribute,attribute_binding,simple,on a plain desk with soft shadows,single,pass,fail,the metallic paper clip is clearly blue-and-white striped,The paper clip is blue-and-white striped but does not appear metallic.,success
attribute_simple_single_030_gpt-image-1_0,attribute_simple_single_030,attribute_simple_single_030_attr_object_2,attribute,attribute_binding,simple,on a plain desk with soft shadows,single,pass,pass,the sewing needle is clearly matte black,The sewing needle is clearly matte black.,success
cardinality_natural_single_001_gpt-image-1_0,cardinality_natural_single_001,cardinality_natural_single_001_exist_target,object_existence,cardinality,natural,on a cluttered desk with many office supplies,single,pass,ambiguous,the sewing needle is clearly visible,The objects resemble needles but it is unclear if they are specifically sewing needles.,success
cardinality_natural_single_001_gpt-image-1_0,cardinality_natural_single_001,cardinality_natural_single_001_cardinality,cardinality,cardinality,natural,on a cluttered desk with many office supplies,single,pass,pass,there are exactly 6 clearly visible sewing needles,There are exactly 6 clearly visible sewing needles.,success
cardinality_natural_single_011_gpt-image-1_0,cardinality_natural_single_011,cardinality_natural_single_011_exist_target,object_existence,cardinality,natural,on a dining table with plates and utensils nearby,single,pass,pass,the tiny coin is clearly visible,Several tiny coins are clearly visible on the table.,success
cardinality_natural_single_011_gpt-image-1_0,cardinality_natural_single_011,cardinality_natural_single_011_cardinality,cardinality,cardinality,natural,on a dining table with plates and utensils nearby,single,fail,fail,there are 8 tiny coins rather than 7,There are nine clearly visible tiny coins.,success
cardinality_natural_single_021_gpt-image-1_0,cardinality_natural_single_021,cardinality_natural_single_021_exist_target,object_existence,cardinality,natural,on a workbench with tools,single,fail,ambiguous,the object here is metallic washer rather than rubber band,"The rings could be rubber bands or metal rings, so object identity is uncertain.",success
cardinality_natural_single_021_gpt-image-1_0,cardinality_natural_single_021,cardinality_natural_single_021_cardinality,cardinality,cardinality,natural,on a workbench with tools,single,fail,pass,rubber bands not exist,There are exactly 7 clearly visible rubber bands.,success
cardinality_simple_single_026_gpt-image-1_0,cardinality_simple_single_026,cardinality_simple_single_026_exist_target,object_existence,cardinality,simple,on a lightly cluttered tabletop,single,pass,pass,the small washer is clearly visible,Several small washers are clearly visible in the image.,success
cardinality_simple_single_026_gpt-image-1_0,cardinality_simple_single_026,cardinality_simple_single_026_cardinality,cardinality,cardinality,simple,on a lightly cluttered tabletop,single,pass,pass,there are exactly 6 clearly visible small washers,There are exactly 6 clearly visible small washers.,success
cardinality_simple_single_030_gpt-image-1_0,cardinality_simple_single_030,cardinality_simple_single_030_exist_target,object_existence,cardinality,simple,on a plain desk with soft shadows,single,ambiguous,ambiguous,cannot tell if the objects generated are button or not,It is unclear if any of the visible objects are transparent buttons.,success
cardinality_simple_single_030_gpt-image-1_0,cardinality_simple_single_030,cardinality_simple_single_030_cardinality,cardinality,cardinality,simple,on a plain desk with soft shadows,single,pass,pass,there are exactly 6 clearly visible transparent buttons,There are exactly 6 clearly visible transparent buttons.,success
