generation_job_id,prompt_id,provider,model_name,assignment_type,image_dir,size,quality,aspect_ratio
job_0034,combined_attribute_cardinality_003,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0035,combined_attribute_cardinality_015,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0036,combined_attribute_cardinality_032,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0037,combined_spatial_attribute_003,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0038,combined_spatial_attribute_013,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0039,combined_spatial_attribute_017,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0040,combined_spatial_attribute_001,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0041,combined_spatial_attribute_022,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0042,combined_spatial_attribute_016,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0043,combined_spatial_attribute_036,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0044,combined_spatial_attribute_021,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0045,combined_spatial_attribute_035,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0046,combined_spatial_attribute_029,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0047,combined_spatial_attribute_011,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0048,combined_spatial_attribute_033,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0049,combined_spatial_attribute_026,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0050,combined_spatial_attribute_002,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0051,combined_spatial_attribute_010,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0052,combined_spatial_attribute_008,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0053,combined_spatial_attribute_031,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0054,combined_spatial_attribute_007,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0055,combined_spatial_attribute_025,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0056,combined_spatial_attribute_014,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0057,combined_spatial_attribute_024,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0058,combined_spatial_attribute_028,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0059,combined_spatial_attribute_023,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0060,combined_spatial_attribute_006,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0061,combined_spatial_attribute_030,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0062,combined_spatial_attribute_012,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0063,combined_spatial_attribute_019,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0064,combined_spatial_attribute_015,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0065,combined_spatial_attribute_020,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0066,combined_spatial_attribute_009,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0067,combined_spatial_attribute_027,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0068,combined_spatial_attribute_005,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0069,combined_spatial_attribute_032,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0070,combined_spatial_attribute_004,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0071,combined_spatial_attribute_018,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0072,combined_spatial_attribute_034,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0073,combined_spatial_cardinality_017,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0074,combined_spatial_cardinality_028,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0075,combined_spatial_cardinality_021,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0076,combined_spatial_cardinality_001,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0077,combined_spatial_cardinality_014,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0078,combined_spatial_cardinality_026,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0079,combined_spatial_cardinality_004,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0080,combined_spatial_cardinality_023,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0081,combined_spatial_cardinality_019,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0082,combined_spatial_cardinality_034,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0083,combined_spatial_cardinality_008,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0084,combined_spatial_cardinality_011,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0085,combined_spatial_cardinality_032,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0086,combined_spatial_cardinality_030,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0087,combined_spatial_cardinality_024,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0088,combined_spatial_cardinality_015,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0089,combined_spatial_cardinality_005,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0090,combined_spatial_cardinality_022,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0091,combined_spatial_cardinality_029,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0092,combined_spatial_cardinality_027,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0093,combined_spatial_cardinality_018,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0094,combined_spatial_cardinality_033,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0095,combined_spatial_cardinality_020,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0096,combined_spatial_cardinality_003,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0097,combined_spatial_cardinality_031,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0098,combined_spatial_cardinality_013,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0099,combined_spatial_cardinality_007,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0100,combined_spatial_cardinality_025,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0101,combined_spatial_cardinality_010,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0102,combined_spatial_cardinality_009,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0103,combined_spatial_cardinality_035,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0104,combined_spatial_cardinality_012,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0105,combined_spatial_cardinality_006,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0106,combined_spatial_cardinality_002,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0107,combined_spatial_cardinality_016,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0108,combined_spatial_cardinality_036,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0109,single_attribute_022,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0110,single_attribute_020,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0111,single_attribute_018,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0112,single_attribute_012,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0113,single_attribute_011,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0114,single_attribute_008,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0115,single_attribute_007,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0116,single_attribute_024,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0117,single_attribute_013,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0118,single_attribute_019,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0119,single_attribute_009,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0120,single_attribute_004,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0121,single_attribute_010,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0122,single_attribute_017,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0123,single_attribute_005,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0124,single_attribute_014,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0125,single_attribute_006,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0126,single_attribute_003,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0127,single_attribute_023,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0128,single_attribute_021,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0129,single_attribute_016,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0130,single_attribute_001,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0131,single_attribute_002,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0132,single_attribute_015,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0133,single_cardinality_011,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0134,single_cardinality_007,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0135,single_cardinality_012,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0136,single_cardinality_003,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0137,single_cardinality_009,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0138,single_cardinality_016,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0139,single_cardinality_005,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0140,single_cardinality_010,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0141,single_cardinality_002,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0142,single_cardinality_021,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0143,single_cardinality_004,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0144,single_cardinality_020,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0145,single_cardinality_015,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0146,single_cardinality_013,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0147,single_cardinality_022,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0148,single_cardinality_024,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0149,single_cardinality_006,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0150,single_cardinality_023,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0151,single_cardinality_019,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0152,single_cardinality_014,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0153,single_cardinality_008,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0154,single_cardinality_018,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0155,single_cardinality_017,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0156,single_cardinality_001,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0157,single_spatial_013,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0158,single_spatial_021,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0159,single_spatial_016,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0160,single_spatial_018,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0161,single_spatial_007,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0162,single_spatial_006,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0163,single_spatial_012,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0164,single_spatial_003,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0165,single_spatial_009,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0166,single_spatial_004,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0167,single_spatial_001,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0168,single_spatial_023,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0169,single_spatial_008,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0170,single_spatial_017,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0171,single_spatial_014,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0172,single_spatial_011,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0173,single_spatial_020,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0174,single_spatial_015,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0175,single_spatial_024,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0176,single_spatial_019,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0177,single_spatial_002,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0178,single_spatial_010,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
job_0179,single_spatial_005,openai,gpt-image-1,unpaired_stratified,../data/images/openai_gpt_image_1,1024x1024,low,
job_0180,single_spatial_022,google,gemini-2.5-flash-image,unpaired_stratified,../data/images/google_gemini_25_flash_image,,,1:1
