repair_id,source_image_id,source_prompt_id,target_constraint_id,target_constraint_type,before_label,after_label,target_fixed
repair_human_011_job_0017_gpt_image_1_00,job_0017_gpt_image_1_00,combined_attribute_cardinality_016,combined_attribute_cardinality_016_cardinality,cardinality,fail,fail,False
repair_human_012_job_0018_gemini_2_5_flash_image_00,job_0018_gemini_2_5_flash_image_00,combined_attribute_cardinality_031,combined_attribute_cardinality_031_cardinality,cardinality,fail,pass,True
repair_human_012_job_0018_gemini_2_5_flash_image_00,job_0018_gemini_2_5_flash_image_00,combined_attribute_cardinality_031,combined_attribute_cardinality_031_attribute_object_1,attribute,fail,pass,True
repair_human_013_job_0019_gpt_image_1_00,job_0019_gpt_image_1_00,combined_attribute_cardinality_022,combined_attribute_cardinality_022_cardinality,cardinality,fail,fail,False
repair_human_014_job_0022_gemini_2_5_flash_image_00,job_0022_gemini_2_5_flash_image_00,combined_attribute_cardinality_007,combined_attribute_cardinality_007_attribute_object_1,attribute,fail,fail,False
repair_human_014_job_0022_gemini_2_5_flash_image_00,job_0022_gemini_2_5_flash_image_00,combined_attribute_cardinality_007,combined_attribute_cardinality_007_attribute_object_2,attribute,ambiguous,pass,True
repair_human_015_job_0023_gpt_image_1_00,job_0023_gpt_image_1_00,combined_attribute_cardinality_018,combined_attribute_cardinality_018_cardinality,cardinality,fail,fail,False
repair_human_016_job_0024_gemini_2_5_flash_image_00,job_0024_gemini_2_5_flash_image_00,combined_attribute_cardinality_010,combined_attribute_cardinality_010_cardinality,cardinality,ambiguous,fail,False
repair_human_016_job_0024_gemini_2_5_flash_image_00,job_0024_gemini_2_5_flash_image_00,combined_attribute_cardinality_010,combined_attribute_cardinality_010_attribute_object_2,attribute,ambiguous,pass,True
repair_human_017_job_0025_gpt_image_1_00,job_0025_gpt_image_1_00,combined_attribute_cardinality_009,combined_attribute_cardinality_009_cardinality,cardinality,fail,pass,True
repair_human_018_job_0026_gemini_2_5_flash_image_00,job_0026_gemini_2_5_flash_image_00,combined_attribute_cardinality_030,combined_attribute_cardinality_030_cardinality,cardinality,fail,pass,True
repair_human_019_job_0028_gemini_2_5_flash_image_00,job_0028_gemini_2_5_flash_image_00,combined_attribute_cardinality_005,combined_attribute_cardinality_005_identity_object_1,object_identity,fail,pass,True
repair_human_020_job_0029_gpt_image_1_00,job_0029_gpt_image_1_00,combined_attribute_cardinality_027,combined_attribute_cardinality_027_cardinality,cardinality,fail,fail,False
repair_human_021_job_0030_gemini_2_5_flash_image_00,job_0030_gemini_2_5_flash_image_00,combined_attribute_cardinality_004,combined_attribute_cardinality_004_identity_object_1,object_identity,ambiguous,fail,False
repair_human_021_job_0030_gemini_2_5_flash_image_00,job_0030_gemini_2_5_flash_image_00,combined_attribute_cardinality_004,combined_attribute_cardinality_004_identity_object_2,object_identity,ambiguous,pass,True
repair_human_022_job_0031_gpt_image_1_00,job_0031_gpt_image_1_00,combined_attribute_cardinality_008,combined_attribute_cardinality_008_cardinality,cardinality,fail,pass,True
repair_human_023_job_0032_gemini_2_5_flash_image_00,job_0032_gemini_2_5_flash_image_00,combined_attribute_cardinality_035,combined_attribute_cardinality_035_identity_object_1,object_identity,fail,fail,False
repair_human_024_job_0037_gpt_image_1_00,job_0037_gpt_image_1_00,combined_spatial_attribute_003,combined_spatial_attribute_003_attribute_object_1,attribute,ambiguous,pass,True
repair_human_025_job_0038_gemini_2_5_flash_image_00,job_0038_gemini_2_5_flash_image_00,combined_spatial_attribute_013,combined_spatial_attribute_013_identity_object_2,object_identity,ambiguous,pass,True
repair_human_025_job_0038_gemini_2_5_flash_image_00,job_0038_gemini_2_5_flash_image_00,combined_spatial_attribute_013,combined_spatial_attribute_013_attribute_object_2,attribute,fail,pass,True
repair_human_026_job_0039_gpt_image_1_00,job_0039_gpt_image_1_00,combined_spatial_attribute_017,combined_spatial_attribute_017_identity_object_1,object_identity,ambiguous,ambiguous,False
repair_human_027_job_0045_gpt_image_1_00,job_0045_gpt_image_1_00,combined_spatial_attribute_035,combined_spatial_attribute_035_identity_object_2,object_identity,ambiguous,pass,True
repair_human_028_job_0046_gemini_2_5_flash_image_00,job_0046_gemini_2_5_flash_image_00,combined_spatial_attribute_029,combined_spatial_attribute_029_identity_object_1,object_identity,fail,pass,True
repair_human_029_job_0048_gemini_2_5_flash_image_00,job_0048_gemini_2_5_flash_image_00,combined_spatial_attribute_033,combined_spatial_attribute_033_attribute_object_1,attribute,ambiguous,pass,True
repair_human_029_job_0048_gemini_2_5_flash_image_00,job_0048_gemini_2_5_flash_image_00,combined_spatial_attribute_033,combined_spatial_attribute_033_spatial,spatial_relation,fail,pass,True
repair_human_030_job_0050_gemini_2_5_flash_image_00,job_0050_gemini_2_5_flash_image_00,combined_spatial_attribute_002,combined_spatial_attribute_002_identity_object_1,object_identity,fail,pass,True
repair_human_031_job_0051_gpt_image_1_00,job_0051_gpt_image_1_00,combined_spatial_attribute_010,combined_spatial_attribute_010_identity_object_1,object_identity,ambiguous,ambiguous,False
repair_human_032_job_0052_gemini_2_5_flash_image_00,job_0052_gemini_2_5_flash_image_00,combined_spatial_attribute_008,combined_spatial_attribute_008_identity_object_2,object_identity,fail,fail,False
repair_human_033_job_0053_gpt_image_1_00,job_0053_gpt_image_1_00,combined_spatial_attribute_031,combined_spatial_attribute_031_identity_object_2,object_identity,fail,pass,True
repair_human_033_job_0053_gpt_image_1_00,job_0053_gpt_image_1_00,combined_spatial_attribute_031,combined_spatial_attribute_031_attribute_object_2,attribute,ambiguous,pass,True
repair_human_033_job_0053_gpt_image_1_00,job_0053_gpt_image_1_00,combined_spatial_attribute_031,combined_spatial_attribute_031_spatial,spatial_relation,ambiguous,pass,True
repair_human_034_job_0054_gemini_2_5_flash_image_00,job_0054_gemini_2_5_flash_image_00,combined_spatial_attribute_007,combined_spatial_attribute_007_identity_object_1,object_identity,fail,fail,False
repair_human_034_job_0054_gemini_2_5_flash_image_00,job_0054_gemini_2_5_flash_image_00,combined_spatial_attribute_007,combined_spatial_attribute_007_identity_object_2,object_identity,fail,pass,True
repair_human_035_job_0055_gpt_image_1_00,job_0055_gpt_image_1_00,combined_spatial_attribute_025,combined_spatial_attribute_025_spatial,spatial_relation,fail,pass,True
repair_human_036_job_0059_gpt_image_1_00,job_0059_gpt_image_1_00,combined_spatial_attribute_023,combined_spatial_attribute_023_identity_object_1,object_identity,ambiguous,pass,True
repair_human_037_job_0064_gemini_2_5_flash_image_00,job_0064_gemini_2_5_flash_image_00,combined_spatial_attribute_015,combined_spatial_attribute_015_identity_object_1,object_identity,fail,pass,True
repair_human_038_job_0065_gpt_image_1_00,job_0065_gpt_image_1_00,combined_spatial_attribute_020,combined_spatial_attribute_020_attribute_object_1,attribute,fail,pass,True
repair_human_039_job_0069_gpt_image_1_00,job_0069_gpt_image_1_00,combined_spatial_attribute_032,combined_spatial_attribute_032_identity_object_1,object_identity,ambiguous,ambiguous,False
repair_human_040_job_0072_gemini_2_5_flash_image_00,job_0072_gemini_2_5_flash_image_00,combined_spatial_attribute_034,combined_spatial_attribute_034_identity_object_2,object_identity,ambiguous,fail,False
repair_human_040_job_0072_gemini_2_5_flash_image_00,job_0072_gemini_2_5_flash_image_00,combined_spatial_attribute_034,combined_spatial_attribute_034_spatial,spatial_relation,fail,fail,False
repair_human_041_job_0074_gemini_2_5_flash_image_00,job_0074_gemini_2_5_flash_image_00,combined_spatial_cardinality_028,combined_spatial_cardinality_028_cardinality,cardinality,fail,pass,True
repair_human_042_job_0076_gemini_2_5_flash_image_00,job_0076_gemini_2_5_flash_image_00,combined_spatial_cardinality_001,combined_spatial_cardinality_001_cardinality,cardinality,fail,pass,True
repair_human_043_job_0078_gemini_2_5_flash_image_00,job_0078_gemini_2_5_flash_image_00,combined_spatial_cardinality_026,combined_spatial_cardinality_026_cardinality,cardinality,fail,fail,False
repair_human_044_job_0080_gemini_2_5_flash_image_00,job_0080_gemini_2_5_flash_image_00,combined_spatial_cardinality_023,combined_spatial_cardinality_023_identity_object_2,object_identity,fail,ambiguous,False
repair_human_044_job_0080_gemini_2_5_flash_image_00,job_0080_gemini_2_5_flash_image_00,combined_spatial_cardinality_023,combined_spatial_cardinality_023_cardinality,cardinality,fail,fail,False
repair_human_044_job_0080_gemini_2_5_flash_image_00,job_0080_gemini_2_5_flash_image_00,combined_spatial_cardinality_023,combined_spatial_cardinality_023_spatial,spatial_relation,ambiguous,fail,False
repair_human_045_job_0082_gemini_2_5_flash_image_00,job_0082_gemini_2_5_flash_image_00,combined_spatial_cardinality_034,combined_spatial_cardinality_034_cardinality,cardinality,fail,fail,False
repair_human_045_job_0082_gemini_2_5_flash_image_00,job_0082_gemini_2_5_flash_image_00,combined_spatial_cardinality_034,combined_spatial_cardinality_034_spatial,spatial_relation,fail,pass,True
repair_human_046_job_0083_gpt_image_1_00,job_0083_gpt_image_1_00,combined_spatial_cardinality_008,combined_spatial_cardinality_008_cardinality,cardinality,fail,pass,True
repair_human_046_job_0083_gpt_image_1_00,job_0083_gpt_image_1_00,combined_spatial_cardinality_008,combined_spatial_cardinality_008_spatial,spatial_relation,fail,fail,False
repair_human_047_job_0084_gemini_2_5_flash_image_00,job_0084_gemini_2_5_flash_image_00,combined_spatial_cardinality_011,combined_spatial_cardinality_011_spatial,spatial_relation,fail,pass,True
repair_human_048_job_0086_gemini_2_5_flash_image_00,job_0086_gemini_2_5_flash_image_00,combined_spatial_cardinality_030,combined_spatial_cardinality_030_cardinality,cardinality,fail,pass,True
repair_human_049_job_0087_gpt_image_1_00,job_0087_gpt_image_1_00,combined_spatial_cardinality_024,combined_spatial_cardinality_024_cardinality,cardinality,fail,pass,True
repair_human_050_job_0089_gpt_image_1_00,job_0089_gpt_image_1_00,combined_spatial_cardinality_005,combined_spatial_cardinality_005_cardinality,cardinality,ambiguous,fail,False
repair_human_051_job_0090_gemini_2_5_flash_image_00,job_0090_gemini_2_5_flash_image_00,combined_spatial_cardinality_022,combined_spatial_cardinality_022_cardinality,cardinality,fail,fail,False
repair_human_052_job_0092_gemini_2_5_flash_image_00,job_0092_gemini_2_5_flash_image_00,combined_spatial_cardinality_027,combined_spatial_cardinality_027_identity_object_1,object_identity,ambiguous,pass,True
repair_human_053_job_0093_gpt_image_1_00,job_0093_gpt_image_1_00,combined_spatial_cardinality_018,combined_spatial_cardinality_018_cardinality,cardinality,fail,fail,False
repair_human_054_job_0095_gpt_image_1_00,job_0095_gpt_image_1_00,combined_spatial_cardinality_020,combined_spatial_cardinality_020_cardinality,cardinality,fail,pass,True
repair_human_055_job_0096_gemini_2_5_flash_image_00,job_0096_gemini_2_5_flash_image_00,combined_spatial_cardinality_003,combined_spatial_cardinality_003_cardinality,cardinality,ambiguous,pass,True
repair_human_056_job_0101_gpt_image_1_00,job_0101_gpt_image_1_00,combined_spatial_cardinality_010,combined_spatial_cardinality_010_identity_object_2,object_identity,ambiguous,pass,True
repair_human_057_job_0102_gemini_2_5_flash_image_00,job_0102_gemini_2_5_flash_image_00,combined_spatial_cardinality_009,combined_spatial_cardinality_009_cardinality,cardinality,fail,ambiguous,False
repair_human_057_job_0102_gemini_2_5_flash_image_00,job_0102_gemini_2_5_flash_image_00,combined_spatial_cardinality_009,combined_spatial_cardinality_009_spatial,spatial_relation,fail,pass,True
repair_human_058_job_0105_gpt_image_1_00,job_0105_gpt_image_1_00,combined_spatial_cardinality_006,combined_spatial_cardinality_006_identity_object_1,object_identity,ambiguous,pass,True
repair_human_059_job_0106_gemini_2_5_flash_image_00,job_0106_gemini_2_5_flash_image_00,combined_spatial_cardinality_002,combined_spatial_cardinality_002_identity_object_2,object_identity,fail,pass,True
repair_human_060_job_0110_gemini_2_5_flash_image_00,job_0110_gemini_2_5_flash_image_00,single_attribute_020,single_attribute_020_identity_object_1,object_identity,ambiguous,pass,True
repair_human_061_job_0114_gemini_2_5_flash_image_00,job_0114_gemini_2_5_flash_image_00,single_attribute_008,single_attribute_008_identity_object_1,object_identity,ambiguous,pass,True
repair_human_062_job_0116_gemini_2_5_flash_image_00,job_0116_gemini_2_5_flash_image_00,single_attribute_024,single_attribute_024_identity_object_2,object_identity,ambiguous,pass,True
repair_human_063_job_0118_gemini_2_5_flash_image_00,job_0118_gemini_2_5_flash_image_00,single_attribute_019,single_attribute_019_identity_object_2,object_identity,fail,pass,True
repair_human_064_job_0126_gemini_2_5_flash_image_00,job_0126_gemini_2_5_flash_image_00,single_attribute_003,single_attribute_003_identity_object_2,object_identity,ambiguous,pass,True
repair_human_065_job_0128_gemini_2_5_flash_image_00,job_0128_gemini_2_5_flash_image_00,single_attribute_021,single_attribute_021_identity_object_1,object_identity,fail,pass,True
repair_human_065_job_0128_gemini_2_5_flash_image_00,job_0128_gemini_2_5_flash_image_00,single_attribute_021,single_attribute_021_identity_object_2,object_identity,ambiguous,pass,True
repair_human_066_job_0129_gpt_image_1_00,job_0129_gpt_image_1_00,single_attribute_016,single_attribute_016_identity_object_1,object_identity,ambiguous,pass,True
repair_human_067_job_0138_gemini_2_5_flash_image_00,job_0138_gemini_2_5_flash_image_00,single_cardinality_016,single_cardinality_016_cardinality,cardinality,fail,pass,True
repair_human_068_job_0140_gemini_2_5_flash_image_00,job_0140_gemini_2_5_flash_image_00,single_cardinality_010,single_cardinality_010_cardinality,cardinality,fail,pass,True
repair_human_069_job_0142_gemini_2_5_flash_image_00,job_0142_gemini_2_5_flash_image_00,single_cardinality_021,single_cardinality_021_cardinality,cardinality,fail,ambiguous,False
repair_human_070_job_0144_gemini_2_5_flash_image_00,job_0144_gemini_2_5_flash_image_00,single_cardinality_020,single_cardinality_020_cardinality,cardinality,fail,fail,False
repair_human_071_job_0148_gemini_2_5_flash_image_00,job_0148_gemini_2_5_flash_image_00,single_cardinality_024,single_cardinality_024_cardinality,cardinality,fail,pass,True
repair_human_072_job_0150_gemini_2_5_flash_image_00,job_0150_gemini_2_5_flash_image_00,single_cardinality_023,single_cardinality_023_cardinality,cardinality,fail,fail,False
repair_human_073_job_0151_gpt_image_1_00,job_0151_gpt_image_1_00,single_cardinality_019,single_cardinality_019_cardinality,cardinality,fail,fail,False
repair_human_074_job_0154_gemini_2_5_flash_image_00,job_0154_gemini_2_5_flash_image_00,single_cardinality_018,single_cardinality_018_cardinality,cardinality,fail,fail,False
repair_human_075_job_0160_gemini_2_5_flash_image_00,job_0160_gemini_2_5_flash_image_00,single_spatial_018,single_spatial_018_identity_object_2,object_identity,fail,pass,True
repair_human_076_job_0166_gemini_2_5_flash_image_00,job_0166_gemini_2_5_flash_image_00,single_spatial_004,single_spatial_004_identity_object_2,object_identity,ambiguous,pass,True
repair_human_077_job_0171_gpt_image_1_00,job_0171_gpt_image_1_00,single_spatial_014,single_spatial_014_identity_object_2,object_identity,ambiguous,fail,False
repair_human_078_job_0172_gemini_2_5_flash_image_00,job_0172_gemini_2_5_flash_image_00,single_spatial_011,single_spatial_011_spatial,spatial_relation,fail,pass,True
repair_human_079_job_0174_gemini_2_5_flash_image_00,job_0174_gemini_2_5_flash_image_00,single_spatial_015,single_spatial_015_identity_object_2,object_identity,fail,pass,True
repair_human_080_job_0176_gemini_2_5_flash_image_00,job_0176_gemini_2_5_flash_image_00,single_spatial_019,single_spatial_019_identity_object_2,object_identity,fail,pass,True
repair_human_081_job_0178_gemini_2_5_flash_image_00,job_0178_gemini_2_5_flash_image_00,single_spatial_010,single_spatial_010_identity_object_2,object_identity,fail,pass,True
repair_vlm_001_job_0001_gpt_image_1_00,job_0001_gpt_image_1_00,combined_attribute_cardinality_001,combined_attribute_cardinality_001_identity_object_1,object_identity,ambiguous,pass,True
repair_vlm_001_job_0001_gpt_image_1_00,job_0001_gpt_image_1_00,combined_attribute_cardinality_001,combined_attribute_cardinality_001_identity_object_2,object_identity,ambiguous,pass,True
repair_vlm_001_job_0001_gpt_image_1_00,job_0001_gpt_image_1_00,combined_attribute_cardinality_001,combined_attribute_cardinality_001_cardinality,cardinality,fail,pass,True
repair_vlm_001_job_0001_gpt_image_1_00,job_0001_gpt_image_1_00,combined_attribute_cardinality_001,combined_attribute_cardinality_001_attribute_object_2,attribute,ambiguous,pass,True
repair_vlm_002_job_0002_gemini_2_5_flash_image_00,job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,combined_attribute_cardinality_026_cardinality,cardinality,fail,fail,False
repair_vlm_003_job_0003_gpt_image_1_00,job_0003_gpt_image_1_00,combined_attribute_cardinality_025,combined_attribute_cardinality_025_identity_object_1,object_identity,ambiguous,ambiguous,False
repair_vlm_003_job_0003_gpt_image_1_00,job_0003_gpt_image_1_00,combined_attribute_cardinality_025,combined_attribute_cardinality_025_cardinality,cardinality,fail,fail,False
repair_vlm_003_job_0003_gpt_image_1_00,job_0003_gpt_image_1_00,combined_attribute_cardinality_025,combined_attribute_cardinality_025_attribute_object_1,attribute,ambiguous,pass,True
repair_vlm_004_job_0004_gemini_2_5_flash_image_00,job_0004_gemini_2_5_flash_image_00,combined_attribute_cardinality_019,combined_attribute_cardinality_019_identity_object_1,object_identity,ambiguous,pass,True
repair_vlm_004_job_0004_gemini_2_5_flash_image_00,job_0004_gemini_2_5_flash_image_00,combined_attribute_cardinality_019,combined_attribute_cardinality_019_cardinality,cardinality,fail,pass,True
repair_vlm_005_job_0005_gpt_image_1_00,job_0005_gpt_image_1_00,combined_attribute_cardinality_013,combined_attribute_cardinality_013_identity_object_1,object_identity,ambiguous,pass,True
repair_vlm_005_job_0005_gpt_image_1_00,job_0005_gpt_image_1_00,combined_attribute_cardinality_013,combined_attribute_cardinality_013_cardinality,cardinality,fail,pass,True
repair_vlm_005_job_0005_gpt_image_1_00,job_0005_gpt_image_1_00,combined_attribute_cardinality_013,combined_attribute_cardinality_013_attribute_object_1,attribute,ambiguous,pass,True
repair_vlm_006_job_0006_gemini_2_5_flash_image_00,job_0006_gemini_2_5_flash_image_00,combined_attribute_cardinality_034,combined_attribute_cardinality_034_cardinality,cardinality,fail,fail,False
repair_vlm_007_job_0007_gpt_image_1_00,job_0007_gpt_image_1_00,combined_attribute_cardinality_020,combined_attribute_cardinality_020_cardinality,cardinality,fail,fail,False
repair_vlm_008_job_0009_gpt_image_1_00,job_0009_gpt_image_1_00,combined_attribute_cardinality_024,combined_attribute_cardinality_024_identity_object_1,object_identity,ambiguous,pass,True
repair_vlm_008_job_0009_gpt_image_1_00,job_0009_gpt_image_1_00,combined_attribute_cardinality_024,combined_attribute_cardinality_024_cardinality,cardinality,fail,pass,True
repair_vlm_009_job_0010_gemini_2_5_flash_image_00,job_0010_gemini_2_5_flash_image_00,combined_attribute_cardinality_023,combined_attribute_cardinality_023_identity_object_1,object_identity,fail,pass,True
repair_vlm_009_job_0010_gemini_2_5_flash_image_00,job_0010_gemini_2_5_flash_image_00,combined_attribute_cardinality_023,combined_attribute_cardinality_023_identity_object_2,object_identity,ambiguous,pass,True
repair_vlm_009_job_0010_gemini_2_5_flash_image_00,job_0010_gemini_2_5_flash_image_00,combined_attribute_cardinality_023,combined_attribute_cardinality_023_cardinality,cardinality,fail,pass,True
repair_vlm_009_job_0010_gemini_2_5_flash_image_00,job_0010_gemini_2_5_flash_image_00,combined_attribute_cardinality_023,combined_attribute_cardinality_023_attribute_object_2,attribute,ambiguous,pass,True
repair_vlm_010_job_0011_gpt_image_1_00,job_0011_gpt_image_1_00,combined_attribute_cardinality_036,combined_attribute_cardinality_036_identity_object_1,object_identity,fail,pass,True
repair_vlm_011_job_0012_gemini_2_5_flash_image_00,job_0012_gemini_2_5_flash_image_00,combined_attribute_cardinality_012,combined_attribute_cardinality_012_identity_object_1,object_identity,ambiguous,pass,True
repair_vlm_012_job_0014_gemini_2_5_flash_image_00,job_0014_gemini_2_5_flash_image_00,combined_attribute_cardinality_017,combined_attribute_cardinality_017_cardinality,cardinality,fail,pass,True
repair_vlm_012_job_0014_gemini_2_5_flash_image_00,job_0014_gemini_2_5_flash_image_00,combined_attribute_cardinality_017,combined_attribute_cardinality_017_attribute_object_2,attribute,fail,pass,True
repair_vlm_013_job_0016_gemini_2_5_flash_image_00,job_0016_gemini_2_5_flash_image_00,combined_attribute_cardinality_014,combined_attribute_cardinality_014_identity_object_1,object_identity,fail,pass,True
repair_vlm_013_job_0016_gemini_2_5_flash_image_00,job_0016_gemini_2_5_flash_image_00,combined_attribute_cardinality_014,combined_attribute_cardinality_014_cardinality,cardinality,fail,pass,True
repair_vlm_014_job_0017_gpt_image_1_00,job_0017_gpt_image_1_00,combined_attribute_cardinality_016,combined_attribute_cardinality_016_identity_object_1,object_identity,fail,pass,True
repair_vlm_014_job_0017_gpt_image_1_00,job_0017_gpt_image_1_00,combined_attribute_cardinality_016,combined_attribute_cardinality_016_cardinality,cardinality,fail,fail,False
repair_vlm_015_job_0018_gemini_2_5_flash_image_00,job_0018_gemini_2_5_flash_image_00,combined_attribute_cardinality_031,combined_attribute_cardinality_031_cardinality,cardinality,fail,pass,True
repair_vlm_015_job_0018_gemini_2_5_flash_image_00,job_0018_gemini_2_5_flash_image_00,combined_attribute_cardinality_031,combined_attribute_cardinality_031_attribute_object_1,attribute,fail,pass,True
repair_vlm_016_job_0019_gpt_image_1_00,job_0019_gpt_image_1_00,combined_attribute_cardinality_022,combined_attribute_cardinality_022_identity_object_1,object_identity,fail,pass,True
repair_vlm_016_job_0019_gpt_image_1_00,job_0019_gpt_image_1_00,combined_attribute_cardinality_022,combined_attribute_cardinality_022_attribute_object_2,attribute,fail,pass,True
repair_vlm_017_job_0020_gemini_2_5_flash_image_00,job_0020_gemini_2_5_flash_image_00,combined_attribute_cardinality_006,combined_attribute_cardinality_006_identity_object_2,object_identity,ambiguous,pass,True
repair_vlm_017_job_0020_gemini_2_5_flash_image_00,job_0020_gemini_2_5_flash_image_00,combined_attribute_cardinality_006,combined_attribute_cardinality_006_attribute_object_2,attribute,fail,pass,True
repair_vlm_018_job_0023_gpt_image_1_00,job_0023_gpt_image_1_00,combined_attribute_cardinality_018,combined_attribute_cardinality_018_identity_object_1,object_identity,ambiguous,pass,True
repair_vlm_018_job_0023_gpt_image_1_00,job_0023_gpt_image_1_00,combined_attribute_cardinality_018,combined_attribute_cardinality_018_cardinality,cardinality,fail,fail,False
repair_vlm_018_job_0023_gpt_image_1_00,job_0023_gpt_image_1_00,combined_attribute_cardinality_018,combined_attribute_cardinality_018_attribute_object_2,attribute,fail,pass,True
repair_vlm_019_job_0024_gemini_2_5_flash_image_00,job_0024_gemini_2_5_flash_image_00,combined_attribute_cardinality_010,combined_attribute_cardinality_010_attribute_object_2,attribute,fail,pass,True
repair_vlm_020_job_0025_gpt_image_1_00,job_0025_gpt_image_1_00,combined_attribute_cardinality_009,combined_attribute_cardinality_009_cardinality,cardinality,fail,pass,True
repair_vlm_020_job_0025_gpt_image_1_00,job_0025_gpt_image_1_00,combined_attribute_cardinality_009,combined_attribute_cardinality_009_attribute_object_1,attribute,ambiguous,pass,True
repair_vlm_021_job_0026_gemini_2_5_flash_image_00,job_0026_gemini_2_5_flash_image_00,combined_attribute_cardinality_030,combined_attribute_cardinality_030_cardinality,cardinality,fail,pass,True
repair_vlm_022_job_0027_gpt_image_1_00,job_0027_gpt_image_1_00,combined_attribute_cardinality_021,combined_attribute_cardinality_021_identity_object_2,object_identity,ambiguous,pass,True
repair_vlm_022_job_0027_gpt_image_1_00,job_0027_gpt_image_1_00,combined_attribute_cardinality_021,combined_attribute_cardinality_021_attribute_object_2,attribute,ambiguous,pass,True
repair_vlm_023_job_0028_gemini_2_5_flash_image_00,job_0028_gemini_2_5_flash_image_00,combined_attribute_cardinality_005,combined_attribute_cardinality_005_identity_object_1,object_identity,fail,fail,False
repair_vlm_023_job_0028_gemini_2_5_flash_image_00,job_0028_gemini_2_5_flash_image_00,combined_attribute_cardinality_005,combined_attribute_cardinality_005_cardinality,cardinality,fail,pass,True
repair_vlm_023_job_0028_gemini_2_5_flash_image_00,job_0028_gemini_2_5_flash_image_00,combined_attribute_cardinality_005,combined_attribute_cardinality_005_attribute_object_1,attribute,fail,pass,True
repair_vlm_024_job_0029_gpt_image_1_00,job_0029_gpt_image_1_00,combined_attribute_cardinality_027,combined_attribute_cardinality_027_cardinality,cardinality,fail,fail,False
repair_vlm_025_job_0030_gemini_2_5_flash_image_00,job_0030_gemini_2_5_flash_image_00,combined_attribute_cardinality_004,combined_attribute_cardinality_004_identity_object_1,object_identity,fail,fail,False
repair_vlm_025_job_0030_gemini_2_5_flash_image_00,job_0030_gemini_2_5_flash_image_00,combined_attribute_cardinality_004,combined_attribute_cardinality_004_cardinality,cardinality,fail,pass,True
repair_vlm_025_job_0030_gemini_2_5_flash_image_00,job_0030_gemini_2_5_flash_image_00,combined_attribute_cardinality_004,combined_attribute_cardinality_004_attribute_object_1,attribute,fail,pass,True
repair_vlm_026_job_0031_gpt_image_1_00,job_0031_gpt_image_1_00,combined_attribute_cardinality_008,combined_attribute_cardinality_008_identity_object_1,object_identity,ambiguous,pass,True
