image_id,prompt_id,provider,model_name,prompt_family,scene_context_type,composition,num_constraints,human_image_label,vlm_image_label,image_label_agreement,human_failed_constraints,vlm_failed_constraints,human_ambiguous_constraints,vlm_ambiguous_constraints
job_0040_gemini_2_5_flash_image_00,combined_spatial_attribute_001,google,gemini-2.5-flash-image,combined_spatial_attribute,natural,combined,5,pass,ambiguous,False,,,,combined_spatial_attribute_001_attribute_object_1
job_0041_gpt_image_1_00,combined_spatial_attribute_022,openai,gpt-image-1,combined_spatial_attribute,natural,combined,5,pass,pass,True,,,,
job_0042_gemini_2_5_flash_image_00,combined_spatial_attribute_016,google,gemini-2.5-flash-image,combined_spatial_attribute,simple,combined,5,pass,pass,True,,,,
job_0043_gpt_image_1_00,combined_spatial_attribute_036,openai,gpt-image-1,combined_spatial_attribute,natural,combined,5,pass,fail,False,,combined_spatial_attribute_036_identity_object_2;combined_spatial_attribute_036_attribute_object_2;combined_spatial_attribute_036_spatial,,
job_0044_gemini_2_5_flash_image_00,combined_spatial_attribute_021,google,gemini-2.5-flash-image,combined_spatial_attribute,natural,combined,5,pass,pass,True,,,,
job_0045_gpt_image_1_00,combined_spatial_attribute_035,openai,gpt-image-1,combined_spatial_attribute,natural,combined,5,ambiguous,fail,False,,combined_spatial_attribute_035_identity_object_2;combined_spatial_attribute_035_spatial,combined_spatial_attribute_035_identity_object_2,combined_spatial_attribute_035_identity_object_1
job_0046_gemini_2_5_flash_image_00,combined_spatial_attribute_029,google,gemini-2.5-flash-image,combined_spatial_attribute,simple,combined,5,fail,pass,False,combined_spatial_attribute_029_identity_object_1,,,
job_0047_gpt_image_1_00,combined_spatial_attribute_011,openai,gpt-image-1,combined_spatial_attribute,natural,combined,5,pass,pass,True,,,,
job_0048_gemini_2_5_flash_image_00,combined_spatial_attribute_033,google,gemini-2.5-flash-image,combined_spatial_attribute,natural,combined,5,fail,fail,True,combined_spatial_attribute_033_spatial,combined_spatial_attribute_033_spatial,combined_spatial_attribute_033_attribute_object_1,
job_0049_gpt_image_1_00,combined_spatial_attribute_026,openai,gpt-image-1,combined_spatial_attribute,natural,combined,5,pass,fail,False,,combined_spatial_attribute_026_attribute_object_1;combined_spatial_attribute_026_spatial,,combined_spatial_attribute_026_identity_object_1
job_0050_gemini_2_5_flash_image_00,combined_spatial_attribute_002,google,gemini-2.5-flash-image,combined_spatial_attribute,natural,combined,5,fail,fail,True,combined_spatial_attribute_002_identity_object_1,combined_spatial_attribute_002_identity_object_1;combined_spatial_attribute_002_attribute_object_1;combined_spatial_attribute_002_spatial,,
job_0051_gpt_image_1_00,combined_spatial_attribute_010,openai,gpt-image-1,combined_spatial_attribute,natural,combined,5,ambiguous,pass,False,,,combined_spatial_attribute_010_identity_object_1,
job_0052_gemini_2_5_flash_image_00,combined_spatial_attribute_008,google,gemini-2.5-flash-image,combined_spatial_attribute,natural,combined,5,fail,fail,True,combined_spatial_attribute_008_identity_object_2,combined_spatial_attribute_008_identity_object_2,,combined_spatial_attribute_008_spatial
job_0053_gpt_image_1_00,combined_spatial_attribute_031,openai,gpt-image-1,combined_spatial_attribute,natural,combined,5,fail,fail,True,combined_spatial_attribute_031_identity_object_2,combined_spatial_attribute_031_identity_object_2;combined_spatial_attribute_031_attribute_object_2;combined_spatial_attribute_031_spatial,combined_spatial_attribute_031_attribute_object_2;combined_spatial_attribute_031_spatial,
job_0054_gemini_2_5_flash_image_00,combined_spatial_attribute_007,google,gemini-2.5-flash-image,combined_spatial_attribute,natural,combined,5,fail,fail,True,combined_spatial_attribute_007_identity_object_1;combined_spatial_attribute_007_identity_object_2,combined_spatial_attribute_007_identity_object_1;combined_spatial_attribute_007_attribute_object_1;combined_spatial_attribute_007_spatial,,
job_0055_gpt_image_1_00,combined_spatial_attribute_025,openai,gpt-image-1,combined_spatial_attribute,natural,combined,5,fail,fail,True,combined_spatial_attribute_025_spatial,combined_spatial_attribute_025_spatial,,combined_spatial_attribute_025_attribute_object_2
job_0056_gemini_2_5_flash_image_00,combined_spatial_attribute_014,google,gemini-2.5-flash-image,combined_spatial_attribute,natural,combined,5,pass,pass,True,,,,
job_0057_gpt_image_1_00,combined_spatial_attribute_024,openai,gpt-image-1,combined_spatial_attribute,simple,combined,5,pass,pass,True,,,,
job_0058_gemini_2_5_flash_image_00,combined_spatial_attribute_028,google,gemini-2.5-flash-image,combined_spatial_attribute,simple,combined,5,pass,pass,True,,,,
job_0059_gpt_image_1_00,combined_spatial_attribute_023,openai,gpt-image-1,combined_spatial_attribute,simple,combined,5,ambiguous,ambiguous,True,,,combined_spatial_attribute_023_identity_object_1,combined_spatial_attribute_023_identity_object_1
job_0060_gemini_2_5_flash_image_00,combined_spatial_attribute_006,google,gemini-2.5-flash-image,combined_spatial_attribute,simple,combined,5,pass,pass,True,,,,
job_0061_gpt_image_1_00,combined_spatial_attribute_030,openai,gpt-image-1,combined_spatial_attribute,simple,combined,5,pass,pass,True,,,,
job_0062_gemini_2_5_flash_image_00,combined_spatial_attribute_012,google,gemini-2.5-flash-image,combined_spatial_attribute,simple,combined,5,pass,pass,True,,,,
job_0063_gpt_image_1_00,combined_spatial_attribute_019,openai,gpt-image-1,combined_spatial_attribute,natural,combined,5,pass,pass,True,,,,
job_0064_gemini_2_5_flash_image_00,combined_spatial_attribute_015,google,gemini-2.5-flash-image,combined_spatial_attribute,natural,combined,5,fail,ambiguous,False,combined_spatial_attribute_015_identity_object_1,,,combined_spatial_attribute_015_identity_object_1
job_0065_gpt_image_1_00,combined_spatial_attribute_020,openai,gpt-image-1,combined_spatial_attribute,natural,combined,5,fail,fail,True,combined_spatial_attribute_020_attribute_object_1,combined_spatial_attribute_020_identity_object_1;combined_spatial_attribute_020_attribute_object_1,,combined_spatial_attribute_020_spatial
job_0066_gemini_2_5_flash_image_00,combined_spatial_attribute_009,google,gemini-2.5-flash-image,combined_spatial_attribute,natural,combined,5,pass,pass,True,,,,
job_0067_gpt_image_1_00,combined_spatial_attribute_027,openai,gpt-image-1,combined_spatial_attribute,simple,combined,5,pass,ambiguous,False,,,,combined_spatial_attribute_027_identity_object_1
job_0068_gemini_2_5_flash_image_00,combined_spatial_attribute_005,google,gemini-2.5-flash-image,combined_spatial_attribute,simple,combined,5,pass,pass,True,,,,
job_0069_gpt_image_1_00,combined_spatial_attribute_032,openai,gpt-image-1,combined_spatial_attribute,natural,combined,5,ambiguous,ambiguous,True,,,combined_spatial_attribute_032_identity_object_1,combined_spatial_attribute_032_identity_object_1;combined_spatial_attribute_032_identity_object_2
job_0070_gemini_2_5_flash_image_00,combined_spatial_attribute_004,google,gemini-2.5-flash-image,combined_spatial_attribute,natural,combined,5,pass,fail,False,,combined_spatial_attribute_004_spatial,,
job_0071_gpt_image_1_00,combined_spatial_attribute_018,openai,gpt-image-1,combined_spatial_attribute,simple,combined,5,pass,fail,False,,combined_spatial_attribute_018_identity_object_1;combined_spatial_attribute_018_attribute_object_1;combined_spatial_attribute_018_spatial,,
job_0072_gemini_2_5_flash_image_00,combined_spatial_attribute_034,google,gemini-2.5-flash-image,combined_spatial_attribute,natural,combined,5,fail,fail,True,combined_spatial_attribute_034_spatial,combined_spatial_attribute_034_identity_object_2;combined_spatial_attribute_034_attribute_object_2;combined_spatial_attribute_034_spatial,combined_spatial_attribute_034_identity_object_2,
job_0073_gpt_image_1_00,combined_spatial_cardinality_017,openai,gpt-image-1,combined_spatial_cardinality,natural,combined,4,pass,pass,True,,,,
job_0074_gemini_2_5_flash_image_00,combined_spatial_cardinality_028,google,gemini-2.5-flash-image,combined_spatial_cardinality,simple,combined,4,fail,fail,True,combined_spatial_cardinality_028_cardinality,combined_spatial_cardinality_028_cardinality,,
job_0075_gpt_image_1_00,combined_spatial_cardinality_021,openai,gpt-image-1,combined_spatial_cardinality,natural,combined,4,pass,ambiguous,False,,,,combined_spatial_cardinality_021_identity_object_1;combined_spatial_cardinality_021_spatial
job_0076_gemini_2_5_flash_image_00,combined_spatial_cardinality_001,google,gemini-2.5-flash-image,combined_spatial_cardinality,natural,combined,4,fail,fail,True,combined_spatial_cardinality_001_cardinality,combined_spatial_cardinality_001_identity_object_2,,
job_0077_gpt_image_1_00,combined_spatial_cardinality_014,openai,gpt-image-1,combined_spatial_cardinality,simple,combined,4,pass,pass,True,,,,
job_0078_gemini_2_5_flash_image_00,combined_spatial_cardinality_026,google,gemini-2.5-flash-image,combined_spatial_cardinality,natural,combined,4,fail,fail,True,combined_spatial_cardinality_026_cardinality,combined_spatial_cardinality_026_cardinality,,
job_0079_gpt_image_1_00,combined_spatial_cardinality_004,openai,gpt-image-1,combined_spatial_cardinality,natural,combined,4,pass,pass,True,,,,
job_0080_gemini_2_5_flash_image_00,combined_spatial_cardinality_023,google,gemini-2.5-flash-image,combined_spatial_cardinality,natural,combined,4,fail,fail,True,combined_spatial_cardinality_023_identity_object_2;combined_spatial_cardinality_023_cardinality,combined_spatial_cardinality_023_identity_object_2;combined_spatial_cardinality_023_cardinality,combined_spatial_cardinality_023_spatial,
job_0081_gpt_image_1_00,combined_spatial_cardinality_019,openai,gpt-image-1,combined_spatial_cardinality,natural,combined,4,pass,fail,False,,combined_spatial_cardinality_019_cardinality,,
job_0082_gemini_2_5_flash_image_00,combined_spatial_cardinality_034,google,gemini-2.5-flash-image,combined_spatial_cardinality,natural,combined,4,fail,fail,True,combined_spatial_cardinality_034_cardinality;combined_spatial_cardinality_034_spatial,combined_spatial_cardinality_034_spatial,,
job_0083_gpt_image_1_00,combined_spatial_cardinality_008,openai,gpt-image-1,combined_spatial_cardinality,natural,combined,4,fail,fail,True,combined_spatial_cardinality_008_cardinality;combined_spatial_cardinality_008_spatial,combined_spatial_cardinality_008_cardinality,,
job_0084_gemini_2_5_flash_image_00,combined_spatial_cardinality_011,google,gemini-2.5-flash-image,combined_spatial_cardinality,natural,combined,4,fail,fail,True,combined_spatial_cardinality_011_spatial,combined_spatial_cardinality_011_spatial,,
job_0085_gpt_image_1_00,combined_spatial_cardinality_032,openai,gpt-image-1,combined_spatial_cardinality,natural,combined,4,pass,pass,True,,,,
job_0086_gemini_2_5_flash_image_00,combined_spatial_cardinality_030,google,gemini-2.5-flash-image,combined_spatial_cardinality,natural,combined,4,fail,fail,True,combined_spatial_cardinality_030_cardinality,combined_spatial_cardinality_030_cardinality,,combined_spatial_cardinality_030_identity_object_2
job_0087_gpt_image_1_00,combined_spatial_cardinality_024,openai,gpt-image-1,combined_spatial_cardinality,natural,combined,4,fail,fail,True,combined_spatial_cardinality_024_cardinality,combined_spatial_cardinality_024_cardinality,,
job_0088_gemini_2_5_flash_image_00,combined_spatial_cardinality_015,google,gemini-2.5-flash-image,combined_spatial_cardinality,natural,combined,4,pass,pass,True,,,,
job_0089_gpt_image_1_00,combined_spatial_cardinality_005,openai,gpt-image-1,combined_spatial_cardinality,simple,combined,4,ambiguous,fail,False,,combined_spatial_cardinality_005_identity_object_2;combined_spatial_cardinality_005_spatial,combined_spatial_cardinality_005_cardinality,combined_spatial_cardinality_005_cardinality
job_0090_gemini_2_5_flash_image_00,combined_spatial_cardinality_022,google,gemini-2.5-flash-image,combined_spatial_cardinality,simple,combined,4,fail,fail,True,combined_spatial_cardinality_022_cardinality,combined_spatial_cardinality_022_cardinality,,
job_0091_gpt_image_1_00,combined_spatial_cardinality_029,openai,gpt-image-1,combined_spatial_cardinality,simple,combined,4,pass,pass,True,,,,
job_0092_gemini_2_5_flash_image_00,combined_spatial_cardinality_027,google,gemini-2.5-flash-image,combined_spatial_cardinality,natural,combined,4,ambiguous,fail,False,,combined_spatial_cardinality_027_cardinality,combined_spatial_cardinality_027_identity_object_1,
job_0093_gpt_image_1_00,combined_spatial_cardinality_018,openai,gpt-image-1,combined_spatial_cardinality,natural,combined,4,fail,fail,True,combined_spatial_cardinality_018_cardinality,combined_spatial_cardinality_018_cardinality,,combined_spatial_cardinality_018_identity_object_1
job_0094_gemini_2_5_flash_image_00,combined_spatial_cardinality_033,google,gemini-2.5-flash-image,combined_spatial_cardinality,natural,combined,4,pass,pass,True,,,,
job_0095_gpt_image_1_00,combined_spatial_cardinality_020,openai,gpt-image-1,combined_spatial_cardinality,natural,combined,4,fail,fail,True,combined_spatial_cardinality_020_cardinality,combined_spatial_cardinality_020_cardinality,,
job_0096_gemini_2_5_flash_image_00,combined_spatial_cardinality_003,google,gemini-2.5-flash-image,combined_spatial_cardinality,natural,combined,4,ambiguous,fail,False,,combined_spatial_cardinality_003_cardinality;combined_spatial_cardinality_003_spatial,combined_spatial_cardinality_003_cardinality,
job_0097_gpt_image_1_00,combined_spatial_cardinality_031,openai,gpt-image-1,combined_spatial_cardinality,natural,combined,4,pass,pass,True,,,,
job_0098_gemini_2_5_flash_image_00,combined_spatial_cardinality_013,google,gemini-2.5-flash-image,combined_spatial_cardinality,simple,combined,4,pass,pass,True,,,,
job_0099_gpt_image_1_00,combined_spatial_cardinality_007,openai,gpt-image-1,combined_spatial_cardinality,simple,combined,4,pass,pass,True,,,,
job_0100_gemini_2_5_flash_image_00,combined_spatial_cardinality_025,google,gemini-2.5-flash-image,combined_spatial_cardinality,natural,combined,4,pass,pass,True,,,,
job_0101_gpt_image_1_00,combined_spatial_cardinality_010,openai,gpt-image-1,combined_spatial_cardinality,natural,combined,4,ambiguous,fail,False,,combined_spatial_cardinality_010_identity_object_1;combined_spatial_cardinality_010_cardinality;combined_spatial_cardinality_010_spatial,combined_spatial_cardinality_010_identity_object_2,
job_0102_gemini_2_5_flash_image_00,combined_spatial_cardinality_009,google,gemini-2.5-flash-image,combined_spatial_cardinality,natural,combined,4,fail,pass,False,combined_spatial_cardinality_009_cardinality;combined_spatial_cardinality_009_spatial,,,
job_0103_gpt_image_1_00,combined_spatial_cardinality_035,openai,gpt-image-1,combined_spatial_cardinality,natural,combined,4,pass,pass,True,,,,
job_0104_gemini_2_5_flash_image_00,combined_spatial_cardinality_012,google,gemini-2.5-flash-image,combined_spatial_cardinality,natural,combined,4,pass,pass,True,,,,
job_0105_gpt_image_1_00,combined_spatial_cardinality_006,openai,gpt-image-1,combined_spatial_cardinality,simple,combined,4,ambiguous,fail,False,,combined_spatial_cardinality_006_cardinality,combined_spatial_cardinality_006_identity_object_1,
job_0106_gemini_2_5_flash_image_00,combined_spatial_cardinality_002,google,gemini-2.5-flash-image,combined_spatial_cardinality,natural,combined,4,fail,pass,False,combined_spatial_cardinality_002_identity_object_2,,,
job_0107_gpt_image_1_00,combined_spatial_cardinality_016,openai,gpt-image-1,combined_spatial_cardinality,natural,combined,4,pass,pass,True,,,,
job_0108_gemini_2_5_flash_image_00,combined_spatial_cardinality_036,google,gemini-2.5-flash-image,combined_spatial_cardinality,simple,combined,4,pass,fail,False,,combined_spatial_cardinality_036_cardinality;combined_spatial_cardinality_036_spatial,,
job_0109_gpt_image_1_00,single_attribute_022,openai,gpt-image-1,single_attribute,simple,single,4,pass,ambiguous,False,,,,single_attribute_022_identity_object_2
job_0110_gemini_2_5_flash_image_00,single_attribute_020,google,gemini-2.5-flash-image,single_attribute,simple,single,4,ambiguous,pass,False,,,single_attribute_020_identity_object_1,
job_0111_gpt_image_1_00,single_attribute_018,openai,gpt-image-1,single_attribute,simple,single,4,pass,pass,True,,,,
job_0112_gemini_2_5_flash_image_00,single_attribute_012,google,gemini-2.5-flash-image,single_attribute,simple,single,4,pass,fail,False,,single_attribute_012_identity_object_1;single_attribute_012_attribute_object_1,,
job_0113_gpt_image_1_00,single_attribute_011,openai,gpt-image-1,single_attribute,simple,single,4,pass,pass,True,,,,
job_0114_gemini_2_5_flash_image_00,single_attribute_008,google,gemini-2.5-flash-image,single_attribute,simple,single,4,ambiguous,pass,False,,,single_attribute_008_identity_object_1,
job_0115_gpt_image_1_00,single_attribute_007,openai,gpt-image-1,single_attribute,simple,single,4,pass,pass,True,,,,
job_0116_gemini_2_5_flash_image_00,single_attribute_024,google,gemini-2.5-flash-image,single_attribute,simple,single,4,ambiguous,ambiguous,True,,,single_attribute_024_identity_object_2,single_attribute_024_identity_object_2;single_attribute_024_attribute_object_2
job_0117_gpt_image_1_00,single_attribute_013,openai,gpt-image-1,single_attribute,natural,single,4,pass,pass,True,,,,
job_0118_gemini_2_5_flash_image_00,single_attribute_019,google,gemini-2.5-flash-image,single_attribute,simple,single,4,fail,fail,True,single_attribute_019_identity_object_2,single_attribute_019_identity_object_2,,single_attribute_019_attribute_object_2
job_0119_gpt_image_1_00,single_attribute_009,openai,gpt-image-1,single_attribute,simple,single,4,pass,fail,False,,single_attribute_009_attribute_object_1,,
job_0120_gemini_2_5_flash_image_00,single_attribute_004,google,gemini-2.5-flash-image,single_attribute,natural,single,4,pass,pass,True,,,,
job_0121_gpt_image_1_00,single_attribute_010,openai,gpt-image-1,single_attribute,simple,single,4,pass,ambiguous,False,,,,single_attribute_010_identity_object_1
job_0122_gemini_2_5_flash_image_00,single_attribute_017,google,gemini-2.5-flash-image,single_attribute,natural,single,4,pass,pass,True,,,,
job_0123_gpt_image_1_00,single_attribute_005,openai,gpt-image-1,single_attribute,natural,single,4,pass,fail,False,,single_attribute_005_identity_object_1;single_attribute_005_attribute_object_1,,
job_0124_gemini_2_5_flash_image_00,single_attribute_014,google,gemini-2.5-flash-image,single_attribute,natural,single,4,pass,pass,True,,,,
job_0125_gpt_image_1_00,single_attribute_006,openai,gpt-image-1,single_attribute,natural,single,4,pass,fail,False,,single_attribute_006_identity_object_2,,single_attribute_006_attribute_object_2
