prompt_id,prompt,prompt_family,scene_context_type,scene_context,composition
cardinality_simple_single_005,A clean front-facing image of exactly 3 boxes on a plain white background.,cardinality,simple,on a plain white background,single
cardinality_natural_single_006,A realistic image of exactly 4 toy cars in a living room.,cardinality,natural,in a living room,single
cardinality_simple_single_007,A clean front-facing image of exactly 2 cups on a clean tabletop.,cardinality,simple,on a clean tabletop,single
cardinality_natural_single_008,A realistic image of exactly 3 books in a park.,cardinality,natural,in a park,single
cardinality_simple_single_009,A clean front-facing image of exactly 4 apples on a clean floor.,cardinality,simple,on a clean floor,single
cardinality_natural_single_010,A realistic image of exactly 2 balls in a kitchen.,cardinality,natural,in a kitchen,single
attribute_simple_single_001,A clean front-facing image of a red cup next to a blue book on a clean tabletop.,attribute_binding,simple,on a clean tabletop,single
attribute_natural_single_002,A realistic image of a blue book next to a green apple in a park.,attribute_binding,natural,in a park,single
attribute_simple_single_003,A clean front-facing image of a green apple next to a yellow ball on a clean floor.,attribute_binding,simple,on a clean floor,single
attribute_natural_single_004,A realistic image of a yellow ball next to a red box in a kitchen.,attribute_binding,natural,in a kitchen,single
attribute_simple_single_005,A clean front-facing image of a red box next to a blue toy car on a plain white background.,attribute_binding,simple,on a plain white background,single
attribute_natural_single_006,A realistic image of a blue toy car next to a green cup in a living room.,attribute_binding,natural,in a living room,single
attribute_simple_single_007,A clean front-facing image of a green cup next to a yellow book on a clean tabletop.,attribute_binding,simple,on a clean tabletop,single
attribute_natural_single_008,A realistic image of a yellow book next to a red apple in a park.,attribute_binding,natural,in a park,single
attribute_simple_single_009,A clean front-facing image of a red apple next to a blue ball on a clean floor.,attribute_binding,simple,on a clean floor,single
attribute_natural_single_010,A realistic image of a blue ball next to a green box in a kitchen.,attribute_binding,natural,in a kitchen,single
combo_attr_spatial_simple_001,A clean front-facing image of a red cup to the left of a blue book on a clean tabletop.,combined_attribute_spatial,simple,on a clean tabletop,combined
combo_attr_spatial_natural_002,A realistic image of a blue book to the right of a green apple in a park.,combined_attribute_spatial,natural,in a park,combined
combo_attr_spatial_simple_003,A clean front-facing image of a green apple above a yellow ball on a clean floor.,combined_attribute_spatial,simple,on a clean floor,combined
combo_attr_spatial_natural_004,A realistic image of a yellow ball below a red box in a kitchen.,combined_attribute_spatial,natural,in a kitchen,combined
combo_attr_spatial_simple_005,A clean front-facing image of a red box to the left of a blue toy car on a plain white background.,combined_attribute_spatial,simple,on a plain white background,combined
combo_attr_spatial_natural_006,A realistic image of a blue toy car to the right of a green cup in a living room.,combined_attribute_spatial,natural,in a living room,combined
combo_attr_spatial_simple_007,A clean front-facing image of a green cup above a yellow book on a clean tabletop.,combined_attribute_spatial,simple,on a clean tabletop,combined
combo_attr_spatial_natural_008,A realistic image of a yellow book below a red apple in a park.,combined_attribute_spatial,natural,in a park,combined
combo_attr_spatial_simple_009,A clean front-facing image of a red apple to the left of a blue ball on a clean floor.,combined_attribute_spatial,simple,on a clean floor,combined
combo_attr_spatial_natural_010,A realistic image of a blue ball to the right of a green box in a kitchen.,combined_attribute_spatial,natural,in a kitchen,combined
combo_card_spatial_simple_001,A clean front-facing image of exactly 2 cups to the left of a book on a clean tabletop.,combined_cardinality_spatial,simple,on a clean tabletop,combined
combo_card_spatial_natural_002,A realistic image of exactly 3 books to the right of a apple in a park.,combined_cardinality_spatial,natural,in a park,combined
combo_card_spatial_simple_003,A clean front-facing image of exactly 4 apples above a ball on a clean floor.,combined_cardinality_spatial,simple,on a clean floor,combined
combo_card_spatial_natural_004,A realistic image of exactly 2 balls below a box in a kitchen.,combined_cardinality_spatial,natural,in a kitchen,combined
combo_card_spatial_simple_005,A clean front-facing image of exactly 3 boxes to the left of a toy car on a plain white background.,combined_cardinality_spatial,simple,on a plain white background,combined
combo_card_spatial_natural_006,A realistic image of exactly 4 toy cars to the right of a cup in a living room.,combined_cardinality_spatial,natural,in a living room,combined
combo_card_spatial_simple_007,A clean front-facing image of exactly 2 cups above a book on a clean tabletop.,combined_cardinality_spatial,simple,on a clean tabletop,combined
combo_card_spatial_natural_008,A realistic image of exactly 3 books below a apple in a park.,combined_cardinality_spatial,natural,in a park,combined
combo_card_spatial_simple_009,A clean front-facing image of exactly 4 apples to the left of a ball on a clean floor.,combined_cardinality_spatial,simple,on a clean floor,combined
combo_card_spatial_natural_010,A realistic image of exactly 2 balls to the right of a box in a kitchen.,combined_cardinality_spatial,natural,in a kitchen,combined
