constraint_id,prompt_id,constraint_type,check_text,object_1,object_2,relation,relation_text,target_object,target_count,attribute,attribute_1,attribute_2
combo_card_spatial_natural_002_cardinality,combo_card_spatial_natural_002,cardinality,There should be exactly 3 clearly visible books.,,,,,book,3,,,
combo_card_spatial_natural_002_spatial,combo_card_spatial_natural_002,spatial_relation,The book should be to the right of the apple in the 2D image.,book,apple,right_of,to the right of,,,,,
combo_card_spatial_simple_003_exist_object_1,combo_card_spatial_simple_003,object_existence,The apple should be clearly visible.,apple,,,,apple,,,,
combo_card_spatial_simple_003_exist_object_2,combo_card_spatial_simple_003,object_existence,The ball should be clearly visible.,ball,,,,ball,,,,
combo_card_spatial_simple_003_cardinality,combo_card_spatial_simple_003,cardinality,There should be exactly 4 clearly visible apples.,,,,,apple,4,,,
combo_card_spatial_simple_003_spatial,combo_card_spatial_simple_003,spatial_relation,The apple should be above the ball in the 2D image.,apple,ball,above,above,,,,,
combo_card_spatial_natural_004_exist_object_1,combo_card_spatial_natural_004,object_existence,The ball should be clearly visible.,ball,,,,ball,,,,
combo_card_spatial_natural_004_exist_object_2,combo_card_spatial_natural_004,object_existence,The box should be clearly visible.,box,,,,box,,,,
combo_card_spatial_natural_004_cardinality,combo_card_spatial_natural_004,cardinality,There should be exactly 2 clearly visible balls.,,,,,ball,2,,,
combo_card_spatial_natural_004_spatial,combo_card_spatial_natural_004,spatial_relation,The ball should be below the box in the 2D image.,ball,box,below,below,,,,,
combo_card_spatial_simple_005_exist_object_1,combo_card_spatial_simple_005,object_existence,The box should be clearly visible.,box,,,,box,,,,
combo_card_spatial_simple_005_exist_object_2,combo_card_spatial_simple_005,object_existence,The toy car should be clearly visible.,toy car,,,,toy car,,,,
combo_card_spatial_simple_005_cardinality,combo_card_spatial_simple_005,cardinality,There should be exactly 3 clearly visible boxes.,,,,,box,3,,,
combo_card_spatial_simple_005_spatial,combo_card_spatial_simple_005,spatial_relation,The box should be to the left of the toy car in the 2D image.,box,toy car,left_of,to the left of,,,,,
