prompt_id,prompt,prompt_family,scene_context_type,scene_context,composition
single_cardinality_012,A clear image of exactly 4 thumbtacks on a lightly cluttered tabletop.,single_cardinality,simple,on a lightly cluttered tabletop,single
single_cardinality_013,A realistic image of exactly 5 coins on a workbench with tools.,single_cardinality,natural,on a workbench with tools,single
single_cardinality_014,A realistic image of exactly 5 small flat washers on a picnic blanket with many small objects.,single_cardinality,natural,on a picnic blanket with many small objects,single
single_cardinality_015,A realistic image of exactly 5 thumbtacks on a craft table with beads and art supplies.,single_cardinality,natural,on a craft table with beads and art supplies,single
single_cardinality_016,A clear image of exactly 5 small flat washers on a plain desk with soft shadows.,single_cardinality,simple,on a plain desk with soft shadows,single
single_cardinality_017,A clear image of exactly 5 small paper clips on a clean surface with a few unrelated objects.,single_cardinality,simple,on a clean surface with a few unrelated objects,single
single_cardinality_018,A clear image of exactly 5 thin rubber bands on a lightly cluttered tabletop.,single_cardinality,simple,on a lightly cluttered tabletop,single
single_cardinality_019,A realistic image of exactly 6 coins on a crowded kitchen counter with utensils nearby.,single_cardinality,natural,on a crowded kitchen counter with utensils nearby,single
single_cardinality_020,A realistic image of exactly 6 standard sewing buttons on a workbench with tools.,single_cardinality,natural,on a workbench with tools,single
single_cardinality_021,A realistic image of exactly 6 thin rubber bands on a craft table with beads and art supplies.,single_cardinality,natural,on a craft table with beads and art supplies,single
single_cardinality_022,A clear image of exactly 6 bottle caps on a lightly cluttered tabletop.,single_cardinality,simple,on a lightly cluttered tabletop,single
single_cardinality_023,A clear image of exactly 6 small flat washers on a plain desk with soft shadows.,single_cardinality,simple,on a plain desk with soft shadows,single
single_cardinality_024,A clear image of exactly 6 small paper clips on a plain desk with soft shadows.,single_cardinality,simple,on a plain desk with soft shadows,single
combined_spatial_attribute_001,A realistic image of a ceramic die inside a yellow-and-green polka-dotted small box on a workbench with tools.,combined_spatial_attribute,natural,on a workbench with tools,combined
combined_spatial_attribute_002,A realistic image of a glossy white small paper clip inside a white speckled serving bowl on a craft table with beads and art supplies.,combined_spatial_attribute,natural,on a craft table with beads and art supplies,combined
combined_spatial_attribute_003,A realistic image of a glossy white standard safety pin inside a transparent glass small box on a crowded kitchen counter with utensils nearby.,combined_spatial_attribute,natural,on a crowded kitchen counter with utensils nearby,combined
combined_spatial_attribute_004,A realistic image of a matte black standard sewing button inside a plastic small box on a workbench with tools.,combined_spatial_attribute,natural,on a workbench with tools,combined
combined_spatial_attribute_005,A clear image of a plastic standard safety pin inside a matte black food container on a plain desk with soft shadows.,combined_spatial_attribute,simple,on a plain desk with soft shadows,combined
combined_spatial_attribute_006,A clear image of a reflective metallic bottle cap inside a white speckled cup on a clean surface with a few unrelated objects.,combined_spatial_attribute,simple,on a clean surface with a few unrelated objects,combined
combined_spatial_attribute_007,A realistic image of a glossy white small paper clip to the left of a transparent glass serving bowl on a picnic blanket with many small objects.,combined_spatial_attribute,natural,on a picnic blanket with many small objects,combined
combined_spatial_attribute_008,A realistic image of a matte black standard sewing button to the left of a ceramic coin on a craft table with beads and art supplies.,combined_spatial_attribute,natural,on a craft table with beads and art supplies,combined
combined_spatial_attribute_009,A realistic image of a matte black standard sewing button to the left of a reflective metallic small flat washer on a crowded kitchen counter with utensils nearby.,combined_spatial_attribute,natural,on a crowded kitchen counter with utensils nearby,combined
combined_spatial_attribute_010,A realistic image of a yellow-and-green polka-dotted food container to the left of a blue-and-white striped plate on a shelf full of books and decorations.,combined_spatial_attribute,natural,on a shelf full of books and decorations,combined
combined_spatial_attribute_011,A realistic image of a yellow-and-green polka-dotted small box to the left of a plastic standard sewing button on a crowded kitchen counter with utensils nearby.,combined_spatial_attribute,natural,on a crowded kitchen counter with utensils nearby,combined
combined_spatial_attribute_012,A clear image of a yellow-and-green polka-dotted plate to the left of a plastic die on a plain desk with soft shadows.,combined_spatial_attribute,simple,on a plain desk with soft shadows,combined
combined_spatial_attribute_013,A realistic image of a ceramic thin rubber band on top of a yellow-and-green polka-dotted cutting board on a workbench with tools.,combined_spatial_attribute,natural,on a workbench with tools,combined
combined_spatial_attribute_014,A realistic image of a reflective metallic bottle cap on top of a plastic serving bowl on a picnic blanket with many small objects.,combined_spatial_attribute,natural,on a picnic blanket with many small objects,combined
combined_spatial_attribute_015,A realistic image of a transparent glass coin on top of a matte black tray on a picnic blanket with many small objects.,combined_spatial_attribute,natural,on a picnic blanket with many small objects,combined
combined_spatial_attribute_016,A clear image of a glossy white standard safety pin on top of a reflective metallic small box on a lightly cluttered tabletop.,combined_spatial_attribute,simple,on a lightly cluttered tabletop,combined
combined_spatial_attribute_017,A clear image of a matte black coin on top of a reflective metallic food container on a clean surface with a few unrelated objects.,combined_spatial_attribute,simple,on a clean surface with a few unrelated objects,combined
combined_spatial_attribute_018,A clear image of a matte black standard sewing button on top of a multicolored serving bowl on a plain desk with soft shadows.,combined_spatial_attribute,simple,on a plain desk with soft shadows,combined
combined_spatial_attribute_019,A realistic image of a reflective metallic marble outside a glossy white serving bowl on a picnic blanket with many small objects.,combined_spatial_attribute,natural,on a picnic blanket with many small objects,combined
combined_spatial_attribute_020,A realistic image of a reflective metallic thin rubber band outside a plastic tray on a crowded kitchen counter with utensils nearby.,combined_spatial_attribute,natural,on a crowded kitchen counter with utensils nearby,combined
combined_spatial_attribute_021,A realistic image of a transparent glass marble outside a matte black food container on a craft table with beads and art supplies.,combined_spatial_attribute,natural,on a craft table with beads and art supplies,combined
combined_spatial_attribute_022,A realistic image of a transparent glass marble outside a multicolored tray on a craft table with beads and art supplies.,combined_spatial_attribute,natural,on a craft table with beads and art supplies,combined
combined_spatial_attribute_023,A clear image of a ceramic bottle cap outside a plastic tray on a lightly cluttered tabletop.,combined_spatial_attribute,simple,on a lightly cluttered tabletop,combined
combined_spatial_attribute_024,A clear image of a glossy white bottle cap outside a reflective metallic cup on a clean surface with a few unrelated objects.,combined_spatial_attribute,simple,on a clean surface with a few unrelated objects,combined
combined_spatial_attribute_025,A realistic image of a matte black serving bowl to the right of a white speckled tray on a shelf full of books and decorations.,combined_spatial_attribute,natural,on a shelf full of books and decorations,combined
combined_spatial_attribute_026,A realistic image of a reflective metallic thin rubber band to the right of a plastic bottle cap on a workbench with tools.,combined_spatial_attribute,natural,on a workbench with tools,combined
combined_spatial_attribute_027,A clear image of a black-and-white checkered index card to the right of a white speckled serving bowl on a clean surface with a few unrelated objects.,combined_spatial_attribute,simple,on a clean surface with a few unrelated objects,combined
combined_spatial_attribute_028,A clear image of a black-and-white checkered tray to the right of a plastic die on a lightly cluttered tabletop.,combined_spatial_attribute,simple,on a lightly cluttered tabletop,combined
combined_spatial_attribute_029,A clear image of a plastic tray to the right of a blue-and-white striped cup on a clean surface with a few unrelated objects.,combined_spatial_attribute,simple,on a clean surface with a few unrelated objects,combined
combined_spatial_attribute_030,A clear image of a red-and-white striped serving bowl to the right of a glossy white small paper clip on a clean surface with a few unrelated objects.,combined_spatial_attribute,simple,on a clean surface with a few unrelated objects,combined
combined_spatial_attribute_031,A realistic image of a black-and-white checkered napkin under a glossy white marble on a cluttered desk with many office supplies.,combined_spatial_attribute,natural,on a cluttered desk with many office supplies,combined
combined_spatial_attribute_032,A realistic image of a blue-and-white striped cutting board under a ceramic coin on a craft table with beads and art supplies.,combined_spatial_attribute,natural,on a craft table with beads and art supplies,combined
combined_spatial_attribute_033,A realistic image of a blue-and-white striped index card under a glossy white die on a shelf full of books and decorations.,combined_spatial_attribute,natural,on a shelf full of books and decorations,combined
combined_spatial_attribute_034,A realistic image of a multicolored index card under a transparent glass bottle cap on a shelf full of books and decorations.,combined_spatial_attribute,natural,on a shelf full of books and decorations,combined
combined_spatial_attribute_035,A realistic image of a red-and-white striped cutting board under a ceramic small paper clip on a workbench with tools.,combined_spatial_attribute,natural,on a workbench with tools,combined
combined_spatial_attribute_036,A realistic image of a red-and-white striped notebook under a ceramic small flat washer on a cluttered desk with many office supplies.,combined_spatial_attribute,natural,on a cluttered desk with many office supplies,combined
combined_spatial_cardinality_001,A realistic image of exactly 4 dice inside a cup on a shelf full of books and decorations.,combined_spatial_cardinality,natural,on a shelf full of books and decorations,combined
combined_spatial_cardinality_002,A realistic image of exactly 4 dice inside a tray on a workbench with tools.,combined_spatial_cardinality,natural,on a workbench with tools,combined
combined_spatial_cardinality_003,A realistic image of exactly 4 small paper clips inside a small box on a shelf full of books and decorations.,combined_spatial_cardinality,natural,on a shelf full of books and decorations,combined
combined_spatial_cardinality_004,A realistic image of exactly 6 thin rubber bands inside a food container on a craft table with beads and art supplies.,combined_spatial_cardinality,natural,on a craft table with beads and art supplies,combined
combined_spatial_cardinality_005,A clear image of exactly 5 thin rubber bands inside a cup on a lightly cluttered tabletop.,combined_spatial_cardinality,simple,on a lightly cluttered tabletop,combined
combined_spatial_cardinality_006,A clear image of exactly 5 thumbtacks inside a food container on a lightly cluttered tabletop.,combined_spatial_cardinality,simple,on a lightly cluttered tabletop,combined
combined_spatial_cardinality_007,A clear image of exactly 6 thumbtacks inside a small box on a lightly cluttered tabletop.,combined_spatial_cardinality,simple,on a lightly cluttered tabletop,combined
combined_spatial_cardinality_008,A realistic image of exactly 4 marbles to the left of a serving bowl on a crowded kitchen counter with utensils nearby.,combined_spatial_cardinality,natural,on a crowded kitchen counter with utensils nearby,combined
combined_spatial_cardinality_009,A realistic image of exactly 4 thumbtacks to the left of a plate on a cluttered desk with many office supplies.,combined_spatial_cardinality,natural,on a cluttered desk with many office supplies,combined
combined_spatial_cardinality_010,A realistic image of exactly 5 small paper clips to the left of a tray on a cluttered desk with many office supplies.,combined_spatial_cardinality,natural,on a cluttered desk with many office supplies,combined
combined_spatial_cardinality_011,A realistic image of exactly 5 standard safety pins to the left of a napkin on a shelf full of books and decorations.,combined_spatial_cardinality,natural,on a shelf full of books and decorations,combined
combined_spatial_cardinality_012,A realistic image of exactly 6 bottle caps to the left of a marble on a shelf full of books and decorations.,combined_spatial_cardinality,natural,on a shelf full of books and decorations,combined
combined_spatial_cardinality_013,A clear image of exactly 3 thin rubber bands to the left of a small box on a plain desk with soft shadows.,combined_spatial_cardinality,simple,on a plain desk with soft shadows,combined
combined_spatial_cardinality_014,A clear image of exactly 4 standard safety pins to the left of a thumbtack on a lightly cluttered tabletop.,combined_spatial_cardinality,simple,on a lightly cluttered tabletop,combined
combined_spatial_cardinality_015,A realistic image of exactly 3 dice on top of a index card on a workbench with tools.,combined_spatial_cardinality,natural,on a workbench with tools,combined
combined_spatial_cardinality_016,A realistic image of exactly 3 marbles on top of a index card on a cluttered desk with many office supplies.,combined_spatial_cardinality,natural,on a cluttered desk with many office supplies,combined
combined_spatial_cardinality_017,A realistic image of exactly 4 small flat washers on top of a sheet of paper on a cluttered desk with many office supplies.,combined_spatial_cardinality,natural,on a cluttered desk with many office supplies,combined
combined_spatial_cardinality_018,A realistic image of exactly 5 coins on top of a notebook on a crowded kitchen counter with utensils nearby.,combined_spatial_cardinality,natural,on a crowded kitchen counter with utensils nearby,combined
combined_spatial_cardinality_019,A realistic image of exactly 5 standard safety pins on top of a plate on a craft table with beads and art supplies.,combined_spatial_cardinality,natural,on a craft table with beads and art supplies,combined
combined_spatial_cardinality_020,A realistic image of exactly 6 marbles on top of a food container on a crowded kitchen counter with utensils nearby.,combined_spatial_cardinality,natural,on a crowded kitchen counter with utensils nearby,combined
combined_spatial_cardinality_021,A realistic image of exactly 6 standard sewing buttons on top of a notebook on a picnic blanket with many small objects.,combined_spatial_cardinality,natural,on a picnic blanket with many small objects,combined
combined_spatial_cardinality_022,A clear image of exactly 6 thin rubber bands on top of a cutting board on a clean surface with a few unrelated objects.,combined_spatial_cardinality,simple,on a clean surface with a few unrelated objects,combined
combined_spatial_cardinality_023,A realistic image of exactly 3 standard sewing buttons outside a tray on a shelf full of books and decorations.,combined_spatial_cardinality,natural,on a shelf full of books and decorations,combined
combined_spatial_cardinality_024,A realistic image of exactly 3 thumbtacks outside a food container on a shelf full of books and decorations.,combined_spatial_cardinality,natural,on a shelf full of books and decorations,combined
combined_spatial_cardinality_025,A realistic image of exactly 4 coins outside a cup on a craft table with beads and art supplies.,combined_spatial_cardinality,natural,on a craft table with beads and art supplies,combined
combined_spatial_cardinality_026,A realistic image of exactly 4 standard safety pins outside a food container on a cluttered desk with many office supplies.,combined_spatial_cardinality,natural,on a cluttered desk with many office supplies,combined
combined_spatial_cardinality_027,A realistic image of exactly 4 thumbtacks outside a food container on a picnic blanket with many small objects.,combined_spatial_cardinality,natural,on a picnic blanket with many small objects,combined
combined_spatial_cardinality_028,A clear image of exactly 4 bottle caps outside a tray on a lightly cluttered tabletop.,combined_spatial_cardinality,simple,on a lightly cluttered tabletop,combined
combined_spatial_cardinality_029,A clear image of exactly 4 thin rubber bands outside a small box on a clean surface with a few unrelated objects.,combined_spatial_cardinality,simple,on a clean surface with a few unrelated objects,combined
combined_spatial_cardinality_030,A realistic image of exactly 3 small paper clips to the right of a marble on a workbench with tools.,combined_spatial_cardinality,natural,on a workbench with tools,combined
combined_spatial_cardinality_031,A realistic image of exactly 3 standard sewing buttons to the right of a standard safety pin on a crowded kitchen counter with utensils nearby.,combined_spatial_cardinality,natural,on a crowded kitchen counter with utensils nearby,combined
combined_spatial_cardinality_032,A realistic image of exactly 5 thumbtacks to the right of a marble on a cluttered desk with many office supplies.,combined_spatial_cardinality,natural,on a cluttered desk with many office supplies,combined
combined_spatial_cardinality_033,A realistic image of exactly 6 small flat washers to the right of a standard sewing button on a picnic blanket with many small objects.,combined_spatial_cardinality,natural,on a picnic blanket with many small objects,combined
combined_spatial_cardinality_034,A realistic image of exactly 6 standard safety pins to the right of a plate on a shelf full of books and decorations.,combined_spatial_cardinality,natural,on a shelf full of books and decorations,combined
combined_spatial_cardinality_035,A realistic image of exactly 6 thin rubber bands to the right of a sheet of paper on a craft table with beads and art supplies.,combined_spatial_cardinality,natural,on a craft table with beads and art supplies,combined
combined_spatial_cardinality_036,A clear image of exactly 5 small paper clips to the right of a marble on a clean surface with a few unrelated objects.,combined_spatial_cardinality,simple,on a clean surface with a few unrelated objects,combined
combined_attribute_cardinality_001,A realistic image of exactly 3 ceramic bottle caps and one plastic marble on a craft table with beads and art supplies.,combined_attribute_cardinality,natural,on a craft table with beads and art supplies,combined
combined_attribute_cardinality_002,A realistic image of exactly 3 ceramic marbles and one matte black small flat washer on a crowded kitchen counter with utensils nearby.,combined_attribute_cardinality,natural,on a crowded kitchen counter with utensils nearby,combined
combined_attribute_cardinality_003,A realistic image of exactly 3 ceramic small paper clips and one black-and-white checkered cup on a picnic blanket with many small objects.,combined_attribute_cardinality,natural,on a picnic blanket with many small objects,combined
combined_attribute_cardinality_004,A realistic image of exactly 3 ceramic small paper clips and one black-and-white checkered food container on a shelf full of books and decorations.,combined_attribute_cardinality,natural,on a shelf full of books and decorations,combined
combined_attribute_cardinality_005,A realistic image of exactly 3 glossy white small paper clips and one red-and-white striped sheet of paper on a crowded kitchen counter with utensils nearby.,combined_attribute_cardinality,natural,on a crowded kitchen counter with utensils nearby,combined
combined_attribute_cardinality_006,A realistic image of exactly 3 matte black dice and one yellow-and-green polka-dotted index card on a shelf full of books and decorations.,combined_attribute_cardinality,natural,on a shelf full of books and decorations,combined
combined_attribute_cardinality_007,A realistic image of exactly 3 plastic standard safety pins and one blue-and-white striped index card on a workbench with tools.,combined_attribute_cardinality,natural,on a workbench with tools,combined
combined_attribute_cardinality_008,A realistic image of exactly 4 ceramic small flat washers and one white speckled cup on a crowded kitchen counter with utensils nearby.,combined_attribute_cardinality,natural,on a crowded kitchen counter with utensils nearby,combined
combined_attribute_cardinality_009,A realistic image of exactly 4 glossy white thumbtacks and one matte black tray on a picnic blanket with many small objects.,combined_attribute_cardinality,natural,on a picnic blanket with many small objects,combined
combined_attribute_cardinality_010,A realistic image of exactly 4 plastic thin rubber bands and one red-and-white striped index card on a workbench with tools.,combined_attribute_cardinality,natural,on a workbench with tools,combined
combined_attribute_cardinality_011,A realistic image of exactly 4 plastic thin rubber bands and one white speckled index card on a workbench with tools.,combined_attribute_cardinality,natural,on a workbench with tools,combined
combined_attribute_cardinality_012,A realistic image of exactly 4 transparent glass coins and one matte black small flat washer on a picnic blanket with many small objects.,combined_attribute_cardinality,natural,on a picnic blanket with many small objects,combined
combined_attribute_cardinality_013,A realistic image of exactly 5 ceramic coins and one black-and-white checkered food container on a picnic blanket with many small objects.,combined_attribute_cardinality,natural,on a picnic blanket with many small objects,combined
combined_attribute_cardinality_014,A realistic image of exactly 5 ceramic small paper clips and one reflective metallic cup on a picnic blanket with many small objects.,combined_attribute_cardinality,natural,on a picnic blanket with many small objects,combined
combined_attribute_cardinality_015,A realistic image of exactly 5 ceramic standard sewing buttons and one glossy white marble on a shelf full of books and decorations.,combined_attribute_cardinality,natural,on a shelf full of books and decorations,combined
combined_attribute_cardinality_016,A realistic image of exactly 5 glossy white small flat washers and one black-and-white checkered cup on a cluttered desk with many office supplies.,combined_attribute_cardinality,natural,on a cluttered desk with many office supplies,combined
combined_attribute_cardinality_017,A realistic image of exactly 5 glossy white standard sewing buttons and one white speckled notebook on a cluttered desk with many office supplies.,combined_attribute_cardinality,natural,on a cluttered desk with many office supplies,combined
combined_attribute_cardinality_018,A realistic image of exactly 5 plastic coins and one matte black marble on a picnic blanket with many small objects.,combined_attribute_cardinality,natural,on a picnic blanket with many small objects,combined
combined_attribute_cardinality_019,A realistic image of exactly 5 plastic coins and one reflective metallic die on a picnic blanket with many small objects.,combined_attribute_cardinality,natural,on a picnic blanket with many small objects,combined
combined_attribute_cardinality_020,A realistic image of exactly 5 plastic small flat washers and one reflective metallic bottle cap on a craft table with beads and art supplies.,combined_attribute_cardinality,natural,on a craft table with beads and art supplies,combined
combined_attribute_cardinality_021,A realistic image of exactly 5 plastic standard sewing buttons and one glossy white marble on a craft table with beads and art supplies.,combined_attribute_cardinality,natural,on a craft table with beads and art supplies,combined
combined_attribute_cardinality_022,A realistic image of exactly 5 reflective metallic thumbtacks and one plastic standard sewing button on a picnic blanket with many small objects.,combined_attribute_cardinality,natural,on a picnic blanket with many small objects,combined
combined_attribute_cardinality_023,A realistic image of exactly 5 transparent glass small flat washers and one ceramic thumbtack on a cluttered desk with many office supplies.,combined_attribute_cardinality,natural,on a cluttered desk with many office supplies,combined
combined_attribute_cardinality_024,A realistic image of exactly 6 ceramic coins and one blue-and-white striped tray on a craft table with beads and art supplies.,combined_attribute_cardinality,natural,on a craft table with beads and art supplies,combined
combined_attribute_cardinality_025,A realistic image of exactly 6 glossy white coins and one blue-and-white striped napkin on a crowded kitchen counter with utensils nearby.,combined_attribute_cardinality,natural,on a crowded kitchen counter with utensils nearby,combined
combined_attribute_cardinality_026,A realistic image of exactly 6 matte black standard sewing buttons and one blue-and-white striped small box on a crowded kitchen counter with utensils nearby.,combined_attribute_cardinality,natural,on a crowded kitchen counter with utensils nearby,combined
combined_attribute_cardinality_027,A realistic image of exactly 6 plastic thin rubber bands and one glossy white die on a cluttered desk with many office supplies.,combined_attribute_cardinality,natural,on a cluttered desk with many office supplies,combined
combined_attribute_cardinality_028,A clear image of exactly 3 plastic bottle caps and one matte black standard sewing button on a clean surface with a few unrelated objects.,combined_attribute_cardinality,simple,on a clean surface with a few unrelated objects,combined
combined_attribute_cardinality_029,A clear image of exactly 3 reflective metallic dice and one glossy white thumbtack on a lightly cluttered tabletop.,combined_attribute_cardinality,simple,on a lightly cluttered tabletop,combined
