constraint_id,prompt_id,constraint_type,check_text,object_1,object_2,relation,relation_text,target_object,target_count,attribute,attribute_1,attribute_2
attribute_natural_single_018_exist_object_2,attribute_natural_single_018,object_existence,The beige binder clip should be clearly visible.,beige binder clip,,,,beige binder clip,,,,
attribute_natural_single_018_attr_object_1,attribute_natural_single_018,attribute,The rubber band should be polka-dotted.,rubber band,,,,rubber band,,polka-dotted,polka-dotted,
attribute_natural_single_018_attr_object_2,attribute_natural_single_018,attribute,The beige binder clip should be black-and-white checkered.,beige binder clip,,,,beige binder clip,,black-and-white checkered,black-and-white checkered,
attribute_simple_single_024_exist_object_1,attribute_simple_single_024,object_existence,The tiny coin should be clearly visible.,tiny coin,,,,tiny coin,,,,
attribute_simple_single_024_exist_object_2,attribute_simple_single_024,object_existence,The marble should be clearly visible.,marble,,,,marble,,,,
attribute_simple_single_024_attr_object_1,attribute_simple_single_024,attribute,The tiny coin should be black-and-white checkered.,tiny coin,,,,tiny coin,,black-and-white checkered,black-and-white checkered,
attribute_simple_single_024_attr_object_2,attribute_simple_single_024,attribute,The marble should be red-and-white striped.,marble,,,,marble,,red-and-white striped,red-and-white striped,
attribute_simple_single_030_exist_object_1,attribute_simple_single_030,object_existence,The metallic paper clip should be clearly visible.,metallic paper clip,,,,metallic paper clip,,,,
attribute_simple_single_030_exist_object_2,attribute_simple_single_030,object_existence,The sewing needle should be clearly visible.,sewing needle,,,,sewing needle,,,,
attribute_simple_single_030_attr_object_1,attribute_simple_single_030,attribute,The metallic paper clip should be blue-and-white striped.,metallic paper clip,,,,metallic paper clip,,blue-and-white striped,blue-and-white striped,
attribute_simple_single_030_attr_object_2,attribute_simple_single_030,attribute,The sewing needle should be matte black.,sewing needle,,,,sewing needle,,matte black,matte black,
combo_attr_spatial_natural_001_exist_object_1,combo_attr_spatial_natural_001,object_existence,The beige binder clip should be clearly visible.,beige binder clip,,,,beige binder clip,,,,
combo_attr_spatial_natural_001_exist_object_2,combo_attr_spatial_natural_001,object_existence,The rubber band should be clearly visible.,rubber band,,,,rubber band,,,,
combo_attr_spatial_natural_001_attr_object_1,combo_attr_spatial_natural_001,attribute,The beige binder clip should be blue-and-white striped.,beige binder clip,,,,beige binder clip,,blue-and-white striped,blue-and-white striped,
combo_attr_spatial_natural_001_attr_object_2,combo_attr_spatial_natural_001,attribute,The rubber band should be red-and-white striped.,rubber band,,,,rubber band,,red-and-white striped,red-and-white striped,
combo_attr_spatial_natural_001_spatial,combo_attr_spatial_natural_001,spatial_relation,The beige binder clip should be higher in the image than the rubber band in the 2D image.,beige binder clip,rubber band,higher_than,higher in the image than,,,,,
combo_attr_spatial_natural_011_exist_object_1,combo_attr_spatial_natural_011,object_existence,The rubber band should be clearly visible.,rubber band,,,,rubber band,,,,
combo_attr_spatial_natural_011_exist_object_2,combo_attr_spatial_natural_011,object_existence,The die should be clearly visible.,die,,,,die,,,,
combo_attr_spatial_natural_011_attr_object_1,combo_attr_spatial_natural_011,attribute,The rubber band should be matte black.,rubber band,,,,rubber band,,matte black,matte black,
combo_attr_spatial_natural_011_attr_object_2,combo_attr_spatial_natural_011,attribute,The die should be black-and-white checkered.,die,,,,die,,black-and-white checkered,black-and-white checkered,
combo_attr_spatial_natural_011_spatial,combo_attr_spatial_natural_011,spatial_relation,The rubber band should be in the lower-right area relative to the die in the 2D image.,rubber band,die,lower_right_of,in the lower-right area relative to,,,,,
combo_attr_spatial_natural_021_exist_object_1,combo_attr_spatial_natural_021,object_existence,The sewing needle should be clearly visible.,sewing needle,,,,sewing needle,,,,
combo_attr_spatial_natural_021_exist_object_2,combo_attr_spatial_natural_021,object_existence,The thumbtack should be clearly visible.,thumbtack,,,,thumbtack,,,,
combo_attr_spatial_natural_021_attr_object_1,combo_attr_spatial_natural_021,attribute,The sewing needle should be glossy white.,sewing needle,,,,sewing needle,,glossy white,glossy white,
combo_attr_spatial_natural_021_attr_object_2,combo_attr_spatial_natural_021,attribute,The thumbtack should be black-and-white checkered.,thumbtack,,,,thumbtack,,black-and-white checkered,black-and-white checkered,
combo_attr_spatial_natural_021_spatial,combo_attr_spatial_natural_021,spatial_relation,The sewing needle should be in the upper-left area relative to the thumbtack in the 2D image.,sewing needle,thumbtack,upper_left_of,in the upper-left area relative to,,,,,
combo_attr_spatial_simple_026_exist_object_1,combo_attr_spatial_simple_026,object_existence,The thumbtack should be clearly visible.,thumbtack,,,,thumbtack,,,,
combo_attr_spatial_simple_026_exist_object_2,combo_attr_spatial_simple_026,object_existence,The rubber band should be clearly visible.,rubber band,,,,rubber band,,,,
combo_attr_spatial_simple_026_attr_object_1,combo_attr_spatial_simple_026,attribute,The thumbtack should be translucent.,thumbtack,,,,thumbtack,,translucent,translucent,
combo_attr_spatial_simple_026_attr_object_2,combo_attr_spatial_simple_026,attribute,The rubber band should be matte black.,rubber band,,,,rubber band,,matte black,matte black,
combo_attr_spatial_simple_026_spatial,combo_attr_spatial_simple_026,spatial_relation,The thumbtack should be to the right of the rubber band in the 2D image.,thumbtack,rubber band,right_of,to the right of,,,,,
combo_attr_spatial_simple_030_exist_object_1,combo_attr_spatial_simple_030,object_existence,The metallic paper clip should be clearly visible.,metallic paper clip,,,,metallic paper clip,,,,
combo_attr_spatial_simple_030_exist_object_2,combo_attr_spatial_simple_030,object_existence,The marble should be clearly visible.,marble,,,,marble,,,,
combo_attr_spatial_simple_030_attr_object_1,combo_attr_spatial_simple_030,attribute,The metallic paper clip should be translucent.,metallic paper clip,,,,metallic paper clip,,translucent,translucent,
combo_attr_spatial_simple_030_attr_object_2,combo_attr_spatial_simple_030,attribute,The marble should be reflective metallic.,marble,,,,marble,,reflective metallic,reflective metallic,
combo_attr_spatial_simple_030_spatial,combo_attr_spatial_simple_030,spatial_relation,The metallic paper clip should be to the right of the marble in the 2D image.,metallic paper clip,marble,right_of,to the right of,,,,,
combo_card_spatial_natural_005_exist_object_1,combo_card_spatial_natural_005,object_existence,The bottle cap should be clearly visible.,bottle cap,,,,bottle cap,,,,
combo_card_spatial_natural_005_exist_object_2,combo_card_spatial_natural_005,object_existence,The beige binder clip should be clearly visible.,beige binder clip,,,,beige binder clip,,,,
combo_card_spatial_natural_005_cardinality,combo_card_spatial_natural_005,cardinality,There should be exactly 5 clearly visible bottle caps.,,,,,bottle cap,5,,,
combo_card_spatial_natural_005_spatial,combo_card_spatial_natural_005,spatial_relation,The bottle cap should be to the left of the beige binder clip in the 2D image.,bottle cap,beige binder clip,left_of,to the left of,,,,,
combo_card_spatial_natural_010_exist_object_1,combo_card_spatial_natural_010,object_existence,The thumbtack should be clearly visible.,thumbtack,,,,thumbtack,,,,
combo_card_spatial_natural_010_exist_object_2,combo_card_spatial_natural_010,object_existence,The small washer should be clearly visible.,small washer,,,,small washer,,,,
combo_card_spatial_natural_010_cardinality,combo_card_spatial_natural_010,cardinality,There should be exactly 6 clearly visible thumbtacks.,,,,,thumbtack,6,,,
combo_card_spatial_natural_010_spatial,combo_card_spatial_natural_010,spatial_relation,The thumbtack should be to the right of the small washer in the 2D image.,thumbtack,small washer,right_of,to the right of,,,,,
combo_card_spatial_natural_015_exist_object_1,combo_card_spatial_natural_015,object_existence,The die should be clearly visible.,die,,,,die,,,,
combo_card_spatial_natural_015_exist_object_2,combo_card_spatial_natural_015,object_existence,The marble should be clearly visible.,marble,,,,marble,,,,
combo_card_spatial_natural_015_cardinality,combo_card_spatial_natural_015,cardinality,There should be exactly 5 clearly visible dies.,,,,,die,5,,,
combo_card_spatial_natural_015_spatial,combo_card_spatial_natural_015,spatial_relation,The die should be lower in the image than the marble in the 2D image.,die,marble,lower_than,lower in the image than,,,,,
combo_card_spatial_simple_025_exist_object_1,combo_card_spatial_simple_025,object_existence,The tiny coin should be clearly visible.,tiny coin,,,,tiny coin,,,,
combo_card_spatial_simple_025_exist_object_2,combo_card_spatial_simple_025,object_existence,The safety pin should be clearly visible.,safety pin,,,,safety pin,,,,
combo_card_spatial_simple_025_cardinality,combo_card_spatial_simple_025,cardinality,There should be exactly 6 clearly visible tiny coins.,,,,,tiny coin,6,,,
combo_card_spatial_simple_025_spatial,combo_card_spatial_simple_025,spatial_relation,The tiny coin should be in the lower-right area relative to the safety pin in the 2D image.,tiny coin,safety pin,lower_right_of,in the lower-right area relative to,,,,,
combo_card_spatial_simple_030_exist_object_1,combo_card_spatial_simple_030,object_existence,The safety pin should be clearly visible.,safety pin,,,,safety pin,,,,
combo_card_spatial_simple_030_exist_object_2,combo_card_spatial_simple_030,object_existence,The sewing needle should be clearly visible.,sewing needle,,,,sewing needle,,,,
combo_card_spatial_simple_030_cardinality,combo_card_spatial_simple_030,cardinality,There should be exactly 7 clearly visible safety pins.,,,,,safety pin,7,,,
combo_card_spatial_simple_030_spatial,combo_card_spatial_simple_030,spatial_relation,The safety pin should be higher in the image than the sewing needle in the 2D image.,safety pin,sewing needle,higher_than,higher in the image than,,,,,
