repair_id,source_image_id,source_prompt_id,target_constraint_id,target_constraint_type,before_label,repair_action,target_constraint_text
repair_vlm_011_job_0012_gemini_2_5_flash_image_00,job_0012_gemini_2_5_flash_image_00,combined_attribute_cardinality_012,combined_attribute_cardinality_012_identity_object_1,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable coin?
repair_vlm_012_job_0014_gemini_2_5_flash_image_00,job_0014_gemini_2_5_flash_image_00,combined_attribute_cardinality_017,combined_attribute_cardinality_017_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 5 clearly visible standard sewing buttons?
repair_vlm_012_job_0014_gemini_2_5_flash_image_00,job_0014_gemini_2_5_flash_image_00,combined_attribute_cardinality_017,combined_attribute_cardinality_017_attribute_object_2,attribute,fail,strengthen_failed_constraint,Does the image show a white speckled notebook?
repair_vlm_013_job_0016_gemini_2_5_flash_image_00,job_0016_gemini_2_5_flash_image_00,combined_attribute_cardinality_014,combined_attribute_cardinality_014_identity_object_1,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable small paper clip?
repair_vlm_013_job_0016_gemini_2_5_flash_image_00,job_0016_gemini_2_5_flash_image_00,combined_attribute_cardinality_014,combined_attribute_cardinality_014_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 5 clearly visible small paper clips?
repair_vlm_014_job_0017_gpt_image_1_00,job_0017_gpt_image_1_00,combined_attribute_cardinality_016,combined_attribute_cardinality_016_identity_object_1,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable small flat washer?
repair_vlm_014_job_0017_gpt_image_1_00,job_0017_gpt_image_1_00,combined_attribute_cardinality_016,combined_attribute_cardinality_016_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 5 clearly visible small flat washers?
repair_vlm_015_job_0018_gemini_2_5_flash_image_00,job_0018_gemini_2_5_flash_image_00,combined_attribute_cardinality_031,combined_attribute_cardinality_031_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 5 clearly visible thin rubber bands?
repair_vlm_015_job_0018_gemini_2_5_flash_image_00,job_0018_gemini_2_5_flash_image_00,combined_attribute_cardinality_031,combined_attribute_cardinality_031_attribute_object_1,attribute,fail,strengthen_failed_constraint,Does the image show a ceramic thin rubber band?
repair_vlm_016_job_0019_gpt_image_1_00,job_0019_gpt_image_1_00,combined_attribute_cardinality_022,combined_attribute_cardinality_022_identity_object_1,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable thumbtack?
repair_vlm_016_job_0019_gpt_image_1_00,job_0019_gpt_image_1_00,combined_attribute_cardinality_022,combined_attribute_cardinality_022_attribute_object_2,attribute,fail,strengthen_failed_constraint,Does the image show a plastic standard sewing button?
repair_vlm_017_job_0020_gemini_2_5_flash_image_00,job_0020_gemini_2_5_flash_image_00,combined_attribute_cardinality_006,combined_attribute_cardinality_006_identity_object_2,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable index card?
repair_vlm_017_job_0020_gemini_2_5_flash_image_00,job_0020_gemini_2_5_flash_image_00,combined_attribute_cardinality_006,combined_attribute_cardinality_006_attribute_object_2,attribute,fail,strengthen_failed_constraint,Does the image show a yellow-and-green polka-dotted index card?
repair_vlm_018_job_0023_gpt_image_1_00,job_0023_gpt_image_1_00,combined_attribute_cardinality_018,combined_attribute_cardinality_018_identity_object_1,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable coin?
repair_vlm_018_job_0023_gpt_image_1_00,job_0023_gpt_image_1_00,combined_attribute_cardinality_018,combined_attribute_cardinality_018_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 5 clearly visible coins?
repair_vlm_018_job_0023_gpt_image_1_00,job_0023_gpt_image_1_00,combined_attribute_cardinality_018,combined_attribute_cardinality_018_attribute_object_2,attribute,fail,strengthen_failed_constraint,Does the image show a matte black marble?
repair_vlm_019_job_0024_gemini_2_5_flash_image_00,job_0024_gemini_2_5_flash_image_00,combined_attribute_cardinality_010,combined_attribute_cardinality_010_attribute_object_2,attribute,fail,strengthen_failed_constraint,Does the image show a red-and-white striped index card?
repair_vlm_020_job_0025_gpt_image_1_00,job_0025_gpt_image_1_00,combined_attribute_cardinality_009,combined_attribute_cardinality_009_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 4 clearly visible thumbtacks?
repair_vlm_020_job_0025_gpt_image_1_00,job_0025_gpt_image_1_00,combined_attribute_cardinality_009,combined_attribute_cardinality_009_attribute_object_1,attribute,ambiguous,clarify_ambiguous_constraint,Does the image show a glossy white thumbtack?
repair_vlm_021_job_0026_gemini_2_5_flash_image_00,job_0026_gemini_2_5_flash_image_00,combined_attribute_cardinality_030,combined_attribute_cardinality_030_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 4 clearly visible dice?
repair_vlm_022_job_0027_gpt_image_1_00,job_0027_gpt_image_1_00,combined_attribute_cardinality_021,combined_attribute_cardinality_021_identity_object_2,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable marble?
repair_vlm_022_job_0027_gpt_image_1_00,job_0027_gpt_image_1_00,combined_attribute_cardinality_021,combined_attribute_cardinality_021_attribute_object_2,attribute,ambiguous,clarify_ambiguous_constraint,Does the image show a glossy white marble?
repair_vlm_023_job_0028_gemini_2_5_flash_image_00,job_0028_gemini_2_5_flash_image_00,combined_attribute_cardinality_005,combined_attribute_cardinality_005_identity_object_1,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable small paper clip?
repair_vlm_023_job_0028_gemini_2_5_flash_image_00,job_0028_gemini_2_5_flash_image_00,combined_attribute_cardinality_005,combined_attribute_cardinality_005_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 3 clearly visible small paper clips?
repair_vlm_023_job_0028_gemini_2_5_flash_image_00,job_0028_gemini_2_5_flash_image_00,combined_attribute_cardinality_005,combined_attribute_cardinality_005_attribute_object_1,attribute,fail,strengthen_failed_constraint,Does the image show a glossy white small paper clip?
repair_vlm_024_job_0029_gpt_image_1_00,job_0029_gpt_image_1_00,combined_attribute_cardinality_027,combined_attribute_cardinality_027_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 6 clearly visible thin rubber bands?
repair_vlm_025_job_0030_gemini_2_5_flash_image_00,job_0030_gemini_2_5_flash_image_00,combined_attribute_cardinality_004,combined_attribute_cardinality_004_identity_object_1,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable small paper clip?
repair_vlm_025_job_0030_gemini_2_5_flash_image_00,job_0030_gemini_2_5_flash_image_00,combined_attribute_cardinality_004,combined_attribute_cardinality_004_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 3 clearly visible small paper clips?
repair_vlm_025_job_0030_gemini_2_5_flash_image_00,job_0030_gemini_2_5_flash_image_00,combined_attribute_cardinality_004,combined_attribute_cardinality_004_attribute_object_1,attribute,fail,strengthen_failed_constraint,Does the image show a ceramic small paper clip?
repair_vlm_026_job_0031_gpt_image_1_00,job_0031_gpt_image_1_00,combined_attribute_cardinality_008,combined_attribute_cardinality_008_identity_object_1,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable small flat washer?
repair_vlm_026_job_0031_gpt_image_1_00,job_0031_gpt_image_1_00,combined_attribute_cardinality_008,combined_attribute_cardinality_008_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 4 clearly visible small flat washers?
repair_vlm_027_job_0032_gemini_2_5_flash_image_00,job_0032_gemini_2_5_flash_image_00,combined_attribute_cardinality_035,combined_attribute_cardinality_035_identity_object_1,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable small paper clip?
repair_vlm_027_job_0032_gemini_2_5_flash_image_00,job_0032_gemini_2_5_flash_image_00,combined_attribute_cardinality_035,combined_attribute_cardinality_035_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 5 clearly visible small paper clips?
repair_vlm_027_job_0032_gemini_2_5_flash_image_00,job_0032_gemini_2_5_flash_image_00,combined_attribute_cardinality_035,combined_attribute_cardinality_035_attribute_object_1,attribute,fail,strengthen_failed_constraint,Does the image show a plastic small paper clip?
repair_vlm_028_job_0034_gemini_2_5_flash_image_00,job_0034_gemini_2_5_flash_image_00,combined_attribute_cardinality_003,combined_attribute_cardinality_003_identity_object_1,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable small paper clip?
repair_vlm_028_job_0034_gemini_2_5_flash_image_00,job_0034_gemini_2_5_flash_image_00,combined_attribute_cardinality_003,combined_attribute_cardinality_003_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 3 clearly visible small paper clips?
repair_vlm_029_job_0035_gpt_image_1_00,job_0035_gpt_image_1_00,combined_attribute_cardinality_015,combined_attribute_cardinality_015_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 5 clearly visible standard sewing buttons?
repair_vlm_030_job_0037_gpt_image_1_00,job_0037_gpt_image_1_00,combined_spatial_attribute_003,combined_spatial_attribute_003_identity_object_1,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable standard safety pin?
repair_vlm_030_job_0037_gpt_image_1_00,job_0037_gpt_image_1_00,combined_spatial_attribute_003,combined_spatial_attribute_003_attribute_object_1,attribute,fail,strengthen_failed_constraint,Does the image show a glossy white standard safety pin?
repair_vlm_030_job_0037_gpt_image_1_00,job_0037_gpt_image_1_00,combined_spatial_attribute_003,combined_spatial_attribute_003_spatial,spatial_relation,fail,strengthen_failed_constraint,Does the image show a standard safety pin inside a small box?
repair_vlm_031_job_0038_gemini_2_5_flash_image_00,job_0038_gemini_2_5_flash_image_00,combined_spatial_attribute_013,combined_spatial_attribute_013_identity_object_2,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable cutting board?
repair_vlm_031_job_0038_gemini_2_5_flash_image_00,job_0038_gemini_2_5_flash_image_00,combined_spatial_attribute_013,combined_spatial_attribute_013_attribute_object_1,attribute,ambiguous,clarify_ambiguous_constraint,Does the image show a ceramic thin rubber band?
repair_vlm_031_job_0038_gemini_2_5_flash_image_00,job_0038_gemini_2_5_flash_image_00,combined_spatial_attribute_013,combined_spatial_attribute_013_attribute_object_2,attribute,fail,strengthen_failed_constraint,Does the image show a yellow-and-green polka-dotted cutting board?
repair_vlm_032_job_0039_gpt_image_1_00,job_0039_gpt_image_1_00,combined_spatial_attribute_017,combined_spatial_attribute_017_identity_object_1,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable coin?
repair_vlm_032_job_0039_gpt_image_1_00,job_0039_gpt_image_1_00,combined_spatial_attribute_017,combined_spatial_attribute_017_attribute_object_1,attribute,ambiguous,clarify_ambiguous_constraint,Does the image show a matte black coin?
repair_vlm_032_job_0039_gpt_image_1_00,job_0039_gpt_image_1_00,combined_spatial_attribute_017,combined_spatial_attribute_017_spatial,spatial_relation,ambiguous,clarify_ambiguous_constraint,Does the image show a coin on top of a food container?
repair_vlm_033_job_0040_gemini_2_5_flash_image_00,job_0040_gemini_2_5_flash_image_00,combined_spatial_attribute_001,combined_spatial_attribute_001_attribute_object_1,attribute,ambiguous,clarify_ambiguous_constraint,Does the image show a ceramic die?
repair_vlm_034_job_0043_gpt_image_1_00,job_0043_gpt_image_1_00,combined_spatial_attribute_036,combined_spatial_attribute_036_identity_object_2,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable small flat washer?
repair_vlm_034_job_0043_gpt_image_1_00,job_0043_gpt_image_1_00,combined_spatial_attribute_036,combined_spatial_attribute_036_attribute_object_2,attribute,fail,strengthen_failed_constraint,Does the image show a ceramic small flat washer?
repair_vlm_034_job_0043_gpt_image_1_00,job_0043_gpt_image_1_00,combined_spatial_attribute_036,combined_spatial_attribute_036_spatial,spatial_relation,fail,strengthen_failed_constraint,Does the image show a notebook under a small flat washer?
repair_vlm_035_job_0045_gpt_image_1_00,job_0045_gpt_image_1_00,combined_spatial_attribute_035,combined_spatial_attribute_035_identity_object_1,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable cutting board?
repair_vlm_035_job_0045_gpt_image_1_00,job_0045_gpt_image_1_00,combined_spatial_attribute_035,combined_spatial_attribute_035_identity_object_2,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable small paper clip?
repair_vlm_035_job_0045_gpt_image_1_00,job_0045_gpt_image_1_00,combined_spatial_attribute_035,combined_spatial_attribute_035_spatial,spatial_relation,fail,strengthen_failed_constraint,Does the image show a cutting board under a small paper clip?
repair_vlm_036_job_0048_gemini_2_5_flash_image_00,job_0048_gemini_2_5_flash_image_00,combined_spatial_attribute_033,combined_spatial_attribute_033_spatial,spatial_relation,fail,strengthen_failed_constraint,Does the image show a index card under a die?
repair_vlm_037_job_0049_gpt_image_1_00,job_0049_gpt_image_1_00,combined_spatial_attribute_026,combined_spatial_attribute_026_identity_object_1,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable thin rubber band?
repair_vlm_037_job_0049_gpt_image_1_00,job_0049_gpt_image_1_00,combined_spatial_attribute_026,combined_spatial_attribute_026_attribute_object_1,attribute,fail,strengthen_failed_constraint,Does the image show a reflective metallic thin rubber band?
repair_vlm_037_job_0049_gpt_image_1_00,job_0049_gpt_image_1_00,combined_spatial_attribute_026,combined_spatial_attribute_026_spatial,spatial_relation,fail,strengthen_failed_constraint,Does the image show a thin rubber band to the right of a bottle cap?
repair_vlm_038_job_0050_gemini_2_5_flash_image_00,job_0050_gemini_2_5_flash_image_00,combined_spatial_attribute_002,combined_spatial_attribute_002_identity_object_1,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable small paper clip?
repair_vlm_038_job_0050_gemini_2_5_flash_image_00,job_0050_gemini_2_5_flash_image_00,combined_spatial_attribute_002,combined_spatial_attribute_002_attribute_object_1,attribute,fail,strengthen_failed_constraint,Does the image show a glossy white small paper clip?
repair_vlm_038_job_0050_gemini_2_5_flash_image_00,job_0050_gemini_2_5_flash_image_00,combined_spatial_attribute_002,combined_spatial_attribute_002_spatial,spatial_relation,fail,strengthen_failed_constraint,Does the image show a small paper clip inside a serving bowl?
repair_vlm_039_job_0052_gemini_2_5_flash_image_00,job_0052_gemini_2_5_flash_image_00,combined_spatial_attribute_008,combined_spatial_attribute_008_identity_object_2,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable coin?
repair_vlm_039_job_0052_gemini_2_5_flash_image_00,job_0052_gemini_2_5_flash_image_00,combined_spatial_attribute_008,combined_spatial_attribute_008_spatial,spatial_relation,ambiguous,clarify_ambiguous_constraint,Does the image show a standard sewing button to the left of a coin?
repair_vlm_040_job_0053_gpt_image_1_00,job_0053_gpt_image_1_00,combined_spatial_attribute_031,combined_spatial_attribute_031_identity_object_2,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable marble?
repair_vlm_040_job_0053_gpt_image_1_00,job_0053_gpt_image_1_00,combined_spatial_attribute_031,combined_spatial_attribute_031_attribute_object_2,attribute,fail,strengthen_failed_constraint,Does the image show a glossy white marble?
repair_vlm_040_job_0053_gpt_image_1_00,job_0053_gpt_image_1_00,combined_spatial_attribute_031,combined_spatial_attribute_031_spatial,spatial_relation,fail,strengthen_failed_constraint,Does the image show a napkin under a marble?
repair_vlm_041_job_0054_gemini_2_5_flash_image_00,job_0054_gemini_2_5_flash_image_00,combined_spatial_attribute_007,combined_spatial_attribute_007_identity_object_1,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable small paper clip?
repair_vlm_041_job_0054_gemini_2_5_flash_image_00,job_0054_gemini_2_5_flash_image_00,combined_spatial_attribute_007,combined_spatial_attribute_007_attribute_object_1,attribute,fail,strengthen_failed_constraint,Does the image show a glossy white small paper clip?
repair_vlm_041_job_0054_gemini_2_5_flash_image_00,job_0054_gemini_2_5_flash_image_00,combined_spatial_attribute_007,combined_spatial_attribute_007_spatial,spatial_relation,fail,strengthen_failed_constraint,Does the image show a small paper clip to the left of a serving bowl?
repair_vlm_042_job_0055_gpt_image_1_00,job_0055_gpt_image_1_00,combined_spatial_attribute_025,combined_spatial_attribute_025_attribute_object_2,attribute,ambiguous,clarify_ambiguous_constraint,Does the image show a white speckled tray?
repair_vlm_042_job_0055_gpt_image_1_00,job_0055_gpt_image_1_00,combined_spatial_attribute_025,combined_spatial_attribute_025_spatial,spatial_relation,fail,strengthen_failed_constraint,Does the image show a serving bowl to the right of a tray?
repair_vlm_043_job_0059_gpt_image_1_00,job_0059_gpt_image_1_00,combined_spatial_attribute_023,combined_spatial_attribute_023_identity_object_1,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable bottle cap?
repair_vlm_044_job_0064_gemini_2_5_flash_image_00,job_0064_gemini_2_5_flash_image_00,combined_spatial_attribute_015,combined_spatial_attribute_015_identity_object_1,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable coin?
repair_vlm_045_job_0065_gpt_image_1_00,job_0065_gpt_image_1_00,combined_spatial_attribute_020,combined_spatial_attribute_020_identity_object_1,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable thin rubber band?
repair_vlm_045_job_0065_gpt_image_1_00,job_0065_gpt_image_1_00,combined_spatial_attribute_020,combined_spatial_attribute_020_attribute_object_1,attribute,fail,strengthen_failed_constraint,Does the image show a reflective metallic thin rubber band?
repair_vlm_045_job_0065_gpt_image_1_00,job_0065_gpt_image_1_00,combined_spatial_attribute_020,combined_spatial_attribute_020_spatial,spatial_relation,ambiguous,clarify_ambiguous_constraint,Does the image show a thin rubber band outside a tray?
repair_vlm_046_job_0067_gpt_image_1_00,job_0067_gpt_image_1_00,combined_spatial_attribute_027,combined_spatial_attribute_027_identity_object_1,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable index card?
repair_vlm_047_job_0069_gpt_image_1_00,job_0069_gpt_image_1_00,combined_spatial_attribute_032,combined_spatial_attribute_032_identity_object_1,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable cutting board?
repair_vlm_047_job_0069_gpt_image_1_00,job_0069_gpt_image_1_00,combined_spatial_attribute_032,combined_spatial_attribute_032_identity_object_2,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable coin?
repair_vlm_048_job_0070_gemini_2_5_flash_image_00,job_0070_gemini_2_5_flash_image_00,combined_spatial_attribute_004,combined_spatial_attribute_004_spatial,spatial_relation,fail,strengthen_failed_constraint,Does the image show a standard sewing button inside a small box?
repair_vlm_049_job_0071_gpt_image_1_00,job_0071_gpt_image_1_00,combined_spatial_attribute_018,combined_spatial_attribute_018_identity_object_1,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable standard sewing button?
repair_vlm_049_job_0071_gpt_image_1_00,job_0071_gpt_image_1_00,combined_spatial_attribute_018,combined_spatial_attribute_018_attribute_object_1,attribute,fail,strengthen_failed_constraint,Does the image show a matte black standard sewing button?
repair_vlm_049_job_0071_gpt_image_1_00,job_0071_gpt_image_1_00,combined_spatial_attribute_018,combined_spatial_attribute_018_spatial,spatial_relation,fail,strengthen_failed_constraint,Does the image show a standard sewing button on top of a serving bowl?
repair_vlm_050_job_0072_gemini_2_5_flash_image_00,job_0072_gemini_2_5_flash_image_00,combined_spatial_attribute_034,combined_spatial_attribute_034_identity_object_2,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable bottle cap?
repair_vlm_050_job_0072_gemini_2_5_flash_image_00,job_0072_gemini_2_5_flash_image_00,combined_spatial_attribute_034,combined_spatial_attribute_034_attribute_object_2,attribute,fail,strengthen_failed_constraint,Does the image show a transparent glass bottle cap?
repair_vlm_050_job_0072_gemini_2_5_flash_image_00,job_0072_gemini_2_5_flash_image_00,combined_spatial_attribute_034,combined_spatial_attribute_034_spatial,spatial_relation,fail,strengthen_failed_constraint,Does the image show a index card under a bottle cap?
repair_vlm_051_job_0074_gemini_2_5_flash_image_00,job_0074_gemini_2_5_flash_image_00,combined_spatial_cardinality_028,combined_spatial_cardinality_028_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 4 clearly visible bottle caps?
repair_vlm_052_job_0075_gpt_image_1_00,job_0075_gpt_image_1_00,combined_spatial_cardinality_021,combined_spatial_cardinality_021_identity_object_1,object_identity,ambiguous,clarify_ambiguous_constraint,Does the image contain a clearly identifiable standard sewing button?
repair_vlm_052_job_0075_gpt_image_1_00,job_0075_gpt_image_1_00,combined_spatial_cardinality_021,combined_spatial_cardinality_021_spatial,spatial_relation,ambiguous,clarify_ambiguous_constraint,Does the image show a standard sewing button on top of a notebook?
repair_vlm_053_job_0076_gemini_2_5_flash_image_00,job_0076_gemini_2_5_flash_image_00,combined_spatial_cardinality_001,combined_spatial_cardinality_001_identity_object_2,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable cup?
repair_vlm_054_job_0078_gemini_2_5_flash_image_00,job_0078_gemini_2_5_flash_image_00,combined_spatial_cardinality_026,combined_spatial_cardinality_026_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 4 clearly visible standard safety pins?
repair_vlm_055_job_0080_gemini_2_5_flash_image_00,job_0080_gemini_2_5_flash_image_00,combined_spatial_cardinality_023,combined_spatial_cardinality_023_identity_object_2,object_identity,fail,strengthen_failed_constraint,Does the image contain a clearly identifiable tray?
repair_vlm_055_job_0080_gemini_2_5_flash_image_00,job_0080_gemini_2_5_flash_image_00,combined_spatial_cardinality_023,combined_spatial_cardinality_023_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 3 clearly visible standard sewing buttons?
repair_vlm_056_job_0081_gpt_image_1_00,job_0081_gpt_image_1_00,combined_spatial_cardinality_019,combined_spatial_cardinality_019_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 5 clearly visible standard safety pins?
repair_vlm_057_job_0082_gemini_2_5_flash_image_00,job_0082_gemini_2_5_flash_image_00,combined_spatial_cardinality_034,combined_spatial_cardinality_034_spatial,spatial_relation,fail,strengthen_failed_constraint,Does the image show a standard safety pin to the right of a plate?
repair_vlm_058_job_0083_gpt_image_1_00,job_0083_gpt_image_1_00,combined_spatial_cardinality_008,combined_spatial_cardinality_008_cardinality,cardinality,fail,strengthen_failed_constraint,Does the image contain exactly 4 clearly visible marbles?
