generation_job_id,prompt_id,provider,model_name,assignment_type,image_dir,size,quality,aspect_ratio
repair_job_vlm_0048,repair_vlm_048_job_0070_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0049,repair_vlm_049_job_0071_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0050,repair_vlm_050_job_0072_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0051,repair_vlm_051_job_0074_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0052,repair_vlm_052_job_0075_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0053,repair_vlm_053_job_0076_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0054,repair_vlm_054_job_0078_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0055,repair_vlm_055_job_0080_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0056,repair_vlm_056_job_0081_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0057,repair_vlm_057_job_0082_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0058,repair_vlm_058_job_0083_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0059,repair_vlm_059_job_0084_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0060,repair_vlm_060_job_0086_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0061,repair_vlm_061_job_0087_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0062,repair_vlm_062_job_0089_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0063,repair_vlm_063_job_0090_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0064,repair_vlm_064_job_0092_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0065,repair_vlm_065_job_0093_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0066,repair_vlm_066_job_0095_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0067,repair_vlm_067_job_0096_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0068,repair_vlm_068_job_0101_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0069,repair_vlm_069_job_0105_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0070,repair_vlm_070_job_0108_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0071,repair_vlm_071_job_0109_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0072,repair_vlm_072_job_0112_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0073,repair_vlm_073_job_0116_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0074,repair_vlm_074_job_0118_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0075,repair_vlm_075_job_0119_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0076,repair_vlm_076_job_0121_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0077,repair_vlm_077_job_0123_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0078,repair_vlm_078_job_0125_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0079,repair_vlm_079_job_0126_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0080,repair_vlm_080_job_0128_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0081,repair_vlm_081_job_0137_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0082,repair_vlm_082_job_0138_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0083,repair_vlm_083_job_0142_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0084,repair_vlm_084_job_0146_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0085,repair_vlm_085_job_0150_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0086,repair_vlm_086_job_0151_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0087,repair_vlm_087_job_0152_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0088,repair_vlm_088_job_0154_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0089,repair_vlm_089_job_0157_gpt_image_1_00,openai,gpt-image-1,repair_vlm_same_model,../data/repaired/vlm_triggered/images,1024x1024,low,
repair_job_vlm_0090,repair_vlm_090_job_0166_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0091,repair_vlm_091_job_0172_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0092,repair_vlm_092_job_0176_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
repair_job_vlm_0093,repair_vlm_093_job_0178_gemini_2_5_flash_image_00,google,gemini-2.5-flash-image,repair_vlm_same_model,../data/repaired/vlm_triggered/images,,,1:1
